station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SGD;01.11.1972 00:00;;0;
SGD;02.11.1972 00:00;;0;
SGD;03.11.1972 00:00;;0;
SGD;04.11.1972 00:00;;0;
SGD;05.11.1972 00:00;;0;
SGD;06.11.1972 00:00;;0;
SGD;07.11.1972 00:00;;0;
SGD;08.11.1972 00:00;;0;
SGD;09.11.1972 00:00;;0;
SGD;11.11.1972 00:00;;12;
SGD;12.11.1972 00:00;;;12
SGD;14.11.1972 00:00;;5;
SGD;15.11.1972 00:00;;;5
SGD;20.11.1972 00:00;;10;
SGD;21.11.1972 00:00;;;10
SGD;22.11.1972 00:00;;10;
SGD;23.11.1972 00:00;;15;10
SGD;24.11.1972 00:00;;34;20
SGD;25.11.1972 00:00;;3;48
SGD;26.11.1972 00:00;;0;45
SGD;27.11.1972 00:00;;0;40
SGD;28.11.1972 00:00;;0;40
SGD;29.11.1972 00:00;;0;30
SGD;30.11.1972 00:00;;;20
SGD;01.12.1972 00:00;;;20
SGD;02.12.1972 00:00;;0;20
SGD;03.12.1972 00:00;;;20
SGD;04.12.1972 00:00;;3;15
SGD;05.12.1972 00:00;;5;15
SGD;06.12.1972 00:00;;0;20
SGD;07.12.1972 00:00;;0;
SGD;08.12.1972 00:00;;5;
SGD;09.12.1972 00:00;;10;25
SGD;10.12.1972 00:00;;0;30
SGD;11.12.1972 00:00;;0;30
SGD;12.12.1972 00:00;;0;
SGD;13.12.1972 00:00;;0;25
SGD;14.12.1972 00:00;;0;20
SGD;15.12.1972 00:00;;0;20
SGD;16.12.1972 00:00;;0;20
SGD;17.12.1972 00:00;;0;15
SGD;18.12.1972 00:00;;0;15
SGD;19.12.1972 00:00;;0;15
SGD;20.12.1972 00:00;;0;15
SGD;21.12.1972 00:00;;0;15
SGD;22.12.1972 00:00;;0;15
SGD;23.12.1972 00:00;;0;15
SGD;24.12.1972 00:00;;0;15
SGD;25.12.1972 00:00;;0;15
SGD;26.12.1972 00:00;;0;15
SGD;27.12.1972 00:00;;0;15
SGD;28.12.1972 00:00;;0;10
SGD;29.12.1972 00:00;;0;10
SGD;30.12.1972 00:00;;0;10
SGD;31.12.1972 00:00;;0;10
SGD;01.01.1973 00:00;0;0;10
SGD;02.01.1973 00:00;0.6;1;10
SGD;03.01.1973 00:00;0.5;1;10
SGD;04.01.1973 00:00;0;0;10
SGD;05.01.1973 00:00;0;0;10
SGD;06.01.1973 00:00;0;0;10
SGD;07.01.1973 00:00;0;0;10
SGD;08.01.1973 00:00;0;0;10
SGD;09.01.1973 00:00;0;0;10
SGD;10.01.1973 00:00;0;0;10
SGD;11.01.1973 00:00;0;0;10
SGD;12.01.1973 00:00;0;0;10
SGD;13.01.1973 00:00;0;0;10
SGD;14.01.1973 00:00;0;0;10
SGD;15.01.1973 00:00;9.7;20;10
SGD;16.01.1973 00:00;5;15;30
SGD;17.01.1973 00:00;0.1;;35
SGD;18.01.1973 00:00;4.4;5;35
SGD;19.01.1973 00:00;0.5;0;35
SGD;20.01.1973 00:00;0.5;0;30
SGD;21.01.1973 00:00;1.6;2;30
SGD;22.01.1973 00:00;2.2;3;30
SGD;23.01.1973 00:00;0;0;32
SGD;24.01.1973 00:00;0;0;30
SGD;25.01.1973 00:00;0;0;30
SGD;26.01.1973 00:00;0.6;2;30
SGD;27.01.1973 00:00;24.2;45;30
SGD;28.01.1973 00:00;6.2;15;70
SGD;29.01.1973 00:00;0;0;70
SGD;30.01.1973 00:00;0;0;60
SGD;31.01.1973 00:00;7.8;12;50
SGD;01.02.1973 00:00;1.5;3;60
SGD;02.02.1973 00:00;0.7;;60
SGD;03.02.1973 00:00;0;0;55
SGD;04.02.1973 00:00;0;0;50
SGD;05.02.1973 00:00;0;0;45
SGD;06.02.1973 00:00;0;0;40
SGD;07.02.1973 00:00;0;0;40
SGD;08.02.1973 00:00;0;0;35
SGD;09.02.1973 00:00;2.5;5;35
SGD;10.02.1973 00:00;14.7;22;40
SGD;11.02.1973 00:00;10.8;18;60
SGD;12.02.1973 00:00;10.3;2;70
SGD;13.02.1973 00:00;2.8;3;55
SGD;14.02.1973 00:00;0;0;55
SGD;15.02.1973 00:00;0;0;52
SGD;16.02.1973 00:00;0;0;52
SGD;17.02.1973 00:00;0.6;;52
SGD;18.02.1973 00:00;0.4;2;52
SGD;19.02.1973 00:00;1.3;3;53
SGD;20.02.1973 00:00;0;0;54
SGD;21.02.1973 00:00;1.3;3;51
SGD;22.02.1973 00:00;10.3;19;54
SGD;23.02.1973 00:00;19.3;31;73
SGD;24.02.1973 00:00;9.6;16;92
SGD;25.02.1973 00:00;4.3;6;100
SGD;26.02.1973 00:00;0;0;95
SGD;27.02.1973 00:00;0.9;2;90
SGD;28.02.1973 00:00;0;0;88
SGD;01.03.1973 00:00;0;0;82
