station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SIA;01.12.1863 00:00;0;;
SIA;02.12.1863 00:00;0;;
SIA;03.12.1863 00:00;0.8;;
SIA;04.12.1863 00:00;0.6;;
SIA;05.12.1863 00:00;0;;
SIA;06.12.1863 00:00;0;;
SIA;07.12.1863 00:00;0;;
SIA;08.12.1863 00:00;0;;
SIA;09.12.1863 00:00;0;;
SIA;10.12.1863 00:00;0;;
SIA;11.12.1863 00:00;0;;
SIA;12.12.1863 00:00;5.5;;
SIA;13.12.1863 00:00;0;;
SIA;14.12.1863 00:00;0;;
SIA;15.12.1863 00:00;0;;
SIA;16.12.1863 00:00;0;;
SIA;17.12.1863 00:00;2.7;;
SIA;18.12.1863 00:00;9.6;;
SIA;19.12.1863 00:00;0;;
SIA;20.12.1863 00:00;0;;
SIA;21.12.1863 00:00;0;;
SIA;22.12.1863 00:00;0;;
SIA;23.12.1863 00:00;4.3;;
SIA;24.12.1863 00:00;0;;
SIA;25.12.1863 00:00;0;;
SIA;26.12.1863 00:00;0;;
SIA;27.12.1863 00:00;0;;
SIA;28.12.1863 00:00;0;;
SIA;29.12.1863 00:00;0;;
SIA;30.12.1863 00:00;0;;
SIA;31.12.1863 00:00;0;;
SIA;01.01.1864 00:00;3.8;4;
SIA;02.01.1864 00:00;0;0;
SIA;03.01.1864 00:00;0;0;
SIA;04.01.1864 00:00;0;0;
SIA;05.01.1864 00:00;0;0;
SIA;06.01.1864 00:00;0;0;
SIA;07.01.1864 00:00;0;0;
SIA;08.01.1864 00:00;0;0;
SIA;09.01.1864 00:00;0;0;
SIA;10.01.1864 00:00;0;0;
SIA;11.01.1864 00:00;0;0;
SIA;12.01.1864 00:00;0;0;
SIA;13.01.1864 00:00;0;0;
SIA;14.01.1864 00:00;0;0;
SIA;15.01.1864 00:00;0;0;
SIA;16.01.1864 00:00;0;0;
SIA;17.01.1864 00:00;0;0;
SIA;18.01.1864 00:00;0;0;
SIA;19.01.1864 00:00;0;0;
SIA;20.01.1864 00:00;0;0;
SIA;21.01.1864 00:00;0;0;
SIA;22.01.1864 00:00;0;0;
SIA;23.01.1864 00:00;0;0;
SIA;24.01.1864 00:00;0;0;
SIA;25.01.1864 00:00;0;0;
SIA;26.01.1864 00:00;0;0;
SIA;27.01.1864 00:00;0;0;
SIA;28.01.1864 00:00;0;1;
SIA;29.01.1864 00:00;1.1;0;
SIA;30.01.1864 00:00;0;0;
SIA;31.01.1864 00:00;0;1;
SIA;01.02.1864 00:00;0.4;0;
SIA;02.02.1864 00:00;0;0;
SIA;03.02.1864 00:00;0;0;
SIA;04.02.1864 00:00;0;2;
SIA;05.02.1864 00:00;1.7;4;
SIA;06.02.1864 00:00;5;8;
SIA;07.02.1864 00:00;6;0;
SIA;08.02.1864 00:00;0;0;
SIA;09.02.1864 00:00;0;0;
SIA;10.02.1864 00:00;0;0;
SIA;11.02.1864 00:00;0;0;
SIA;12.02.1864 00:00;0;0;
SIA;13.02.1864 00:00;0;0;
