station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SIS;01.01.1969 00:00;3.9;;
SIS;02.01.1969 00:00;8;;
SIS;03.01.1969 00:00;0;;
SIS;04.01.1969 00:00;0;;
SIS;05.01.1969 00:00;0;;
SIS;06.01.1969 00:00;0;;
SIS;07.01.1969 00:00;0;;
SIS;08.01.1969 00:00;1.8;;
SIS;09.01.1969 00:00;0;;
SIS;10.01.1969 00:00;0;;
SIS;11.01.1969 00:00;0;;
SIS;12.01.1969 00:00;3.5;;
SIS;13.01.1969 00:00;0;;
SIS;14.01.1969 00:00;2;;
SIS;15.01.1969 00:00;0;;
SIS;16.01.1969 00:00;2.5;;
SIS;17.01.1969 00:00;0;;
SIS;18.01.1969 00:00;9.7;;
SIS;19.01.1969 00:00;0;;
SIS;20.01.1969 00:00;0;;
SIS;21.01.1969 00:00;0;;
SIS;22.01.1969 00:00;0;;
SIS;23.01.1969 00:00;3.6;;
SIS;24.01.1969 00:00;0;;
SIS;25.01.1969 00:00;0;;
SIS;26.01.1969 00:00;0;;
SIS;27.01.1969 00:00;0;;
SIS;28.01.1969 00:00;0.7;;
SIS;29.01.1969 00:00;14.6;;
SIS;30.01.1969 00:00;4.7;;
SIS;31.01.1969 00:00;0;;
SIS;01.02.1969 00:00;0;;
SIS;02.02.1969 00:00;2.3;;
SIS;03.02.1969 00:00;0;;
SIS;04.02.1969 00:00;0;;
SIS;05.02.1969 00:00;0;;
SIS;06.02.1969 00:00;0;;
SIS;07.02.1969 00:00;4.6;;
SIS;08.02.1969 00:00;0.2;;
SIS;09.02.1969 00:00;0;;
SIS;10.02.1969 00:00;13.5;;
SIS;11.02.1969 00:00;3.5;;
SIS;12.02.1969 00:00;4.3;;
SIS;13.02.1969 00:00;2.9;;
SIS;14.02.1969 00:00;0;;
SIS;15.02.1969 00:00;3.1;;
SIS;16.02.1969 00:00;1;;
SIS;17.02.1969 00:00;0;;
SIS;18.02.1969 00:00;3.5;;
SIS;19.02.1969 00:00;11.1;;
SIS;20.02.1969 00:00;0;;
SIS;21.02.1969 00:00;0;;
SIS;22.02.1969 00:00;0;;
SIS;23.02.1969 00:00;0;;
SIS;24.02.1969 00:00;24.5;;
SIS;25.02.1969 00:00;2.8;;
SIS;26.02.1969 00:00;1.6;;
SIS;27.02.1969 00:00;0;;
SIS;28.02.1969 00:00;0;;
SIS;01.03.1969 00:00;0;;
SIS;02.03.1969 00:00;0;;
SIS;03.03.1969 00:00;0;;
SIS;04.03.1969 00:00;0;;
SIS;05.03.1969 00:00;0;;
SIS;06.03.1969 00:00;0;;
SIS;07.03.1969 00:00;0;;
SIS;08.03.1969 00:00;0;;
