station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SKO;09.11.1998 00:00;;;3
SKO;10.11.1998 00:00;;;5
SKO;14.11.1998 00:00;;;2
SKO;16.11.1998 00:00;;;3
SKO;17.11.1998 00:00;;;14
SKO;18.11.1998 00:00;;;24
SKO;19.11.1998 00:00;;;22
SKO;20.11.1998 00:00;;;19
SKO;21.11.1998 00:00;;;18
SKO;22.11.1998 00:00;;;25
SKO;23.11.1998 00:00;;;26
SKO;24.11.1998 00:00;;;19
SKO;25.11.1998 00:00;;;17
SKO;26.11.1998 00:00;;;17
SKO;27.11.1998 00:00;;;16
SKO;28.11.1998 00:00;;;15
SKO;29.11.1998 00:00;;;15
SKO;30.11.1998 00:00;;;14
SKO;01.12.1998 00:00;;;10
SKO;04.12.1998 00:00;;;2
SKO;05.12.1998 00:00;;;4
SKO;06.12.1998 00:00;;;4
SKO;12.12.1998 00:00;;;1
SKO;14.12.1998 00:00;;;6
SKO;15.12.1998 00:00;;;9
SKO;16.12.1998 00:00;;;7
SKO;17.12.1998 00:00;;;6
SKO;19.12.1998 00:00;;;4
SKO;20.12.1998 00:00;;;7
SKO;21.12.1998 00:00;;;5
SKO;22.12.1998 00:00;;;5
SKO;23.12.1998 00:00;;;4
SKO;27.12.1998 00:00;;;6
SKO;28.12.1998 00:00;;;21
SKO;29.12.1998 00:00;;;25
SKO;30.12.1998 00:00;;;21
SKO;31.12.1998 00:00;;;18
SKO;01.01.1999 00:00;;;13
SKO;02.01.1999 00:00;;;10
SKO;03.01.1999 00:00;;;9
SKO;04.01.1999 00:00;;;7
SKO;05.01.1999 00:00;;;5
SKO;06.01.1999 00:00;;;4
SKO;07.01.1999 00:00;;;2
SKO;18.01.1999 00:00;;;2
SKO;19.01.1999 00:00;;;3
SKO;20.01.1999 00:00;;;3
SKO;21.01.1999 00:00;;;3
SKO;22.01.1999 00:00;;;16
SKO;23.01.1999 00:00;;;22
SKO;24.01.1999 00:00;;;20
SKO;25.01.1999 00:00;;;19
SKO;26.01.1999 00:00;;;18
SKO;27.01.1999 00:00;;;16
SKO;28.01.1999 00:00;;;15
SKO;12.02.1999 00:00;;;2
SKO;16.02.1999 00:00;;;2
SKO;17.02.1999 00:00;;;5
SKO;19.02.1999 00:00;;;7
SKO;20.02.1999 00:00;;;8
SKO;21.02.1999 00:00;;;7
SKO;22.02.1999 00:00;;;5
SKO;23.02.1999 00:00;;;3
SKO;01.03.1999 00:00;;;4
SKO;27.03.1999 00:00;;;6
SKO;01.09.1999 00:00;0;;
SKO;02.09.1999 00:00;0;;
SKO;03.09.1999 00:00;0;;
SKO;04.09.1999 00:00;0;;
SKO;05.09.1999 00:00;0;;
SKO;06.09.1999 00:00;0;;
SKO;07.09.1999 00:00;0;;
SKO;08.09.1999 00:00;0;;
SKO;09.09.1999 00:00;0;;
SKO;10.09.1999 00:00;0;;
SKO;11.09.1999 00:00;0;;
SKO;12.09.1999 00:00;0;;
SKO;13.09.1999 00:00;0;;
SKO;14.09.1999 00:00;0;;
SKO;15.09.1999 00:00;0;;
SKO;16.09.1999 00:00;0;;
SKO;17.09.1999 00:00;11.1;;
SKO;18.09.1999 00:00;0;;
SKO;19.09.1999 00:00;0;;
SKO;20.09.1999 00:00;23.9;;
SKO;21.09.1999 00:00;2.4;;
SKO;22.09.1999 00:00;0;;
SKO;23.09.1999 00:00;14.2;;
SKO;24.09.1999 00:00;2.2;;
SKO;25.09.1999 00:00;16.3;;
SKO;26.09.1999 00:00;12.7;;
SKO;27.09.1999 00:00;5.4;;
SKO;28.09.1999 00:00;0.3;;
SKO;29.09.1999 00:00;16.9;;
SKO;30.09.1999 00:00;9.6;;
SKO;01.10.1999 00:00;0.3;;
SKO;02.10.1999 00:00;2.4;;
SKO;03.10.1999 00:00;13.6;;
SKO;04.10.1999 00:00;8.5;;
SKO;05.10.1999 00:00;2.4;;
SKO;06.10.1999 00:00;0;;
SKO;07.10.1999 00:00;0;;
SKO;08.10.1999 00:00;0.6;;
SKO;09.10.1999 00:00;0;;
SKO;10.10.1999 00:00;0;;
SKO;11.10.1999 00:00;0;;
SKO;12.10.1999 00:00;0;;
SKO;13.10.1999 00:00;0.2;;
SKO;14.10.1999 00:00;0;;
SKO;15.10.1999 00:00;0;;
SKO;16.10.1999 00:00;0;;
SKO;17.10.1999 00:00;0;;
SKO;18.10.1999 00:00;0;;
SKO;19.10.1999 00:00;2.3;;
SKO;20.10.1999 00:00;0;;
SKO;21.10.1999 00:00;0;;
SKO;22.10.1999 00:00;0.2;;
SKO;23.10.1999 00:00;0.9;;
SKO;24.10.1999 00:00;0;;
SKO;25.10.1999 00:00;2.8;;
SKO;26.10.1999 00:00;0;;
SKO;27.10.1999 00:00;0;;
SKO;28.10.1999 00:00;0;;
SKO;29.10.1999 00:00;0;;
SKO;30.10.1999 00:00;4.7;;
SKO;31.10.1999 00:00;0;;
SKO;01.11.1999 00:00;0;;
SKO;02.11.1999 00:00;23.3;;
SKO;03.11.1999 00:00;6.2;;
SKO;04.11.1999 00:00;0;;
SKO;05.11.1999 00:00;0.4;;
SKO;06.11.1999 00:00;7.3;;
SKO;07.11.1999 00:00;0;;
SKO;08.11.1999 00:00;0;;
SKO;09.11.1999 00:00;29.3;;
SKO;10.11.1999 00:00;10.5;;
SKO;11.11.1999 00:00;0.4;;
SKO;12.11.1999 00:00;0;;
SKO;13.11.1999 00:00;0;;
SKO;14.11.1999 00:00;3.6;;
SKO;15.11.1999 00:00;0;;
SKO;16.11.1999 00:00;3;;
SKO;17.11.1999 00:00;7.9;;12
SKO;18.11.1999 00:00;15;;11
SKO;19.11.1999 00:00;3.8;;3
SKO;20.11.1999 00:00;0;;
SKO;21.11.1999 00:00;0.4;;
SKO;22.11.1999 00:00;8.8;;
SKO;23.11.1999 00:00;5.7;;
SKO;24.11.1999 00:00;0;;
SKO;25.11.1999 00:00;0;;
SKO;26.11.1999 00:00;0;;
SKO;27.11.1999 00:00;0;;
SKO;28.11.1999 00:00;0;;
SKO;29.11.1999 00:00;0;;
SKO;30.11.1999 00:00;0;;
SKO;01.12.1999 00:00;0.2;;
SKO;02.12.1999 00:00;1.2;;
