station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SNS;01.01.1976 00:00;0.4;;
SNS;02.01.1976 00:00;0;;
SNS;03.01.1976 00:00;0.4;;
SNS;04.01.1976 00:00;0;;
SNS;05.01.1976 00:00;0;;
SNS;06.01.1976 00:00;0;;
SNS;07.01.1976 00:00;0;;
SNS;08.01.1976 00:00;0;;
SNS;09.01.1976 00:00;0;;
SNS;10.01.1976 00:00;2;;
SNS;11.01.1976 00:00;0.3;;
SNS;12.01.1976 00:00;0;;
SNS;13.01.1976 00:00;0;;
SNS;14.01.1976 00:00;0;;
SNS;15.01.1976 00:00;2.6;;
SNS;16.01.1976 00:00;11.9;;
SNS;17.01.1976 00:00;2.8;;
SNS;18.01.1976 00:00;0;;
SNS;19.01.1976 00:00;0;;
SNS;20.01.1976 00:00;0.4;;
SNS;21.01.1976 00:00;0.1;;
SNS;22.01.1976 00:00;0.4;;
SNS;23.01.1976 00:00;8.5;;
SNS;24.01.1976 00:00;1.1;;
SNS;25.01.1976 00:00;0;;
SNS;26.01.1976 00:00;0.5;;
SNS;27.01.1976 00:00;5.6;;
SNS;28.01.1976 00:00;0;;
SNS;29.01.1976 00:00;0;;
SNS;30.01.1976 00:00;0;;
SNS;31.01.1976 00:00;0;;
SNS;01.02.1976 00:00;0;;
SNS;02.02.1976 00:00;0;;
SNS;03.02.1976 00:00;0;;
SNS;04.02.1976 00:00;0;;
SNS;05.02.1976 00:00;0;;
SNS;06.02.1976 00:00;0;;
SNS;07.02.1976 00:00;0;;
SNS;08.02.1976 00:00;2.2;;
SNS;09.02.1976 00:00;1.3;;
SNS;10.02.1976 00:00;4.5;;
SNS;11.02.1976 00:00;6.5;;
SNS;12.02.1976 00:00;0.1;;
SNS;13.02.1976 00:00;10;;
SNS;14.02.1976 00:00;3.4;;
SNS;15.02.1976 00:00;0;;
SNS;16.02.1976 00:00;0;;
SNS;17.02.1976 00:00;0;;
SNS;18.02.1976 00:00;0;;
SNS;19.02.1976 00:00;0;;
SNS;20.02.1976 00:00;0;;
SNS;21.02.1976 00:00;0;;
SNS;22.02.1976 00:00;0;;
SNS;23.02.1976 00:00;0;;
SNS;24.02.1976 00:00;0;;
SNS;25.02.1976 00:00;0;;
SNS;26.02.1976 00:00;0;;
SNS;27.02.1976 00:00;0;;
SNS;28.02.1976 00:00;0;;
SNS;29.02.1976 00:00;0;;
SNS;01.03.1976 00:00;0;;
SNS;02.03.1976 00:00;0;;
SNS;03.03.1976 00:00;0;;
SNS;04.03.1976 00:00;0;;
SNS;05.03.1976 00:00;0;;
SNS;06.03.1976 00:00;0.6;;
SNS;07.03.1976 00:00;6.8;;
SNS;08.03.1976 00:00;2.2;;
SNS;09.03.1976 00:00;0;;
SNS;10.03.1976 00:00;0;;
SNS;11.03.1976 00:00;0;;
SNS;12.03.1976 00:00;0;;
SNS;13.03.1976 00:00;0;;
SNS;14.03.1976 00:00;0;;
SNS;15.03.1976 00:00;0;;
SNS;16.03.1976 00:00;4.6;;
SNS;17.03.1976 00:00;0.4;;
SNS;18.03.1976 00:00;0.4;;
SNS;19.03.1976 00:00;3.7;;
SNS;20.03.1976 00:00;0;;
SNS;21.03.1976 00:00;0;;
SNS;22.03.1976 00:00;5.6;;
SNS;23.03.1976 00:00;0.1;;
SNS;24.03.1976 00:00;0;;
SNS;25.03.1976 00:00;5.3;;
SNS;26.03.1976 00:00;0.2;;
SNS;27.03.1976 00:00;0.9;;
SNS;28.03.1976 00:00;0;;
SNS;29.03.1976 00:00;0;;
SNS;30.03.1976 00:00;0;;
SNS;31.03.1976 00:00;0;;
SNS;01.04.1976 00:00;0;;
SNS;02.04.1976 00:00;0;;
SNS;03.04.1976 00:00;0;;
SNS;04.04.1976 00:00;0;;
SNS;05.04.1976 00:00;0;;
SNS;06.04.1976 00:00;0;;
SNS;07.04.1976 00:00;28.5;;
SNS;08.04.1976 00:00;3.1;;
SNS;09.04.1976 00:00;0;;
SNS;10.04.1976 00:00;0;;
SNS;11.04.1976 00:00;0;;
SNS;12.04.1976 00:00;0;;
SNS;13.04.1976 00:00;0;;
SNS;14.04.1976 00:00;14.1;;
SNS;15.04.1976 00:00;0;;
SNS;16.04.1976 00:00;0;;
SNS;17.04.1976 00:00;0;;
SNS;18.04.1976 00:00;0;;
SNS;19.04.1976 00:00;0.3;;
SNS;20.04.1976 00:00;0;;
SNS;21.04.1976 00:00;2.1;;
SNS;22.04.1976 00:00;23.1;;
SNS;23.04.1976 00:00;31.4;;
SNS;24.04.1976 00:00;6.4;;
SNS;25.04.1976 00:00;4.7;;
SNS;26.04.1976 00:00;0;;
SNS;27.04.1976 00:00;0;;
SNS;28.04.1976 00:00;0;;
SNS;29.04.1976 00:00;0;;
SNS;30.04.1976 00:00;0;;
SNS;01.05.1976 00:00;0;;
SNS;02.05.1976 00:00;0;;
SNS;03.05.1976 00:00;1;;
SNS;04.05.1976 00:00;0.3;;
SNS;05.05.1976 00:00;0;;
SNS;06.05.1976 00:00;0;;
SNS;07.05.1976 00:00;0;;
SNS;08.05.1976 00:00;0;;
SNS;09.05.1976 00:00;0;;
SNS;10.05.1976 00:00;27.6;;
SNS;11.05.1976 00:00;23.8;;
SNS;12.05.1976 00:00;0.2;;
SNS;13.05.1976 00:00;6.8;;
SNS;14.05.1976 00:00;0;;
