station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SON;01.04.1987 00:00;0;;
SON;02.04.1987 00:00;6.1;;
SON;03.04.1987 00:00;59.3;;
SON;04.04.1987 00:00;95.5;;
SON;05.04.1987 00:00;12;;
SON;06.04.1987 00:00;0;;
SON;07.04.1987 00:00;0;;
SON;08.04.1987 00:00;8;;
SON;09.04.1987 00:00;17.2;;
SON;10.04.1987 00:00;0;;
SON;11.04.1987 00:00;0;;
SON;12.04.1987 00:00;0;;
SON;13.04.1987 00:00;0;;
SON;14.04.1987 00:00;0;;
SON;15.04.1987 00:00;0;;
SON;16.04.1987 00:00;0;;
SON;17.04.1987 00:00;0;;
SON;18.04.1987 00:00;0;;
SON;19.04.1987 00:00;0;;
SON;20.04.1987 00:00;0;;
SON;21.04.1987 00:00;0;;
SON;22.04.1987 00:00;0;;
SON;23.04.1987 00:00;0;;
SON;24.04.1987 00:00;0;;
SON;25.04.1987 00:00;0;;
SON;26.04.1987 00:00;0;;
SON;27.04.1987 00:00;0;;
SON;28.04.1987 00:00;0;;
SON;29.04.1987 00:00;0;;
SON;30.04.1987 00:00;0;;
SON;01.05.1987 00:00;0;;
SON;02.05.1987 00:00;10;;
SON;03.05.1987 00:00;40.2;;
SON;04.05.1987 00:00;0;;
SON;05.05.1987 00:00;0;;
SON;06.05.1987 00:00;0;;
SON;07.05.1987 00:00;0;;
SON;08.05.1987 00:00;0;;
SON;09.05.1987 00:00;0;;
SON;10.05.1987 00:00;3.8;;
SON;11.05.1987 00:00;0;;
SON;12.05.1987 00:00;11;;
SON;13.05.1987 00:00;6.4;;
SON;14.05.1987 00:00;2.1;;
SON;15.05.1987 00:00;12.3;;
SON;16.05.1987 00:00;0.3;;
SON;17.05.1987 00:00;15;;
SON;18.05.1987 00:00;30;;
SON;19.05.1987 00:00;6.4;;
SON;20.05.1987 00:00;0;;
SON;21.05.1987 00:00;0;;
SON;22.05.1987 00:00;0;;
SON;23.05.1987 00:00;0;;
SON;24.05.1987 00:00;0;;
SON;25.05.1987 00:00;0;;
SON;26.05.1987 00:00;0;;
SON;27.05.1987 00:00;0.8;;
SON;28.05.1987 00:00;9.2;;
SON;29.05.1987 00:00;0;;
SON;30.05.1987 00:00;0;;
SON;31.05.1987 00:00;0;;
SON;01.06.1987 00:00;0;;
SON;02.06.1987 00:00;0;;
SON;03.06.1987 00:00;19.6;;
SON;04.06.1987 00:00;18.3;;
SON;05.06.1987 00:00;0;;
SON;06.06.1987 00:00;0;;
SON;07.06.1987 00:00;50;;
SON;08.06.1987 00:00;109.2;;
SON;09.06.1987 00:00;52.4;;
SON;10.06.1987 00:00;3.4;;
SON;11.06.1987 00:00;0.2;;
SON;12.06.1987 00:00;0;;
SON;13.06.1987 00:00;40;;
SON;14.06.1987 00:00;23.7;;
SON;15.06.1987 00:00;200.2;;
SON;16.06.1987 00:00;0;;
SON;17.06.1987 00:00;0;;
SON;18.06.1987 00:00;0;;
SON;19.06.1987 00:00;14.8;;
SON;20.06.1987 00:00;0;;
SON;21.06.1987 00:00;0;;
SON;22.06.1987 00:00;0;;
SON;23.06.1987 00:00;0;;
SON;24.06.1987 00:00;0;;
SON;25.06.1987 00:00;12;;
SON;26.06.1987 00:00;32;;
SON;27.06.1987 00:00;0;;
SON;28.06.1987 00:00;0;;
SON;29.06.1987 00:00;0;;
SON;30.06.1987 00:00;0;;
SON;01.07.1987 00:00;15.2;;
SON;02.07.1987 00:00;0;;
SON;03.07.1987 00:00;8.2;;
SON;04.07.1987 00:00;0;;
SON;05.07.1987 00:00;0;;
SON;06.07.1987 00:00;0.4;;
SON;07.07.1987 00:00;1;;
SON;08.07.1987 00:00;17.4;;
SON;09.07.1987 00:00;0;;
SON;10.07.1987 00:00;0;;
SON;11.07.1987 00:00;0;;
SON;12.07.1987 00:00;0;;
SON;13.07.1987 00:00;0;;
SON;14.07.1987 00:00;16.2;;
SON;15.07.1987 00:00;8;;
SON;16.07.1987 00:00;50;;
SON;17.07.1987 00:00;290;;
SON;18.07.1987 00:00;170.4;;
SON;19.07.1987 00:00;24;;
SON;20.07.1987 00:00;7.5;;
SON;21.07.1987 00:00;21.4;;
SON;22.07.1987 00:00;8.1;;
SON;23.07.1987 00:00;21.3;;
SON;24.07.1987 00:00;0.3;;
SON;25.07.1987 00:00;1.7;;
SON;26.07.1987 00:00;0;;
SON;27.07.1987 00:00;0;;
SON;28.07.1987 00:00;0;;
SON;29.07.1987 00:00;7.9;;
SON;30.07.1987 00:00;10;;
SON;31.07.1987 00:00;0;;
SON;01.08.1987 00:00;0;;
SON;02.08.1987 00:00;0;;
SON;03.08.1987 00:00;0;;
SON;04.08.1987 00:00;0;;
SON;05.08.1987 00:00;0;;
SON;06.08.1987 00:00;1.8;;
SON;07.08.1987 00:00;0.6;;
SON;08.08.1987 00:00;0;;
SON;09.08.1987 00:00;1.5;;
SON;10.08.1987 00:00;0;;
SON;11.08.1987 00:00;0;;
SON;12.08.1987 00:00;0;;
SON;13.08.1987 00:00;0;;
SON;14.08.1987 00:00;0;;
SON;15.08.1987 00:00;0;;
SON;16.08.1987 00:00;0;;
SON;17.08.1987 00:00;18.9;;
SON;18.08.1987 00:00;0;;
SON;19.08.1987 00:00;0;;
SON;20.08.1987 00:00;0;;
SON;21.08.1987 00:00;0;;
SON;22.08.1987 00:00;0;;
SON;23.08.1987 00:00;81.2;;
SON;24.08.1987 00:00;40;;
SON;25.08.1987 00:00;24.5;;
SON;26.08.1987 00:00;2.1;;
SON;27.08.1987 00:00;24.5;;
SON;28.08.1987 00:00;0;;
SON;29.08.1987 00:00;0;;
SON;30.08.1987 00:00;0;;
SON;31.08.1987 00:00;0;;
SON;01.09.1987 00:00;19.2;;
SON;02.09.1987 00:00;3.1;;
SON;03.09.1987 00:00;0;;
SON;04.09.1987 00:00;5.5;;
SON;05.09.1987 00:00;2.7;;
SON;06.09.1987 00:00;0;;
SON;07.09.1987 00:00;0;;
SON;08.09.1987 00:00;0;;
SON;09.09.1987 00:00;0;;
SON;10.09.1987 00:00;0;;
SON;11.09.1987 00:00;0;;
SON;12.09.1987 00:00;0;;
SON;13.09.1987 00:00;0;;
SON;14.09.1987 00:00;0;;
SON;15.09.1987 00:00;0;;
SON;16.09.1987 00:00;0;;
SON;17.09.1987 00:00;0;;
SON;18.09.1987 00:00;0;;
SON;19.09.1987 00:00;0;;
SON;20.09.1987 00:00;0;;
SON;21.09.1987 00:00;0;;
SON;22.09.1987 00:00;2;;
SON;23.09.1987 00:00;7.2;;
SON;24.09.1987 00:00;0;;
SON;25.09.1987 00:00;27.2;;
SON;26.09.1987 00:00;70;;
SON;27.09.1987 00:00;0;;
SON;28.09.1987 00:00;0;;
SON;29.09.1987 00:00;0.2;;
SON;30.09.1987 00:00;0;;
SON;01.10.1987 00:00;0;;
SON;02.10.1987 00:00;0.2;;
SON;03.10.1987 00:00;0;;
SON;04.10.1987 00:00;17;;
SON;05.10.1987 00:00;58.9;;
SON;06.10.1987 00:00;32.1;;
SON;07.10.1987 00:00;23;;
SON;08.10.1987 00:00;37.6;;
SON;09.10.1987 00:00;8;;
SON;10.10.1987 00:00;42;;
SON;11.10.1987 00:00;60.4;;
SON;12.10.1987 00:00;14.4;;
SON;13.10.1987 00:00;0.6;;
SON;14.10.1987 00:00;39;;
SON;15.10.1987 00:00;37;;
SON;16.10.1987 00:00;11.9;;
SON;17.10.1987 00:00;19.6;;
SON;18.10.1987 00:00;0;;
SON;19.10.1987 00:00;0;;
SON;20.10.1987 00:00;0;;
SON;21.10.1987 00:00;7;;
SON;22.10.1987 00:00;22.2;;
SON;23.10.1987 00:00;14;;
SON;24.10.1987 00:00;0;;
SON;25.10.1987 00:00;0.2;;
SON;26.10.1987 00:00;0;;
SON;27.10.1987 00:00;1.7;;
SON;28.10.1987 00:00;1.5;;
SON;29.10.1987 00:00;3.6;;
SON;30.10.1987 00:00;0.1;;
SON;31.10.1987 00:00;0;;
SON;01.11.1987 00:00;0;;
SON;02.11.1987 00:00;0;;
SON;03.11.1987 00:00;0.1;;
SON;04.11.1987 00:00;0;;
SON;05.11.1987 00:00;0;;
SON;06.11.1987 00:00;0;;
SON;07.11.1987 00:00;0;;
SON;08.11.1987 00:00;0;;
SON;09.11.1987 00:00;0.4;;
SON;10.11.1987 00:00;0;;
SON;11.11.1987 00:00;0;;
SON;12.11.1987 00:00;4.1;;
SON;13.11.1987 00:00;13.6;;
SON;14.11.1987 00:00;0;;
SON;15.11.1987 00:00;0;;
SON;16.11.1987 00:00;0;;
SON;17.11.1987 00:00;0;;
SON;18.11.1987 00:00;0;;
SON;19.11.1987 00:00;2.5;;
SON;20.11.1987 00:00;0;;
SON;21.11.1987 00:00;0;;
SON;22.11.1987 00:00;5.2;;
SON;23.11.1987 00:00;8.7;;
SON;24.11.1987 00:00;51.1;;
SON;25.11.1987 00:00;12.3;;
SON;26.11.1987 00:00;0;;
SON;27.11.1987 00:00;0;;
SON;28.11.1987 00:00;3.2;;
SON;29.11.1987 00:00;0;;
SON;30.11.1987 00:00;0;;
SON;01.12.1987 00:00;0;;
SON;02.12.1987 00:00;0;;
SON;03.12.1987 00:00;0;;
SON;04.12.1987 00:00;2.3;;
SON;05.12.1987 00:00;17.7;;
SON;06.12.1987 00:00;2.9;;
SON;07.12.1987 00:00;0;;
SON;08.12.1987 00:00;0;;
SON;09.12.1987 00:00;1.7;;
SON;10.12.1987 00:00;0;;
SON;11.12.1987 00:00;0;;
SON;12.12.1987 00:00;0;;
SON;13.12.1987 00:00;0;;
SON;14.12.1987 00:00;0;;
SON;15.12.1987 00:00;0;;
SON;16.12.1987 00:00;0;;
SON;17.12.1987 00:00;0;;
SON;18.12.1987 00:00;0;;
SON;19.12.1987 00:00;0;;
SON;20.12.1987 00:00;0;;
SON;21.12.1987 00:00;0;;
SON;22.12.1987 00:00;0;;
SON;23.12.1987 00:00;0;;
SON;24.12.1987 00:00;0;;
SON;25.12.1987 00:00;0;;
SON;26.12.1987 00:00;0;;
SON;27.12.1987 00:00;0;;
SON;28.12.1987 00:00;0;;
SON;29.12.1987 00:00;0;;
SON;30.12.1987 00:00;0;;
SON;31.12.1987 00:00;0;;
SON;01.01.1988 00:00;0;;
SON;02.01.1988 00:00;1.7;;
SON;03.01.1988 00:00;0;;
SON;04.01.1988 00:00;0;;
SON;05.01.1988 00:00;1.3;;
SON;06.01.1988 00:00;27.3;;
SON;07.01.1988 00:00;0;;
SON;08.01.1988 00:00;0;;
SON;09.01.1988 00:00;0;;
SON;10.01.1988 00:00;0;;
SON;11.01.1988 00:00;0;;
SON;12.01.1988 00:00;0;;
SON;13.01.1988 00:00;13.5;;
SON;14.01.1988 00:00;48.7;;
SON;15.01.1988 00:00;18.4;;
SON;16.01.1988 00:00;0;;
SON;17.01.1988 00:00;0;;
SON;18.01.1988 00:00;0.9;;
SON;19.01.1988 00:00;3;;
SON;20.01.1988 00:00;8.6;;
SON;21.01.1988 00:00;18.1;;
SON;22.01.1988 00:00;0;;
SON;23.01.1988 00:00;0;;
SON;24.01.1988 00:00;0;;
SON;25.01.1988 00:00;6;;
SON;26.01.1988 00:00;0;;
SON;27.01.1988 00:00;0;;
SON;28.01.1988 00:00;38;;
SON;29.01.1988 00:00;11.2;;
SON;30.01.1988 00:00;0;;
SON;31.01.1988 00:00;0;;
SON;01.02.1988 00:00;2.3;;
SON;02.02.1988 00:00;0;;
SON;03.02.1988 00:00;0;;
SON;04.02.1988 00:00;14.2;;
SON;05.02.1988 00:00;1;;
SON;06.02.1988 00:00;40;;
SON;07.02.1988 00:00;7.3;;
SON;08.02.1988 00:00;6.5;;
SON;09.02.1988 00:00;0;;
SON;10.02.1988 00:00;0;;
SON;11.02.1988 00:00;13.4;;
SON;12.02.1988 00:00;0;;
SON;13.02.1988 00:00;0;;
SON;14.02.1988 00:00;0;;
SON;15.02.1988 00:00;0;;
SON;16.02.1988 00:00;0;;
SON;17.02.1988 00:00;0;;
SON;18.02.1988 00:00;0;;
SON;19.02.1988 00:00;0;;
SON;20.02.1988 00:00;0;;
SON;21.02.1988 00:00;0;;
SON;22.02.1988 00:00;0;;
SON;23.02.1988 00:00;0;;
SON;24.02.1988 00:00;0;;
SON;25.02.1988 00:00;0;;
SON;26.02.1988 00:00;0;;
SON;27.02.1988 00:00;0;;
SON;28.02.1988 00:00;0;;
SON;29.02.1988 00:00;0;;
SON;01.03.1988 00:00;0;;
SON;02.03.1988 00:00;0;;
SON;03.03.1988 00:00;0;;
SON;04.03.1988 00:00;5;;
SON;05.03.1988 00:00;0;;
SON;06.03.1988 00:00;0;;
SON;07.03.1988 00:00;0;;
SON;08.03.1988 00:00;0;;
SON;09.03.1988 00:00;0;;
SON;10.03.1988 00:00;0;;
SON;11.03.1988 00:00;0;;
SON;12.03.1988 00:00;0;;
SON;13.03.1988 00:00;0;;
SON;14.03.1988 00:00;0;;
