station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SPA;01.01.1961 00:00;0;;
SPA;02.01.1961 00:00;6.7;;
SPA;03.01.1961 00:00;10.4;;
SPA;04.01.1961 00:00;2.5;;
SPA;05.01.1961 00:00;0;;
SPA;06.01.1961 00:00;0;;
SPA;07.01.1961 00:00;0;;
SPA;08.01.1961 00:00;4.2;;
SPA;09.01.1961 00:00;0;;
SPA;10.01.1961 00:00;0;;
SPA;11.01.1961 00:00;5.4;;
SPA;12.01.1961 00:00;0;;
SPA;13.01.1961 00:00;0;;
SPA;14.01.1961 00:00;0;;
SPA;15.01.1961 00:00;0;;
SPA;16.01.1961 00:00;0;;
SPA;17.01.1961 00:00;0;;
SPA;18.01.1961 00:00;0;;
SPA;19.01.1961 00:00;0;;
SPA;20.01.1961 00:00;0;;
SPA;21.01.1961 00:00;0;;
SPA;22.01.1961 00:00;0;;
SPA;23.01.1961 00:00;7.7;;
SPA;24.01.1961 00:00;12.3;;
SPA;25.01.1961 00:00;3.2;;
SPA;26.01.1961 00:00;0;;
SPA;27.01.1961 00:00;0;;
SPA;28.01.1961 00:00;0;;
SPA;29.01.1961 00:00;5.2;;
SPA;30.01.1961 00:00;0;;
SPA;31.01.1961 00:00;7.4;;
SPA;01.02.1961 00:00;2.4;;
SPA;02.02.1961 00:00;8.7;;
SPA;03.02.1961 00:00;8.5;;
SPA;04.02.1961 00:00;0;;
SPA;05.02.1961 00:00;8;;
SPA;06.02.1961 00:00;1.8;;
SPA;07.02.1961 00:00;0.6;;
SPA;08.02.1961 00:00;0;;
SPA;09.02.1961 00:00;9.8;;
SPA;10.02.1961 00:00;0;;
SPA;11.02.1961 00:00;0;;
SPA;12.02.1961 00:00;6.2;;
SPA;13.02.1961 00:00;0;;
SPA;14.02.1961 00:00;0;;
SPA;15.02.1961 00:00;0;;
SPA;16.02.1961 00:00;0;;
SPA;17.02.1961 00:00;0;;
SPA;18.02.1961 00:00;0;;
SPA;19.02.1961 00:00;0;;
SPA;20.02.1961 00:00;0;;
SPA;21.02.1961 00:00;0;;
SPA;22.02.1961 00:00;0;;
SPA;23.02.1961 00:00;0;;
SPA;24.02.1961 00:00;0;;
SPA;25.02.1961 00:00;0;;
SPA;26.02.1961 00:00;0;;
SPA;27.02.1961 00:00;0;;
SPA;28.02.1961 00:00;1.7;;
SPA;01.03.1961 00:00;0;;
SPA;02.03.1961 00:00;3.1;;
SPA;03.03.1961 00:00;2.2;;
SPA;04.03.1961 00:00;0;;
SPA;05.03.1961 00:00;0;;
SPA;06.03.1961 00:00;0;;
SPA;07.03.1961 00:00;0;;
SPA;08.03.1961 00:00;0;;
SPA;09.03.1961 00:00;0;;
SPA;10.03.1961 00:00;0;;
SPA;11.03.1961 00:00;0;;
SPA;12.03.1961 00:00;0;;
SPA;13.03.1961 00:00;0;;
SPA;14.03.1961 00:00;0;;
SPA;15.03.1961 00:00;0;;
SPA;16.03.1961 00:00;0;;
SPA;17.03.1961 00:00;0;;
SPA;18.03.1961 00:00;0;;
SPA;19.03.1961 00:00;16.3;;
SPA;20.03.1961 00:00;0;;
SPA;21.03.1961 00:00;6.3;;
SPA;22.03.1961 00:00;0;;
