station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRL;01.11.1998 00:00;4.8;;
SRL;02.11.1998 00:00;0;;
SRL;03.11.1998 00:00;0;;
SRL;04.11.1998 00:00;5.1;;
SRL;05.11.1998 00:00;0;;
SRL;06.11.1998 00:00;0;;
SRL;07.11.1998 00:00;0;;
SRL;08.11.1998 00:00;0;;
SRL;09.11.1998 00:00;0;;
SRL;10.11.1998 00:00;2.1;;
SRL;11.11.1998 00:00;0;;
SRL;12.11.1998 00:00;0;;
SRL;13.11.1998 00:00;0;;
SRL;14.11.1998 00:00;2.2;;
SRL;15.11.1998 00:00;3;;
SRL;16.11.1998 00:00;0;;
SRL;17.11.1998 00:00;0;;
SRL;18.11.1998 00:00;0;;
SRL;19.11.1998 00:00;0.2;;
SRL;20.11.1998 00:00;0;;
SRL;21.11.1998 00:00;0;;
SRL;22.11.1998 00:00;0;;
SRL;23.11.1998 00:00;1.4;;
SRL;24.11.1998 00:00;0;;
SRL;25.11.1998 00:00;1.1;;
SRL;26.11.1998 00:00;0;;
SRL;27.11.1998 00:00;0;;
SRL;28.11.1998 00:00;0;;
SRL;29.11.1998 00:00;0.8;;
SRL;30.11.1998 00:00;0;;
SRL;01.12.1998 00:00;0.1;;
SRL;02.12.1998 00:00;0;;
SRL;03.12.1998 00:00;0;;
SRL;04.12.1998 00:00;0;;
SRL;05.12.1998 00:00;5;;
SRL;06.12.1998 00:00;1;;
SRL;07.12.1998 00:00;0.5;;
SRL;08.12.1998 00:00;0;;
SRL;09.12.1998 00:00;0.1;;
SRL;10.12.1998 00:00;0.1;;
SRL;11.12.1998 00:00;0.1;;
SRL;12.12.1998 00:00;4.2;;
SRL;13.12.1998 00:00;0.1;;
SRL;14.12.1998 00:00;0;;
SRL;15.12.1998 00:00;0;;
SRL;16.12.1998 00:00;0;;
SRL;17.12.1998 00:00;0;;
SRL;18.12.1998 00:00;0;;
SRL;19.12.1998 00:00;0;;
SRL;20.12.1998 00:00;0.1;;
SRL;21.12.1998 00:00;0;;
SRL;22.12.1998 00:00;0;;
SRL;23.12.1998 00:00;0;;
SRL;24.12.1998 00:00;0;;
SRL;25.12.1998 00:00;0;;
SRL;26.12.1998 00:00;0;;
SRL;27.12.1998 00:00;0;;
SRL;28.12.1998 00:00;0;;
SRL;29.12.1998 00:00;0;;
SRL;30.12.1998 00:00;0;;
SRL;31.12.1998 00:00;0.1;;
SRL;01.01.1999 00:00;0;;
SRL;02.01.1999 00:00;0;;
SRL;03.01.1999 00:00;0.3;;
SRL;04.01.1999 00:00;0.2;;
SRL;05.01.1999 00:00;0;;
SRL;06.01.1999 00:00;0;;
SRL;07.01.1999 00:00;0;;
SRL;08.01.1999 00:00;0;;
SRL;09.01.1999 00:00;0;;
SRL;10.01.1999 00:00;0.7;;
SRL;11.01.1999 00:00;0.4;;
SRL;12.01.1999 00:00;0;;
SRL;13.01.1999 00:00;0;;
SRL;14.01.1999 00:00;0;;
SRL;15.01.1999 00:00;0;;
SRL;16.01.1999 00:00;0;;
SRL;17.01.1999 00:00;0;;
SRL;18.01.1999 00:00;0;;
SRL;19.01.1999 00:00;0;;
SRL;20.01.1999 00:00;0;;
SRL;21.01.1999 00:00;0;;
SRL;22.01.1999 00:00;0;;
SRL;23.01.1999 00:00;0;;
SRL;24.01.1999 00:00;0;;
SRL;25.01.1999 00:00;0;;
SRL;26.01.1999 00:00;0;;
SRL;27.01.1999 00:00;7.2;;
SRL;28.01.1999 00:00;38;;
SRL;29.01.1999 00:00;1;;
SRL;30.01.1999 00:00;0;;
SRL;31.01.1999 00:00;0;;
SRL;01.02.1999 00:00;0;;
SRL;02.02.1999 00:00;0;;
SRL;03.02.1999 00:00;0;;
SRL;04.02.1999 00:00;0;;
SRL;05.02.1999 00:00;15;;
SRL;06.02.1999 00:00;10;;
SRL;07.02.1999 00:00;5;;
SRL;08.02.1999 00:00;5;;
