station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SRN;01.10.1895 00:00;0;;
SRN;02.10.1895 00:00;12.4;;
SRN;03.10.1895 00:00;0.5;;
SRN;04.10.1895 00:00;5.6;;
SRN;05.10.1895 00:00;0;;
SRN;06.10.1895 00:00;0;;
SRN;07.10.1895 00:00;2.9;;
SRN;08.10.1895 00:00;1.6;;
SRN;09.10.1895 00:00;31.1;;
SRN;10.10.1895 00:00;0.4;;
SRN;11.10.1895 00:00;0;;
SRN;12.10.1895 00:00;0.6;;
SRN;13.10.1895 00:00;0;;
SRN;14.10.1895 00:00;0;;
SRN;15.10.1895 00:00;0;;
SRN;16.10.1895 00:00;9;;
SRN;17.10.1895 00:00;0;;
SRN;18.10.1895 00:00;0;;
SRN;19.10.1895 00:00;0;;
SRN;20.10.1895 00:00;0;;
SRN;21.10.1895 00:00;0;;
SRN;22.10.1895 00:00;0.7;;
SRN;23.10.1895 00:00;2.6;;
SRN;24.10.1895 00:00;23.7;;
SRN;25.10.1895 00:00;0.1;;
SRN;26.10.1895 00:00;3.7;;
SRN;27.10.1895 00:00;3.4;;
SRN;28.10.1895 00:00;0;;
SRN;29.10.1895 00:00;0;;
SRN;30.10.1895 00:00;3.1;;
SRN;31.10.1895 00:00;0;;
SRN;01.11.1895 00:00;0;;
SRN;02.11.1895 00:00;0;;
SRN;03.11.1895 00:00;5.4;;
SRN;04.11.1895 00:00;0;;
SRN;05.11.1895 00:00;0;;
SRN;06.11.1895 00:00;0;;
SRN;07.11.1895 00:00;0;;
SRN;08.11.1895 00:00;0;;
SRN;09.11.1895 00:00;3.4;;
SRN;10.11.1895 00:00;1.8;;
SRN;11.11.1895 00:00;0.1;;
SRN;12.11.1895 00:00;9.4;;
SRN;13.11.1895 00:00;18.9;;
SRN;14.11.1895 00:00;0.2;;
SRN;15.11.1895 00:00;0;;
SRN;16.11.1895 00:00;0;;
SRN;17.11.1895 00:00;0;;
SRN;18.11.1895 00:00;0.4;;
SRN;19.11.1895 00:00;0;;
SRN;20.11.1895 00:00;0;;
SRN;21.11.1895 00:00;0;;
SRN;22.11.1895 00:00;0;;
SRN;23.11.1895 00:00;0.7;;
SRN;24.11.1895 00:00;0;;
SRN;25.11.1895 00:00;0;;
SRN;26.11.1895 00:00;0;;
SRN;27.11.1895 00:00;0;;
SRN;28.11.1895 00:00;2.9;;
SRN;29.11.1895 00:00;2.2;;
SRN;30.11.1895 00:00;2;;
SRN;01.12.1895 00:00;1.8;;
SRN;02.12.1895 00:00;0;;
SRN;03.12.1895 00:00;0;;
SRN;04.12.1895 00:00;0.1;;
SRN;05.12.1895 00:00;0.2;;
SRN;06.12.1895 00:00;22.2;;
SRN;07.12.1895 00:00;10;;
SRN;08.12.1895 00:00;0;;
SRN;09.12.1895 00:00;0;;
SRN;10.12.1895 00:00;0;;
SRN;11.12.1895 00:00;0;;
SRN;12.12.1895 00:00;0;;
SRN;13.12.1895 00:00;9.9;;
SRN;14.12.1895 00:00;2.8;;
SRN;15.12.1895 00:00;7.6;;
SRN;16.12.1895 00:00;0;;
SRN;17.12.1895 00:00;0;;
SRN;18.12.1895 00:00;0;;
SRN;19.12.1895 00:00;0;;
SRN;20.12.1895 00:00;0.3;;
SRN;21.12.1895 00:00;0.1;;
SRN;22.12.1895 00:00;0;;
SRN;23.12.1895 00:00;0;;
SRN;24.12.1895 00:00;3.8;;
SRN;25.12.1895 00:00;0;;
SRN;26.12.1895 00:00;0;;
