station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
STG;01.12.1865 00:00;2.4;;
STG;02.12.1865 00:00;0.1;;
STG;03.12.1865 00:00;0;;
STG;04.12.1865 00:00;0;;
STG;05.12.1865 00:00;0.7;;
STG;06.12.1865 00:00;0.1;;
STG;07.12.1865 00:00;0;;
STG;08.12.1865 00:00;0;;
STG;09.12.1865 00:00;0;;
STG;10.12.1865 00:00;0;;
STG;11.12.1865 00:00;0;;
STG;12.12.1865 00:00;0;;
STG;13.12.1865 00:00;0;;
STG;14.12.1865 00:00;0;;
STG;15.12.1865 00:00;3;;
STG;16.12.1865 00:00;2.2;;
STG;17.12.1865 00:00;0;;
STG;18.12.1865 00:00;0;;
STG;19.12.1865 00:00;0;;
STG;20.12.1865 00:00;0;;
STG;21.12.1865 00:00;0;;
STG;22.12.1865 00:00;0;;
STG;23.12.1865 00:00;0;;
STG;24.12.1865 00:00;0;;
STG;25.12.1865 00:00;0;;
STG;26.12.1865 00:00;0;;
STG;27.12.1865 00:00;0;;
STG;28.12.1865 00:00;0;;
STG;29.12.1865 00:00;0;;
STG;30.12.1865 00:00;0;;
STG;31.12.1865 00:00;0.7;;
STG;01.01.1866 00:00;0;;
STG;02.01.1866 00:00;0;;
STG;03.01.1866 00:00;0;;
STG;04.01.1866 00:00;0;;
STG;05.01.1866 00:00;0;;
STG;06.01.1866 00:00;0;;
STG;07.01.1866 00:00;0.3;;
STG;08.01.1866 00:00;4.1;;
STG;09.01.1866 00:00;4.3;;
STG;10.01.1866 00:00;9.2;;
STG;11.01.1866 00:00;0.2;;
STG;12.01.1866 00:00;1.5;;
STG;13.01.1866 00:00;0;;
STG;14.01.1866 00:00;4.4;;
STG;15.01.1866 00:00;0;;
STG;16.01.1866 00:00;0;;
STG;17.01.1866 00:00;3.1;;
STG;18.01.1866 00:00;0;;
STG;19.01.1866 00:00;0;;
STG;20.01.1866 00:00;0;;
STG;21.01.1866 00:00;0;;
STG;22.01.1866 00:00;0;;
STG;23.01.1866 00:00;8.5;;
STG;24.01.1866 00:00;4.1;;
STG;25.01.1866 00:00;0;;
STG;26.01.1866 00:00;0;;
STG;27.01.1866 00:00;0;;
STG;28.01.1866 00:00;0;;
STG;29.01.1866 00:00;0;;
