station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
STU;01.01.1900 00:00;1.4;;
STU;02.01.1900 00:00;0;;
STU;03.01.1900 00:00;11.6;;
STU;04.01.1900 00:00;9.9;;
STU;05.01.1900 00:00;7.3;;
STU;06.01.1900 00:00;0.1;;
STU;07.01.1900 00:00;0.2;;
STU;08.01.1900 00:00;1.6;;
STU;09.01.1900 00:00;7.2;;
STU;10.01.1900 00:00;3.2;;
STU;11.01.1900 00:00;4.1;;
STU;12.01.1900 00:00;0.6;;
STU;13.01.1900 00:00;0;;
STU;14.01.1900 00:00;0;;
STU;15.01.1900 00:00;2.7;;
STU;16.01.1900 00:00;21.1;;
STU;17.01.1900 00:00;27.3;;
STU;18.01.1900 00:00;7.6;;
STU;19.01.1900 00:00;0.3;;
STU;20.01.1900 00:00;2.6;;
STU;21.01.1900 00:00;6.1;;
STU;22.01.1900 00:00;2.2;;
STU;23.01.1900 00:00;5.9;;
STU;24.01.1900 00:00;11.1;;
STU;25.01.1900 00:00;0;;
STU;26.01.1900 00:00;12;;
STU;27.01.1900 00:00;0;;
STU;28.01.1900 00:00;3.5;;
STU;29.01.1900 00:00;2.5;;
STU;30.01.1900 00:00;0.9;;
STU;31.01.1900 00:00;0;;
STU;01.02.1900 00:00;0;;
STU;02.02.1900 00:00;0.2;;
STU;03.02.1900 00:00;0.1;;
STU;04.02.1900 00:00;0;;
STU;05.02.1900 00:00;0;;
STU;06.02.1900 00:00;6.2;;
STU;07.02.1900 00:00;0;;
STU;08.02.1900 00:00;0;;
STU;09.02.1900 00:00;2.1;;
STU;10.02.1900 00:00;1.5;;
STU;11.02.1900 00:00;1.6;;
STU;12.02.1900 00:00;24;;
STU;13.02.1900 00:00;9.4;;
STU;14.02.1900 00:00;13.7;;
STU;15.02.1900 00:00;0.8;;
STU;16.02.1900 00:00;5.2;;
STU;17.02.1900 00:00;0.8;;
STU;18.02.1900 00:00;3.6;;
STU;19.02.1900 00:00;14.2;;
STU;20.02.1900 00:00;7;;
STU;21.02.1900 00:00;5;;
STU;22.02.1900 00:00;1.2;;
STU;23.02.1900 00:00;1.1;;
STU;24.02.1900 00:00;0;;
STU;25.02.1900 00:00;0;;
STU;26.02.1900 00:00;10.7;;
STU;27.02.1900 00:00;0.3;;
STU;28.02.1900 00:00;0.8;;
STU;01.03.1900 00:00;8.9;;
STU;02.03.1900 00:00;0.1;;
STU;03.03.1900 00:00;4.6;;
STU;04.03.1900 00:00;4.3;;
STU;05.03.1900 00:00;0;;
STU;06.03.1900 00:00;0;;
STU;07.03.1900 00:00;0;;
STU;08.03.1900 00:00;0;;
STU;09.03.1900 00:00;0;;
STU;10.03.1900 00:00;0;;
STU;11.03.1900 00:00;0;;
STU;12.03.1900 00:00;0;;
STU;13.03.1900 00:00;0.9;;
STU;14.03.1900 00:00;0;;
STU;15.03.1900 00:00;0;;
STU;16.03.1900 00:00;0;;
STU;17.03.1900 00:00;6.9;;
STU;18.03.1900 00:00;0.1;;
STU;19.03.1900 00:00;0;;
STU;20.03.1900 00:00;0;;
STU;21.03.1900 00:00;0;;
STU;22.03.1900 00:00;1.4;;
STU;23.03.1900 00:00;9.6;;
STU;24.03.1900 00:00;7;;
STU;25.03.1900 00:00;1.7;;
STU;26.03.1900 00:00;0.1;;
STU;27.03.1900 00:00;9.5;;
STU;28.03.1900 00:00;0.5;;
STU;29.03.1900 00:00;1.4;;
STU;30.03.1900 00:00;2.2;;
STU;31.03.1900 00:00;2.4;;
STU;01.04.1900 00:00;0;;
STU;02.04.1900 00:00;0.7;;
STU;03.04.1900 00:00;0;;
STU;04.04.1900 00:00;4.9;;
STU;05.04.1900 00:00;0.7;;
STU;06.04.1900 00:00;0;;
STU;07.04.1900 00:00;2.7;;
STU;08.04.1900 00:00;5;;
STU;09.04.1900 00:00;0.1;;
STU;10.04.1900 00:00;0;;
STU;11.04.1900 00:00;0.2;;
STU;12.04.1900 00:00;3.7;;
STU;13.04.1900 00:00;3.8;;
STU;14.04.1900 00:00;0;;
STU;15.04.1900 00:00;0;;
STU;16.04.1900 00:00;7.1;;
STU;17.04.1900 00:00;0;;
STU;18.04.1900 00:00;0;;
STU;19.04.1900 00:00;0;;
STU;20.04.1900 00:00;0;;
STU;21.04.1900 00:00;0;;
STU;22.04.1900 00:00;0;;
STU;23.04.1900 00:00;1;;
STU;24.04.1900 00:00;6.5;;
STU;25.04.1900 00:00;2.5;;
STU;26.04.1900 00:00;0.2;;
STU;27.04.1900 00:00;0;;
STU;28.04.1900 00:00;0;;
STU;29.04.1900 00:00;1.7;;
STU;30.04.1900 00:00;8.5;;
STU;01.05.1900 00:00;0.1;;
STU;02.05.1900 00:00;0;;
STU;03.05.1900 00:00;0;;
STU;04.05.1900 00:00;0;;
STU;05.05.1900 00:00;0;;
STU;06.05.1900 00:00;0;;
STU;07.05.1900 00:00;14.1;;
STU;08.05.1900 00:00;4.6;;
STU;09.05.1900 00:00;0.9;;
STU;10.05.1900 00:00;0;;
STU;11.05.1900 00:00;0;;
STU;12.05.1900 00:00;0;;
STU;13.05.1900 00:00;4.9;;
STU;14.05.1900 00:00;9.2;;
STU;15.05.1900 00:00;3;;
STU;16.05.1900 00:00;0;;
STU;17.05.1900 00:00;0;;
STU;18.05.1900 00:00;1.7;;
STU;19.05.1900 00:00;0;;
STU;20.05.1900 00:00;0;;
STU;21.05.1900 00:00;0;;
STU;22.05.1900 00:00;0;;
STU;23.05.1900 00:00;17.6;;
STU;24.05.1900 00:00;16.8;;
STU;25.05.1900 00:00;11.5;;
STU;26.05.1900 00:00;1;;
STU;27.05.1900 00:00;0.1;;
STU;28.05.1900 00:00;0.6;;
STU;29.05.1900 00:00;0;;
STU;30.05.1900 00:00;0;;
STU;31.05.1900 00:00;7;;
STU;01.06.1900 00:00;0;;
STU;02.06.1900 00:00;0;;
STU;03.06.1900 00:00;0;;
STU;04.06.1900 00:00;0;;
STU;05.06.1900 00:00;0;;
STU;06.06.1900 00:00;10.5;;
STU;07.06.1900 00:00;0;;
STU;08.06.1900 00:00;0;;
STU;09.06.1900 00:00;0;;
STU;10.06.1900 00:00;0;;
STU;11.06.1900 00:00;0;;
STU;12.06.1900 00:00;3.7;;
STU;13.06.1900 00:00;9.8;;
STU;14.06.1900 00:00;0;;
STU;15.06.1900 00:00;0;;
STU;16.06.1900 00:00;0;;
STU;17.06.1900 00:00;0;;
STU;18.06.1900 00:00;10.5;;
STU;19.06.1900 00:00;0;;
STU;20.06.1900 00:00;13;;
STU;21.06.1900 00:00;1.1;;
STU;22.06.1900 00:00;15.2;;
STU;23.06.1900 00:00;0;;
STU;24.06.1900 00:00;0;;
STU;25.06.1900 00:00;0.9;;
STU;26.06.1900 00:00;0;;
STU;27.06.1900 00:00;10.4;;
STU;28.06.1900 00:00;0;;
STU;29.06.1900 00:00;0;;
STU;30.06.1900 00:00;0;;
STU;01.07.1900 00:00;0;;
STU;02.07.1900 00:00;0.2;;
STU;03.07.1900 00:00;42.1;;
STU;04.07.1900 00:00;16.7;;
STU;05.07.1900 00:00;0.4;;
STU;06.07.1900 00:00;3.2;;
STU;07.07.1900 00:00;12.9;;
STU;08.07.1900 00:00;2.2;;
STU;09.07.1900 00:00;1.1;;
STU;10.07.1900 00:00;0.3;;
STU;11.07.1900 00:00;0.2;;
STU;12.07.1900 00:00;0;;
