station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SWA;01.01.1972 00:00;0;;
SWA;02.01.1972 00:00;0;;
SWA;03.01.1972 00:00;3.9;;
SWA;04.01.1972 00:00;4.2;;
SWA;05.01.1972 00:00;5.6;;
SWA;06.01.1972 00:00;0;;
SWA;07.01.1972 00:00;0;;
SWA;08.01.1972 00:00;0;;
SWA;09.01.1972 00:00;0;;
SWA;10.01.1972 00:00;2.5;;
SWA;11.01.1972 00:00;0;;
SWA;12.01.1972 00:00;0;;
SWA;13.01.1972 00:00;0;;
SWA;14.01.1972 00:00;0;;
SWA;15.01.1972 00:00;0;;
SWA;16.01.1972 00:00;0;;
SWA;17.01.1972 00:00;0;;
SWA;18.01.1972 00:00;0;;
SWA;19.01.1972 00:00;0;;
SWA;20.01.1972 00:00;0;;
SWA;21.01.1972 00:00;8;;
SWA;22.01.1972 00:00;2.4;;
SWA;23.01.1972 00:00;1.5;;
SWA;24.01.1972 00:00;1.2;;
SWA;25.01.1972 00:00;8;;
SWA;26.01.1972 00:00;3.8;;
SWA;27.01.1972 00:00;7.1;;
SWA;28.01.1972 00:00;6.6;;
SWA;29.01.1972 00:00;0;;
SWA;30.01.1972 00:00;1.1;;
SWA;31.01.1972 00:00;0;;
SWA;01.02.1972 00:00;0;;
SWA;02.02.1972 00:00;0;;
SWA;03.02.1972 00:00;0.2;;
SWA;04.02.1972 00:00;0;;
SWA;05.02.1972 00:00;0;;
SWA;06.02.1972 00:00;0;;
SWA;07.02.1972 00:00;0;;
SWA;08.02.1972 00:00;0;;
SWA;09.02.1972 00:00;2.2;;
SWA;10.02.1972 00:00;0.9;;
SWA;11.02.1972 00:00;9.8;;
SWA;12.02.1972 00:00;6.8;;
SWA;13.02.1972 00:00;6.6;;
SWA;14.02.1972 00:00;4.8;;
SWA;15.02.1972 00:00;0;;
SWA;16.02.1972 00:00;0;;
SWA;17.02.1972 00:00;0;;
SWA;18.02.1972 00:00;0;;
SWA;19.02.1972 00:00;0;;
SWA;20.02.1972 00:00;0;;
SWA;21.02.1972 00:00;0;;
SWA;22.02.1972 00:00;0;;
SWA;23.02.1972 00:00;0;;
SWA;24.02.1972 00:00;0;;
SWA;25.02.1972 00:00;0;;
SWA;26.02.1972 00:00;1;;
SWA;27.02.1972 00:00;0.2;;
SWA;28.02.1972 00:00;0.1;;
SWA;29.02.1972 00:00;0;;
SWA;01.03.1972 00:00;5.6;;
SWA;02.03.1972 00:00;0;;
SWA;03.03.1972 00:00;0;;
SWA;04.03.1972 00:00;0;;
SWA;05.03.1972 00:00;6.7;;
SWA;06.03.1972 00:00;2.4;;
SWA;07.03.1972 00:00;14.3;;
SWA;08.03.1972 00:00;0.8;;
SWA;09.03.1972 00:00;0.5;;
SWA;10.03.1972 00:00;0.8;;
SWA;11.03.1972 00:00;0.9;;
