station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SWZ;01.01.1900 00:00;0;;
SWZ;02.01.1900 00:00;0;;
SWZ;03.01.1900 00:00;1.9;;
SWZ;04.01.1900 00:00;13.6;;
SWZ;05.01.1900 00:00;6.6;;
SWZ;06.01.1900 00:00;0;;
SWZ;07.01.1900 00:00;0.4;;
SWZ;08.01.1900 00:00;6;;
SWZ;09.01.1900 00:00;11.5;;
SWZ;10.01.1900 00:00;9.6;;
SWZ;11.01.1900 00:00;11.7;;
SWZ;12.01.1900 00:00;2.2;;
SWZ;13.01.1900 00:00;0;;
SWZ;14.01.1900 00:00;0;;
SWZ;15.01.1900 00:00;2.1;;
SWZ;16.01.1900 00:00;23.4;;
SWZ;17.01.1900 00:00;15.7;;
SWZ;18.01.1900 00:00;27.2;;
SWZ;19.01.1900 00:00;0;;
SWZ;20.01.1900 00:00;0.2;;
SWZ;21.01.1900 00:00;2.2;;
SWZ;22.01.1900 00:00;18.1;;
SWZ;23.01.1900 00:00;0;;
SWZ;24.01.1900 00:00;15.4;;
SWZ;25.01.1900 00:00;6.5;;
SWZ;26.01.1900 00:00;1.3;;
SWZ;27.01.1900 00:00;5.8;;
SWZ;28.01.1900 00:00;10.1;;
SWZ;29.01.1900 00:00;5.4;;
SWZ;30.01.1900 00:00;0;;
SWZ;31.01.1900 00:00;0;;
SWZ;01.02.1900 00:00;0;;
SWZ;02.02.1900 00:00;0.5;;
SWZ;03.02.1900 00:00;0.1;;
SWZ;04.02.1900 00:00;0;;
SWZ;05.02.1900 00:00;0;;
SWZ;06.02.1900 00:00;6.7;;
SWZ;07.02.1900 00:00;0.1;;
SWZ;08.02.1900 00:00;0;;
SWZ;09.02.1900 00:00;1.3;;
SWZ;10.02.1900 00:00;6.4;;
SWZ;11.02.1900 00:00;3.4;;
SWZ;12.02.1900 00:00;14.1;;
SWZ;13.02.1900 00:00;13.1;;
SWZ;14.02.1900 00:00;1.9;;
SWZ;15.02.1900 00:00;3.5;;
SWZ;16.02.1900 00:00;10.5;;
SWZ;17.02.1900 00:00;0.1;;
SWZ;18.02.1900 00:00;3.1;;
SWZ;19.02.1900 00:00;9.4;;
SWZ;20.02.1900 00:00;2.3;;
SWZ;21.02.1900 00:00;5.1;;
SWZ;22.02.1900 00:00;1.2;;
SWZ;23.02.1900 00:00;1.1;;
SWZ;24.02.1900 00:00;0;;
