station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SZB;01.01.1901 00:00;0.8;;
SZB;02.01.1901 00:00;1;;
SZB;03.01.1901 00:00;0;;
SZB;04.01.1901 00:00;0;;
SZB;05.01.1901 00:00;0;;
SZB;06.01.1901 00:00;0;;
SZB;07.01.1901 00:00;0;;
SZB;08.01.1901 00:00;0;;
SZB;09.01.1901 00:00;0;;
SZB;10.01.1901 00:00;0;;
SZB;11.01.1901 00:00;0;;
SZB;12.01.1901 00:00;0;;
SZB;13.01.1901 00:00;0;;
SZB;14.01.1901 00:00;0;;
SZB;15.01.1901 00:00;0;;
SZB;16.01.1901 00:00;0;;
SZB;17.01.1901 00:00;0;;
SZB;18.01.1901 00:00;0;;
SZB;19.01.1901 00:00;0;;
SZB;20.01.1901 00:00;7.4;;
SZB;21.01.1901 00:00;2.3;;
SZB;22.01.1901 00:00;0;;
SZB;23.01.1901 00:00;0;;
SZB;24.01.1901 00:00;0;;
SZB;25.01.1901 00:00;0.7;;
SZB;26.01.1901 00:00;2.5;;
SZB;27.01.1901 00:00;3.9;;
SZB;28.01.1901 00:00;11;;
SZB;29.01.1901 00:00;4.5;;
SZB;30.01.1901 00:00;0;;
SZB;31.01.1901 00:00;0;;
SZB;01.02.1901 00:00;6;;
SZB;02.02.1901 00:00;2;;
SZB;03.02.1901 00:00;0;;
SZB;04.02.1901 00:00;1.6;;
SZB;05.02.1901 00:00;5.4;;
SZB;06.02.1901 00:00;0;;
SZB;07.02.1901 00:00;1.9;;
SZB;08.02.1901 00:00;0;;
SZB;09.02.1901 00:00;0;;
SZB;10.02.1901 00:00;0;;
SZB;11.02.1901 00:00;0.5;;
SZB;12.02.1901 00:00;0.2;;
SZB;13.02.1901 00:00;3.7;;
SZB;14.02.1901 00:00;0;;
SZB;15.02.1901 00:00;0;;
SZB;16.02.1901 00:00;4.2;;
SZB;17.02.1901 00:00;9.5;;
SZB;18.02.1901 00:00;0.2;;
SZB;19.02.1901 00:00;0;;
SZB;20.02.1901 00:00;0;;
SZB;21.02.1901 00:00;0;;
SZB;22.02.1901 00:00;0;;
SZB;23.02.1901 00:00;0;;
SZB;24.02.1901 00:00;0;;
SZB;25.02.1901 00:00;0;;
SZB;26.02.1901 00:00;0;;
SZB;27.02.1901 00:00;0.1;;
SZB;28.02.1901 00:00;0.4;;
SZB;01.03.1901 00:00;0.6;;
SZB;02.03.1901 00:00;13.5;;
SZB;03.03.1901 00:00;15.2;;
SZB;04.03.1901 00:00;4.7;;
SZB;05.03.1901 00:00;2.1;;
SZB;06.03.1901 00:00;10.3;;
SZB;07.03.1901 00:00;0.2;;
SZB;08.03.1901 00:00;0;;
SZB;09.03.1901 00:00;0;;
SZB;10.03.1901 00:00;1.4;;
SZB;11.03.1901 00:00;0.3;;
SZB;12.03.1901 00:00;5.5;;
SZB;13.03.1901 00:00;0;;
SZB;14.03.1901 00:00;0;;
SZB;15.03.1901 00:00;0;;
SZB;16.03.1901 00:00;1.3;;
SZB;17.03.1901 00:00;0;;
SZB;18.03.1901 00:00;0.1;;
SZB;19.03.1901 00:00;0;;
SZB;20.03.1901 00:00;23.7;;
SZB;21.03.1901 00:00;8.6;;
SZB;22.03.1901 00:00;0.2;;
SZB;23.03.1901 00:00;0;;
SZB;24.03.1901 00:00;0;;
SZB;25.03.1901 00:00;1;;
SZB;26.03.1901 00:00;12.2;;
SZB;27.03.1901 00:00;0;;
SZB;28.03.1901 00:00;6.2;;
SZB;29.03.1901 00:00;0;;
SZB;30.03.1901 00:00;0;;
SZB;31.03.1901 00:00;0;;
SZB;01.04.1901 00:00;9.9;;
SZB;02.04.1901 00:00;0;;
SZB;03.04.1901 00:00;0;;
SZB;04.04.1901 00:00;2.4;;
SZB;05.04.1901 00:00;26.9;;
SZB;06.04.1901 00:00;16.3;;
SZB;07.04.1901 00:00;18.3;;
SZB;08.04.1901 00:00;0;;
SZB;09.04.1901 00:00;23.7;;
SZB;10.04.1901 00:00;11.3;;
SZB;11.04.1901 00:00;10.6;;
SZB;12.04.1901 00:00;19.6;;
SZB;13.04.1901 00:00;2.8;;
SZB;14.04.1901 00:00;7.2;;
SZB;15.04.1901 00:00;0.9;;
SZB;16.04.1901 00:00;12.2;;
SZB;17.04.1901 00:00;11.1;;
SZB;18.04.1901 00:00;0;;
SZB;19.04.1901 00:00;0;;
SZB;20.04.1901 00:00;0;;
SZB;21.04.1901 00:00;0;;
SZB;22.04.1901 00:00;0;;
SZB;23.04.1901 00:00;0;;
SZB;24.04.1901 00:00;0;;
SZB;25.04.1901 00:00;0;;
SZB;26.04.1901 00:00;0.4;;
SZB;27.04.1901 00:00;3.4;;
SZB;28.04.1901 00:00;9.9;;
SZB;29.04.1901 00:00;13.5;;
SZB;30.04.1901 00:00;3;;
SZB;01.05.1901 00:00;0;;
SZB;02.05.1901 00:00;0;;
SZB;03.05.1901 00:00;4.4;;
SZB;04.05.1901 00:00;0.3;;
SZB;05.05.1901 00:00;0;;
SZB;06.05.1901 00:00;2.9;;
SZB;07.05.1901 00:00;4.9;;
SZB;08.05.1901 00:00;6.6;;
SZB;09.05.1901 00:00;0.5;;
SZB;10.05.1901 00:00;0.9;;
SZB;11.05.1901 00:00;0.7;;
SZB;12.05.1901 00:00;0;;
SZB;13.05.1901 00:00;0;;
SZB;14.05.1901 00:00;0;;
SZB;15.05.1901 00:00;0;;
SZB;16.05.1901 00:00;0.5;;
SZB;17.05.1901 00:00;0.5;;
SZB;18.05.1901 00:00;0.3;;
SZB;19.05.1901 00:00;0;;
SZB;20.05.1901 00:00;0;;
SZB;21.05.1901 00:00;0;;
SZB;22.05.1901 00:00;0;;
SZB;23.05.1901 00:00;0.8;;
SZB;24.05.1901 00:00;0;;
SZB;25.05.1901 00:00;0.5;;
SZB;26.05.1901 00:00;2.5;;
SZB;27.05.1901 00:00;0;;
SZB;28.05.1901 00:00;0;;
SZB;29.05.1901 00:00;0;;
SZB;30.05.1901 00:00;0;;
SZB;31.05.1901 00:00;0;;
SZB;01.06.1901 00:00;0;;
SZB;02.06.1901 00:00;11.1;;
SZB;03.06.1901 00:00;10.8;;
SZB;04.06.1901 00:00;1;;
SZB;05.06.1901 00:00;0;;
SZB;06.06.1901 00:00;0;;
SZB;07.06.1901 00:00;0;;
SZB;08.06.1901 00:00;7.7;;
SZB;09.06.1901 00:00;19.7;;
SZB;10.06.1901 00:00;6.5;;
SZB;11.06.1901 00:00;1.6;;
SZB;12.06.1901 00:00;0;;
SZB;13.06.1901 00:00;2.4;;
SZB;14.06.1901 00:00;23.3;;
SZB;15.06.1901 00:00;28.4;;
SZB;16.06.1901 00:00;4.1;;
SZB;17.06.1901 00:00;3.7;;
SZB;18.06.1901 00:00;13.1;;
SZB;19.06.1901 00:00;1.4;;
SZB;20.06.1901 00:00;0;;
SZB;21.06.1901 00:00;0;;
SZB;22.06.1901 00:00;0;;
SZB;23.06.1901 00:00;5.7;;
SZB;24.06.1901 00:00;5.9;;
SZB;25.06.1901 00:00;0;;
SZB;26.06.1901 00:00;0;;
SZB;27.06.1901 00:00;0;;
SZB;28.06.1901 00:00;0.8;;
SZB;29.06.1901 00:00;0.1;;
SZB;30.06.1901 00:00;23.8;;
SZB;01.07.1901 00:00;10.2;;
SZB;02.07.1901 00:00;16.3;;
SZB;03.07.1901 00:00;0.3;;
SZB;04.07.1901 00:00;12.2;;
SZB;05.07.1901 00:00;0.3;;
