station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TAF;01.01.1989 00:00;0;;
TAF;02.01.1989 00:00;0;;
TAF;03.01.1989 00:00;0;;
TAF;04.01.1989 00:00;2.1;;
TAF;05.01.1989 00:00;1.8;;
TAF;06.01.1989 00:00;0.5;;
TAF;07.01.1989 00:00;0.1;;
TAF;08.01.1989 00:00;0;;
TAF;09.01.1989 00:00;0;;
TAF;10.01.1989 00:00;0;;
TAF;11.01.1989 00:00;0;;
TAF;12.01.1989 00:00;1.2;;
TAF;13.01.1989 00:00;0;;
TAF;14.01.1989 00:00;0;;
TAF;15.01.1989 00:00;0;;
TAF;16.01.1989 00:00;0;;
TAF;17.01.1989 00:00;0;;
TAF;18.01.1989 00:00;0;;
TAF;19.01.1989 00:00;0;;
TAF;20.01.1989 00:00;0;;
TAF;21.01.1989 00:00;9.8;;
TAF;22.01.1989 00:00;0;;
TAF;23.01.1989 00:00;0;;
TAF;24.01.1989 00:00;0;;
TAF;25.01.1989 00:00;0;;
TAF;26.01.1989 00:00;0;;
TAF;27.01.1989 00:00;0;;
TAF;28.01.1989 00:00;0;;
TAF;29.01.1989 00:00;0;;
TAF;30.01.1989 00:00;0;;
TAF;31.01.1989 00:00;0;;
TAF;01.02.1989 00:00;0;;
TAF;02.02.1989 00:00;0;;
TAF;03.02.1989 00:00;0;;
TAF;04.02.1989 00:00;0;;
TAF;05.02.1989 00:00;0;;
TAF;06.02.1989 00:00;0;;
TAF;07.02.1989 00:00;0;;
TAF;08.02.1989 00:00;0;;
TAF;09.02.1989 00:00;0;;
TAF;10.02.1989 00:00;0;;
TAF;11.02.1989 00:00;0;;
TAF;12.02.1989 00:00;1.4;;
TAF;13.02.1989 00:00;1.8;;
TAF;14.02.1989 00:00;1.4;;
TAF;15.02.1989 00:00;0;;
TAF;16.02.1989 00:00;4.6;;
TAF;17.02.1989 00:00;0;;
TAF;18.02.1989 00:00;0.7;;
TAF;19.02.1989 00:00;0;;
TAF;20.02.1989 00:00;1.2;;
TAF;21.02.1989 00:00;8.1;;
TAF;22.02.1989 00:00;2.3;;
TAF;23.02.1989 00:00;4.9;;
TAF;24.02.1989 00:00;0.4;;
TAF;25.02.1989 00:00;1.6;;
TAF;26.02.1989 00:00;2.7;;
TAF;27.02.1989 00:00;4.4;;
TAF;28.02.1989 00:00;1.5;;
TAF;01.03.1989 00:00;1.5;;
TAF;02.03.1989 00:00;7.3;;
TAF;03.03.1989 00:00;8.6;;
TAF;04.03.1989 00:00;0;;
TAF;05.03.1989 00:00;0;;
TAF;06.03.1989 00:00;0;;
TAF;07.03.1989 00:00;4.9;;
TAF;08.03.1989 00:00;0;;
TAF;09.03.1989 00:00;0;;
TAF;10.03.1989 00:00;0;;
TAF;11.03.1989 00:00;0;;
TAF;12.03.1989 00:00;0;;
TAF;13.03.1989 00:00;9.9;;
TAF;14.03.1989 00:00;0.4;;
TAF;15.03.1989 00:00;3.9;;
TAF;16.03.1989 00:00;1.8;;
TAF;17.03.1989 00:00;22.3;;
TAF;18.03.1989 00:00;0.2;;
TAF;19.03.1989 00:00;0;;
TAF;20.03.1989 00:00;0;;
TAF;21.03.1989 00:00;1.1;;
TAF;22.03.1989 00:00;5.5;;
TAF;23.03.1989 00:00;1.5;;
TAF;24.03.1989 00:00;0;;
TAF;25.03.1989 00:00;0;;
TAF;26.03.1989 00:00;0;;
TAF;27.03.1989 00:00;0;;
TAF;28.03.1989 00:00;0;;
TAF;29.03.1989 00:00;0;;
TAF;30.03.1989 00:00;0;;
TAF;31.03.1989 00:00;1.1;;
