station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TAM;01.01.1968 00:00;2.5;7;
TAM;02.01.1968 00:00;1;2;15
TAM;03.01.1968 00:00;8.9;15;20
TAM;04.01.1968 00:00;8.9;17;35
TAM;05.01.1968 00:00;9.7;20;35
TAM;06.01.1968 00:00;23.9;20;40
TAM;07.01.1968 00:00;17.1;25;50
TAM;08.01.1968 00:00;5.9;7;75
TAM;09.01.1968 00:00;8;20;70
TAM;10.01.1968 00:00;0.5;3;90
TAM;11.01.1968 00:00;13.3;25;70
TAM;12.01.1968 00:00;3.7;25;90
TAM;13.01.1968 00:00;2.4;12;80
TAM;14.01.1968 00:00;19;20;80
TAM;15.01.1968 00:00;0;0;90
TAM;16.01.1968 00:00;0;0;85
TAM;17.01.1968 00:00;3.4;5;80
TAM;18.01.1968 00:00;12;14;80
TAM;19.01.1968 00:00;3.4;5;90
TAM;20.01.1968 00:00;0;0;80
TAM;21.01.1968 00:00;0;0;75
TAM;22.01.1968 00:00;0;0;70
TAM;23.01.1968 00:00;0;0;70
TAM;24.01.1968 00:00;9.6;16;70
TAM;25.01.1968 00:00;19.1;16;85
TAM;26.01.1968 00:00;53.6;26;100
TAM;27.01.1968 00:00;8;6;145
TAM;28.01.1968 00:00;0;0;125
TAM;29.01.1968 00:00;0;0;115
TAM;30.01.1968 00:00;0;0;107
TAM;31.01.1968 00:00;0;0;105
TAM;01.02.1968 00:00;0;0;100
TAM;02.02.1968 00:00;1.9;2;95
TAM;03.02.1968 00:00;4.8;5;97
TAM;04.02.1968 00:00;0;0;100
TAM;05.02.1968 00:00;0;0;95
TAM;06.02.1968 00:00;2.5;2;90
TAM;07.02.1968 00:00;0;0;90
TAM;08.02.1968 00:00;3.4;0;85
TAM;09.02.1968 00:00;0.8;2;80
TAM;10.02.1968 00:00;0;0;72
TAM;11.02.1968 00:00;0;;70
TAM;12.02.1968 00:00;0.3;0;
TAM;13.02.1968 00:00;0;0;65
TAM;14.02.1968 00:00;0.8;0;65
TAM;15.02.1968 00:00;0.9;0;
TAM;16.02.1968 00:00;1;1;60
TAM;17.02.1968 00:00;0.1;0;55
TAM;18.02.1968 00:00;0;0;55
TAM;19.02.1968 00:00;0.4;4;55
TAM;20.02.1968 00:00;1;0;55
TAM;21.02.1968 00:00;0.1;0;55
TAM;22.02.1968 00:00;0.2;0;50
TAM;23.02.1968 00:00;1;0;50
TAM;24.02.1968 00:00;2.6;0;45
TAM;25.02.1968 00:00;0;0;40
TAM;26.02.1968 00:00;0;0;40
TAM;27.02.1968 00:00;0;0;35
TAM;28.02.1968 00:00;0;0;35
TAM;29.02.1968 00:00;0;0;35
TAM;01.03.1968 00:00;0;0;35
TAM;02.03.1968 00:00;10;20;35
TAM;03.03.1968 00:00;0.2;0;65
TAM;04.03.1968 00:00;0;0;40
TAM;05.03.1968 00:00;2.2;4;35
TAM;06.03.1968 00:00;9.9;15;40
TAM;07.03.1968 00:00;0;0;50
TAM;08.03.1968 00:00;0;0;45
