station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TAV;01.01.1969 00:00;1;5;
TAV;02.01.1969 00:00;8.7;18;50
TAV;03.01.1969 00:00;0.5;3;60
TAV;04.01.1969 00:00;0;0;55
TAV;05.01.1969 00:00;0;0;50
TAV;06.01.1969 00:00;0;0;50
TAV;07.01.1969 00:00;0;0;50
TAV;08.01.1969 00:00;0.6;3;50
TAV;09.01.1969 00:00;0;0;48
TAV;10.01.1969 00:00;0;0;45
TAV;11.01.1969 00:00;0;0;45
TAV;12.01.1969 00:00;0;0;40
TAV;13.01.1969 00:00;0;0;40
TAV;14.01.1969 00:00;16.5;0;40
TAV;15.01.1969 00:00;3.3;0;38
TAV;16.01.1969 00:00;0.7;3;36
TAV;17.01.1969 00:00;0;1;40
TAV;18.01.1969 00:00;3.7;0;40
TAV;19.01.1969 00:00;2.1;9;45
TAV;20.01.1969 00:00;0;2;48
TAV;21.01.1969 00:00;0;0;45
TAV;22.01.1969 00:00;0;0;45
TAV;23.01.1969 00:00;1.8;0;42
TAV;24.01.1969 00:00;0.8;0;40
TAV;25.01.1969 00:00;0.1;0;40
TAV;26.01.1969 00:00;0;0;40
TAV;27.01.1969 00:00;0;0;35
TAV;28.01.1969 00:00;0;0;34
TAV;29.01.1969 00:00;6;5;34
TAV;30.01.1969 00:00;0.8;0;39
TAV;31.01.1969 00:00;0;0;38
TAV;01.02.1969 00:00;0;0;38
TAV;02.02.1969 00:00;0.3;1;
TAV;03.02.1969 00:00;0;0;39
TAV;04.02.1969 00:00;0;0;38
TAV;05.02.1969 00:00;0.2;1;38
TAV;06.02.1969 00:00;0;0;39
TAV;07.02.1969 00:00;0;0;39
TAV;08.02.1969 00:00;0.5;2;38
TAV;09.02.1969 00:00;0;0;40
TAV;10.02.1969 00:00;4.7;5;40
TAV;11.02.1969 00:00;11.5;21;45
TAV;12.02.1969 00:00;9.4;10;58
TAV;13.02.1969 00:00;0;0;61
TAV;14.02.1969 00:00;4;4;59
TAV;15.02.1969 00:00;0.9;1;63
TAV;16.02.1969 00:00;0;0;59
TAV;17.02.1969 00:00;0;0;58
TAV;18.02.1969 00:00;0;0;58
TAV;19.02.1969 00:00;0;0;58
TAV;20.02.1969 00:00;5.5;0;58
TAV;21.02.1969 00:00;0;0;48
TAV;22.02.1969 00:00;0;0;48
TAV;23.02.1969 00:00;0;0;48
TAV;24.02.1969 00:00;9.1;2;47
TAV;25.02.1969 00:00;2.1;;49
TAV;26.02.1969 00:00;0;0;49
TAV;27.02.1969 00:00;0;0;49
TAV;28.02.1969 00:00;0;0;47
TAV;01.03.1969 00:00;0;0;45
TAV;02.03.1969 00:00;0;0;45
TAV;03.03.1969 00:00;0;0;42
TAV;04.03.1969 00:00;0;0;40
TAV;05.03.1969 00:00;0;0;39
TAV;06.03.1969 00:00;0;0;38
TAV;07.03.1969 00:00;0;0;38
TAV;08.03.1969 00:00;0;0;37
TAV;09.03.1969 00:00;0;0;36
TAV;10.03.1969 00:00;0;0;35
TAV;11.03.1969 00:00;1.8;0;34
TAV;12.03.1969 00:00;0;0;29
TAV;13.03.1969 00:00;0;0;27
TAV;14.03.1969 00:00;0;0;22
TAV;15.03.1969 00:00;0;0;18
TAV;16.03.1969 00:00;0;0;14
TAV;17.03.1969 00:00;3.4;0;10
TAV;18.03.1969 00:00;1.1;0;5
TAV;19.03.1969 00:00;0;0;0
TAV;20.03.1969 00:00;3.4;;0
TAV;21.03.1969 00:00;2.3;;
TAV;22.03.1969 00:00;0;;
TAV;23.03.1969 00:00;0.2;;
TAV;24.03.1969 00:00;2.1;4;
TAV;25.03.1969 00:00;0;0;3
TAV;26.03.1969 00:00;0;0;
TAV;27.03.1969 00:00;0;0;
TAV;28.03.1969 00:00;0;0;
TAV;29.03.1969 00:00;0;0;
TAV;30.03.1969 00:00;2;4;
TAV;31.03.1969 00:00;3.5;;4
TAV;01.04.1969 00:00;1.9;0;
TAV;02.04.1969 00:00;0;0;0
TAV;03.04.1969 00:00;0;0;0
TAV;04.04.1969 00:00;0;0;0
TAV;05.04.1969 00:00;0;0;0
TAV;06.04.1969 00:00;0;0;0
TAV;07.04.1969 00:00;0;0;0
TAV;08.04.1969 00:00;0;0;0
TAV;09.04.1969 00:00;0;0;0
TAV;10.04.1969 00:00;0;0;0
TAV;11.04.1969 00:00;1;0;0
TAV;12.04.1969 00:00;0;0;0
TAV;13.04.1969 00:00;2.6;1;0
TAV;14.04.1969 00:00;9;9;1
TAV;15.04.1969 00:00;12.8;4;9
TAV;16.04.1969 00:00;18.1;10;7
TAV;17.04.1969 00:00;11.8;16;12
TAV;18.04.1969 00:00;1.7;3;20
TAV;19.04.1969 00:00;0;0;10
TAV;20.04.1969 00:00;0;0;2
TAV;21.04.1969 00:00;0;0;0
TAV;22.04.1969 00:00;2;0;0
TAV;23.04.1969 00:00;12;2;0
TAV;24.04.1969 00:00;0;0;0
TAV;25.04.1969 00:00;0;0;0
TAV;26.04.1969 00:00;0;0;0
TAV;27.04.1969 00:00;0;0;0
TAV;28.04.1969 00:00;0;0;0
TAV;29.04.1969 00:00;0;0;0
TAV;30.04.1969 00:00;0;0;0
TAV;01.05.1969 00:00;0;0;0
TAV;02.05.1969 00:00;0;0;
TAV;03.05.1969 00:00;9;;
TAV;04.05.1969 00:00;33.1;;
TAV;05.05.1969 00:00;0.1;;
TAV;06.05.1969 00:00;6.7;;
TAV;07.05.1969 00:00;0.2;;
TAV;08.05.1969 00:00;0;0;
TAV;09.05.1969 00:00;16.4;;
TAV;10.05.1969 00:00;2.1;;
TAV;11.05.1969 00:00;0;0;
TAV;12.05.1969 00:00;0;0;
TAV;13.05.1969 00:00;0;0;
TAV;14.05.1969 00:00;0;0;
TAV;15.05.1969 00:00;0;0;
TAV;16.05.1969 00:00;1.2;;
TAV;17.05.1969 00:00;0;0;
TAV;18.05.1969 00:00;14.8;;
TAV;19.05.1969 00:00;1.9;;
TAV;20.05.1969 00:00;0;0;
TAV;21.05.1969 00:00;0;0;
TAV;22.05.1969 00:00;0;0;
TAV;23.05.1969 00:00;0;0;
TAV;24.05.1969 00:00;0;0;
TAV;25.05.1969 00:00;2.8;;
TAV;26.05.1969 00:00;20.1;;
TAV;27.05.1969 00:00;0.2;;
TAV;28.05.1969 00:00;15.3;;
TAV;29.05.1969 00:00;1.3;;
TAV;30.05.1969 00:00;23.7;;
TAV;31.05.1969 00:00;0;0;
TAV;01.06.1969 00:00;1.4;;
TAV;02.06.1969 00:00;0;;
TAV;03.06.1969 00:00;9.6;;
TAV;04.06.1969 00:00;0.7;;
TAV;05.06.1969 00:00;0.3;;
TAV;06.06.1969 00:00;2.5;;
TAV;07.06.1969 00:00;0.5;;
TAV;08.06.1969 00:00;0;;
TAV;09.06.1969 00:00;0;;
TAV;10.06.1969 00:00;0;;
TAV;11.06.1969 00:00;8.3;;
TAV;12.06.1969 00:00;16.1;;
TAV;13.06.1969 00:00;0;;
TAV;14.06.1969 00:00;0.3;;
TAV;15.06.1969 00:00;3.8;;
TAV;16.06.1969 00:00;0.8;;
TAV;17.06.1969 00:00;1;;
TAV;18.06.1969 00:00;27.4;;
TAV;19.06.1969 00:00;8;;
TAV;20.06.1969 00:00;0;;
TAV;21.06.1969 00:00;0;;
TAV;22.06.1969 00:00;0;;
TAV;23.06.1969 00:00;18;;
TAV;24.06.1969 00:00;36.5;;
TAV;25.06.1969 00:00;15.3;;
TAV;26.06.1969 00:00;1.3;;
TAV;27.06.1969 00:00;0.4;;
TAV;28.06.1969 00:00;4.2;;
TAV;29.06.1969 00:00;0;;
TAV;30.06.1969 00:00;0;;
TAV;01.07.1969 00:00;3.5;;
TAV;02.07.1969 00:00;0;;
TAV;03.07.1969 00:00;0.2;;
TAV;04.07.1969 00:00;0;;
TAV;05.07.1969 00:00;3.6;;
TAV;06.07.1969 00:00;0.5;;
TAV;07.07.1969 00:00;54.7;;
TAV;08.07.1969 00:00;0.3;;
TAV;09.07.1969 00:00;1.1;;
TAV;10.07.1969 00:00;1;;
TAV;11.07.1969 00:00;9.4;;
TAV;12.07.1969 00:00;0;;
TAV;13.07.1969 00:00;0;;
TAV;14.07.1969 00:00;0;;
TAV;15.07.1969 00:00;0;;
TAV;16.07.1969 00:00;0;;
TAV;17.07.1969 00:00;0;;
TAV;18.07.1969 00:00;1;;
TAV;19.07.1969 00:00;0;;
TAV;20.07.1969 00:00;0;;
TAV;21.07.1969 00:00;0;;
TAV;22.07.1969 00:00;0;;
TAV;23.07.1969 00:00;0;;
TAV;24.07.1969 00:00;0;;
TAV;25.07.1969 00:00;1;;
TAV;26.07.1969 00:00;0.9;;
TAV;27.07.1969 00:00;1.9;;
TAV;28.07.1969 00:00;0;;
TAV;29.07.1969 00:00;6;;
TAV;30.07.1969 00:00;1.6;;
TAV;31.07.1969 00:00;3.2;;
TAV;01.08.1969 00:00;0;;
TAV;02.08.1969 00:00;0;;
TAV;03.08.1969 00:00;3.7;;
TAV;04.08.1969 00:00;0;;
TAV;05.08.1969 00:00;1.1;;
TAV;06.08.1969 00:00;0;;
TAV;07.08.1969 00:00;0;;
TAV;08.08.1969 00:00;0;;
TAV;09.08.1969 00:00;0;;
TAV;10.08.1969 00:00;0;;
TAV;11.08.1969 00:00;0;;
TAV;12.08.1969 00:00;0.7;;
TAV;13.08.1969 00:00;2.1;;
TAV;14.08.1969 00:00;11;;
TAV;15.08.1969 00:00;10;;
TAV;16.08.1969 00:00;4.5;;
TAV;17.08.1969 00:00;5.5;;
TAV;18.08.1969 00:00;1.3;;
TAV;19.08.1969 00:00;0;;
TAV;20.08.1969 00:00;8.5;;
TAV;21.08.1969 00:00;0;;
TAV;22.08.1969 00:00;0;;
TAV;23.08.1969 00:00;19.5;;
TAV;24.08.1969 00:00;3.1;;
TAV;25.08.1969 00:00;2.6;;
TAV;26.08.1969 00:00;8.6;;
TAV;27.08.1969 00:00;0.2;;
TAV;28.08.1969 00:00;5.3;;
TAV;29.08.1969 00:00;0;;
TAV;30.08.1969 00:00;0;;
TAV;31.08.1969 00:00;0.1;;
TAV;01.09.1969 00:00;0;;
TAV;02.09.1969 00:00;0;;
TAV;03.09.1969 00:00;6.4;;
TAV;04.09.1969 00:00;2;;
TAV;05.09.1969 00:00;0;;
TAV;06.09.1969 00:00;0;;
TAV;07.09.1969 00:00;4.4;;
TAV;08.09.1969 00:00;4.9;;
TAV;09.09.1969 00:00;0.1;;
TAV;10.09.1969 00:00;0;;
TAV;11.09.1969 00:00;0;;
TAV;12.09.1969 00:00;0;;
TAV;13.09.1969 00:00;0;;
TAV;14.09.1969 00:00;0.2;;
TAV;15.09.1969 00:00;0;;
TAV;16.09.1969 00:00;0;;
TAV;17.09.1969 00:00;1.2;;
TAV;18.09.1969 00:00;3.7;;
TAV;19.09.1969 00:00;0.2;;
TAV;20.09.1969 00:00;0;;
TAV;21.09.1969 00:00;0;;
TAV;22.09.1969 00:00;0;;
TAV;23.09.1969 00:00;0;;
TAV;24.09.1969 00:00;0;;
TAV;25.09.1969 00:00;0;;
TAV;26.09.1969 00:00;0;;
TAV;27.09.1969 00:00;0;;
TAV;28.09.1969 00:00;0;;
TAV;29.09.1969 00:00;0;;
TAV;30.09.1969 00:00;1.5;;
TAV;01.10.1969 00:00;0.5;;
TAV;02.10.1969 00:00;0;;
TAV;03.10.1969 00:00;0;;
TAV;04.10.1969 00:00;0;;
TAV;05.10.1969 00:00;0;;
TAV;06.10.1969 00:00;0;;
TAV;07.10.1969 00:00;0;;
TAV;08.10.1969 00:00;0;;
TAV;09.10.1969 00:00;0;;
TAV;10.10.1969 00:00;0;;
TAV;11.10.1969 00:00;0;;
TAV;12.10.1969 00:00;0;;
TAV;13.10.1969 00:00;0;;
TAV;14.10.1969 00:00;0;;
TAV;15.10.1969 00:00;0;;
TAV;16.10.1969 00:00;0;;
TAV;17.10.1969 00:00;0;;
TAV;18.10.1969 00:00;0;;
TAV;19.10.1969 00:00;0;;
TAV;20.10.1969 00:00;0;;
TAV;21.10.1969 00:00;0;;
TAV;22.10.1969 00:00;0;;
TAV;23.10.1969 00:00;1.2;;
TAV;24.10.1969 00:00;2.5;;
TAV;25.10.1969 00:00;0;;
TAV;26.10.1969 00:00;0;;
TAV;27.10.1969 00:00;0;;
TAV;28.10.1969 00:00;0;;
TAV;29.10.1969 00:00;0;;
TAV;30.10.1969 00:00;0;;
TAV;31.10.1969 00:00;0;;
TAV;01.11.1969 00:00;0;0;
TAV;02.11.1969 00:00;0;0;
TAV;03.11.1969 00:00;0;0;
TAV;04.11.1969 00:00;0;0;
TAV;05.11.1969 00:00;0.9;;
TAV;06.11.1969 00:00;0;0;
TAV;07.11.1969 00:00;0;0;
TAV;08.11.1969 00:00;0;0;
TAV;09.11.1969 00:00;7.6;;
TAV;10.11.1969 00:00;0;0;
TAV;11.11.1969 00:00;0;0;
TAV;12.11.1969 00:00;23;;
TAV;13.11.1969 00:00;63.3;;
TAV;14.11.1969 00:00;78.5;18;
TAV;15.11.1969 00:00;2.5;;
TAV;16.11.1969 00:00;0;0;
TAV;17.11.1969 00:00;8.7;;
TAV;18.11.1969 00:00;0;0;
TAV;19.11.1969 00:00;0;0;
TAV;20.11.1969 00:00;0;0;
TAV;21.11.1969 00:00;0;0;
TAV;22.11.1969 00:00;0;0;
TAV;23.11.1969 00:00;1.8;;
TAV;24.11.1969 00:00;1;;
TAV;25.11.1969 00:00;2.1;1;
TAV;26.11.1969 00:00;0.1;0;
TAV;27.11.1969 00:00;0;0;
TAV;28.11.1969 00:00;0;0;
TAV;29.11.1969 00:00;0.5;;
TAV;30.11.1969 00:00;0;0;
TAV;01.12.1969 00:00;0;0;
TAV;02.12.1969 00:00;0;0;9
TAV;03.12.1969 00:00;7.9;12;9
TAV;04.12.1969 00:00;2.5;;20
TAV;05.12.1969 00:00;0;0;20
TAV;06.12.1969 00:00;0;0;20
TAV;07.12.1969 00:00;0;0;17
TAV;08.12.1969 00:00;0;0;15
TAV;09.12.1969 00:00;0.5;1;15
TAV;10.12.1969 00:00;0;0;15
TAV;11.12.1969 00:00;0;0;15
TAV;12.12.1969 00:00;0;0;15
TAV;13.12.1969 00:00;0;0;15
TAV;14.12.1969 00:00;0;0;15
TAV;15.12.1969 00:00;19.1;25;15
TAV;16.12.1969 00:00;45.9;26;36
TAV;17.12.1969 00:00;1.8;4;49
TAV;18.12.1969 00:00;9.6;14;48
TAV;19.12.1969 00:00;0.4;1;55
TAV;20.12.1969 00:00;0;0;56
TAV;21.12.1969 00:00;0;0;56
TAV;22.12.1969 00:00;0;0;48
TAV;23.12.1969 00:00;2.2;5;46
TAV;24.12.1969 00:00;0.1;1;50
TAV;25.12.1969 00:00;0;0;48
TAV;26.12.1969 00:00;0;0;48
TAV;27.12.1969 00:00;0;0;48
TAV;28.12.1969 00:00;0;0;46
TAV;29.12.1969 00:00;0;0;46
TAV;30.12.1969 00:00;0;0;46
TAV;31.12.1969 00:00;0;0;46
TAV;01.01.1970 00:00;1.1;1;44
TAV;02.01.1970 00:00;0.1;;42
TAV;03.01.1970 00:00;0;0;39
TAV;04.01.1970 00:00;0;0;38
TAV;05.01.1970 00:00;0;0;37
TAV;06.01.1970 00:00;0;0;36
TAV;07.01.1970 00:00;0;0;35
TAV;08.01.1970 00:00;0;0;34
TAV;09.01.1970 00:00;0;0;34
