station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TDG;01.01.1961 00:00;5.7;;
TDG;02.01.1961 00:00;7.7;;
TDG;03.01.1961 00:00;12.5;;
TDG;04.01.1961 00:00;3;;
TDG;05.01.1961 00:00;0.1;;
TDG;06.01.1961 00:00;10.3;;
TDG;07.01.1961 00:00;0.3;;
TDG;08.01.1961 00:00;3;;
TDG;09.01.1961 00:00;3.2;;
TDG;10.01.1961 00:00;2.3;;
TDG;11.01.1961 00:00;0;;
TDG;12.01.1961 00:00;0;;
TDG;13.01.1961 00:00;0;;
TDG;14.01.1961 00:00;0;;
TDG;15.01.1961 00:00;0;;
TDG;16.01.1961 00:00;0;;
TDG;17.01.1961 00:00;0;;
TDG;18.01.1961 00:00;0;;
TDG;19.01.1961 00:00;0;;
TDG;20.01.1961 00:00;0.2;;
TDG;21.01.1961 00:00;0;;
TDG;22.01.1961 00:00;2.1;;
TDG;23.01.1961 00:00;19;;
TDG;24.01.1961 00:00;6.8;;
TDG;25.01.1961 00:00;3.8;;
TDG;26.01.1961 00:00;0;;
TDG;27.01.1961 00:00;0;;
TDG;28.01.1961 00:00;5.1;;
TDG;29.01.1961 00:00;0;;
TDG;30.01.1961 00:00;7.3;;
TDG;31.01.1961 00:00;12.7;;
TDG;01.02.1961 00:00;2.7;;
TDG;02.02.1961 00:00;8.1;;
TDG;03.02.1961 00:00;2.8;;
TDG;04.02.1961 00:00;5.4;;
TDG;05.02.1961 00:00;4.4;;
TDG;06.02.1961 00:00;3.7;;
TDG;07.02.1961 00:00;1.2;;
TDG;08.02.1961 00:00;0;;
TDG;09.02.1961 00:00;0.2;;
TDG;10.02.1961 00:00;0;;
TDG;11.02.1961 00:00;7.9;;
TDG;12.02.1961 00:00;3.2;;
TDG;13.02.1961 00:00;0;;
TDG;14.02.1961 00:00;0;;
TDG;15.02.1961 00:00;0;;
TDG;16.02.1961 00:00;0;;
TDG;17.02.1961 00:00;0;;
TDG;18.02.1961 00:00;0;;
TDG;19.02.1961 00:00;0;;
TDG;20.02.1961 00:00;0;;
TDG;21.02.1961 00:00;0;;
TDG;22.02.1961 00:00;0;;
TDG;23.02.1961 00:00;0;;
TDG;24.02.1961 00:00;0;;
TDG;25.02.1961 00:00;0;;
TDG;26.02.1961 00:00;0;;
TDG;27.02.1961 00:00;0;;
TDG;28.02.1961 00:00;16.1;;
TDG;01.03.1961 00:00;0;;
TDG;02.03.1961 00:00;0;;
TDG;03.03.1961 00:00;0;;
TDG;04.03.1961 00:00;0;;
TDG;05.03.1961 00:00;0;;
TDG;06.03.1961 00:00;0;;
TDG;07.03.1961 00:00;0;;
TDG;08.03.1961 00:00;0;;
TDG;09.03.1961 00:00;0;;
TDG;10.03.1961 00:00;0;;
TDG;11.03.1961 00:00;0;;
TDG;12.03.1961 00:00;0;;
TDG;13.03.1961 00:00;0;;
TDG;14.03.1961 00:00;0;;
TDG;15.03.1961 00:00;0;;
TDG;16.03.1961 00:00;0;;
TDG;17.03.1961 00:00;0;;
TDG;18.03.1961 00:00;11.3;;
