station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TEU;01.01.1901 00:00;2.2;;
TEU;02.01.1901 00:00;0;;
TEU;03.01.1901 00:00;0;;
TEU;04.01.1901 00:00;0;;
TEU;05.01.1901 00:00;0.4;;
TEU;06.01.1901 00:00;0;;
TEU;07.01.1901 00:00;0;;
TEU;08.01.1901 00:00;0;;
TEU;09.01.1901 00:00;0;;
TEU;10.01.1901 00:00;0;;
TEU;11.01.1901 00:00;4.1;;
TEU;12.01.1901 00:00;0;;
TEU;13.01.1901 00:00;0;;
TEU;14.01.1901 00:00;0;;
TEU;15.01.1901 00:00;0;;
TEU;16.01.1901 00:00;0;;
TEU;17.01.1901 00:00;0;;
TEU;18.01.1901 00:00;0;;
TEU;19.01.1901 00:00;0;;
TEU;20.01.1901 00:00;5.6;;
TEU;21.01.1901 00:00;1.3;;
TEU;22.01.1901 00:00;0;;
TEU;23.01.1901 00:00;0;;
TEU;24.01.1901 00:00;0;;
TEU;25.01.1901 00:00;0;;
TEU;26.01.1901 00:00;3.8;;
TEU;27.01.1901 00:00;8.2;;
TEU;28.01.1901 00:00;8.1;;
TEU;29.01.1901 00:00;6.8;;
TEU;30.01.1901 00:00;0;;
TEU;31.01.1901 00:00;0;;
TEU;01.02.1901 00:00;0;;
TEU;02.02.1901 00:00;2.2;;
TEU;03.02.1901 00:00;0;;
TEU;04.02.1901 00:00;0;;
TEU;05.02.1901 00:00;0.8;;
TEU;06.02.1901 00:00;0;;
TEU;07.02.1901 00:00;8.4;;
TEU;08.02.1901 00:00;1.1;;
TEU;09.02.1901 00:00;0;;
TEU;10.02.1901 00:00;0;;
TEU;11.02.1901 00:00;5.2;;
TEU;12.02.1901 00:00;0;;
TEU;13.02.1901 00:00;8.2;;
TEU;14.02.1901 00:00;0;;
TEU;15.02.1901 00:00;0;;
TEU;16.02.1901 00:00;4.3;;
TEU;17.02.1901 00:00;7.4;;
TEU;18.02.1901 00:00;2.8;;
TEU;19.02.1901 00:00;0.6;;
TEU;20.02.1901 00:00;0;;
TEU;21.02.1901 00:00;0;;
TEU;22.02.1901 00:00;0;;
TEU;23.02.1901 00:00;0;;
