station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TFD;02.11.1960 00:00;;;0
TFD;03.11.1960 00:00;;;0
TFD;04.11.1960 00:00;;;0
TFD;05.11.1960 00:00;;;0
TFD;06.11.1960 00:00;;;0
TFD;07.11.1960 00:00;;;0
TFD;08.11.1960 00:00;;;0
TFD;09.11.1960 00:00;;;0
TFD;10.11.1960 00:00;;;0
TFD;11.11.1960 00:00;;;0
TFD;12.11.1960 00:00;;;0
TFD;13.11.1960 00:00;;;0
TFD;14.11.1960 00:00;;;0
TFD;15.11.1960 00:00;;;0
TFD;16.11.1960 00:00;;;0
TFD;17.11.1960 00:00;;;0
TFD;18.11.1960 00:00;;;0
TFD;19.11.1960 00:00;;;0
TFD;20.11.1960 00:00;;;0
TFD;21.11.1960 00:00;;;0
TFD;22.11.1960 00:00;;;0
TFD;23.11.1960 00:00;;;0
TFD;24.11.1960 00:00;;;0
TFD;25.11.1960 00:00;;;0
TFD;26.11.1960 00:00;;;0
TFD;27.11.1960 00:00;;;0
TFD;28.11.1960 00:00;;;0
TFD;29.11.1960 00:00;;;0
TFD;30.11.1960 00:00;;;0
TFD;01.12.1960 00:00;;;0
TFD;02.12.1960 00:00;;;0
TFD;03.12.1960 00:00;;;0
TFD;04.12.1960 00:00;;;0
TFD;05.12.1960 00:00;;;0
TFD;06.12.1960 00:00;;;0
TFD;07.12.1960 00:00;;;0
TFD;08.12.1960 00:00;;;1
TFD;09.12.1960 00:00;;;6
TFD;10.12.1960 00:00;;;3
TFD;11.12.1960 00:00;;;3
TFD;12.12.1960 00:00;;;3
TFD;13.12.1960 00:00;;;4
TFD;14.12.1960 00:00;;;4
TFD;15.12.1960 00:00;;;4
TFD;16.12.1960 00:00;;;4
TFD;17.12.1960 00:00;;;3
TFD;18.12.1960 00:00;;;3
TFD;19.12.1960 00:00;;;2
TFD;20.12.1960 00:00;;;9
TFD;21.12.1960 00:00;;;9
TFD;22.12.1960 00:00;;;21
TFD;23.12.1960 00:00;;;19
TFD;24.12.1960 00:00;;;20
TFD;25.12.1960 00:00;;;18
TFD;26.12.1960 00:00;;;17
TFD;27.12.1960 00:00;;;17
TFD;28.12.1960 00:00;;;16
TFD;29.12.1960 00:00;;;20
TFD;30.12.1960 00:00;;;20
TFD;31.12.1960 00:00;;;19
TFD;01.01.1961 00:00;;5;18
TFD;02.01.1961 00:00;;0;18
TFD;03.01.1961 00:00;;19;20
TFD;04.01.1961 00:00;;6;16
TFD;05.01.1961 00:00;;5;35
TFD;06.01.1961 00:00;;0;30
TFD;07.01.1961 00:00;;2;35
TFD;08.01.1961 00:00;;2;35
TFD;09.01.1961 00:00;;5;34
TFD;10.01.1961 00:00;;0;29
TFD;11.01.1961 00:00;;0;28
TFD;12.01.1961 00:00;;0;26
TFD;13.01.1961 00:00;;0;26
TFD;14.01.1961 00:00;;0;26
TFD;15.01.1961 00:00;;0;25
TFD;16.01.1961 00:00;;0;24
TFD;17.01.1961 00:00;;0;24
TFD;18.01.1961 00:00;;0;24
TFD;19.01.1961 00:00;;0;23
TFD;20.01.1961 00:00;;0;23
TFD;21.01.1961 00:00;;0;23
TFD;22.01.1961 00:00;;0;23
TFD;23.01.1961 00:00;;3;21
TFD;24.01.1961 00:00;;2;21
TFD;25.01.1961 00:00;;1;24
TFD;26.01.1961 00:00;;2;27
TFD;27.01.1961 00:00;;0;27
TFD;28.01.1961 00:00;;2;23
TFD;29.01.1961 00:00;;0;20
TFD;30.01.1961 00:00;;0;22
TFD;31.01.1961 00:00;;0;20
TFD;01.02.1961 00:00;;13;20
TFD;02.02.1961 00:00;;40;15
TFD;03.02.1961 00:00;;36;28
TFD;04.02.1961 00:00;;14;67
TFD;05.02.1961 00:00;;7;93
TFD;06.02.1961 00:00;;0;100
TFD;07.02.1961 00:00;;17;80
TFD;08.02.1961 00:00;;0;80
TFD;09.02.1961 00:00;;0;60
TFD;10.02.1961 00:00;;0;60
TFD;11.02.1961 00:00;;0;60
TFD;12.02.1961 00:00;;0;60
TFD;13.02.1961 00:00;;0;60
TFD;14.02.1961 00:00;;0;50
TFD;15.02.1961 00:00;;0;50
TFD;16.02.1961 00:00;;0;48
TFD;17.02.1961 00:00;;0;45
TFD;18.02.1961 00:00;;0;44
TFD;19.02.1961 00:00;;0;42
TFD;20.02.1961 00:00;;0;40
TFD;21.02.1961 00:00;;0;40
TFD;22.02.1961 00:00;;0;40
TFD;23.02.1961 00:00;;0;38
TFD;24.02.1961 00:00;;0;38
TFD;25.02.1961 00:00;;0;35
TFD;26.02.1961 00:00;;0;35
TFD;27.02.1961 00:00;;0;38
TFD;28.02.1961 00:00;;4;28
TFD;01.03.1961 00:00;;4;25
TFD;02.03.1961 00:00;;;30
TFD;03.03.1961 00:00;;8;30
TFD;04.03.1961 00:00;;0;38
TFD;05.03.1961 00:00;;0;35
TFD;06.03.1961 00:00;;0;30
TFD;07.03.1961 00:00;;0;30
TFD;08.03.1961 00:00;;0;28
TFD;09.03.1961 00:00;;0;25
TFD;10.03.1961 00:00;;0;25
TFD;11.03.1961 00:00;;0;20
TFD;12.03.1961 00:00;;0;18
TFD;13.03.1961 00:00;;0;12
TFD;14.03.1961 00:00;;0;10
TFD;15.03.1961 00:00;;0;8
TFD;16.03.1961 00:00;;0;6
TFD;17.03.1961 00:00;;0;0
TFD;18.03.1961 00:00;;0;0
TFD;19.03.1961 00:00;;1;0
TFD;20.03.1961 00:00;;3;1
TFD;21.03.1961 00:00;;0;3
TFD;22.03.1961 00:00;;27;0
TFD;23.03.1961 00:00;;0;27
TFD;24.03.1961 00:00;;0;10
TFD;25.03.1961 00:00;;0;5
TFD;26.03.1961 00:00;;0;0
TFD;27.03.1961 00:00;;0;0
TFD;28.03.1961 00:00;;0;0
TFD;29.03.1961 00:00;;0;0
TFD;30.03.1961 00:00;;0;0
TFD;31.03.1961 00:00;;;0
TFD;01.04.1961 00:00;;;0
TFD;02.04.1961 00:00;;;0
