station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TIC;01.01.1961 00:00;7.2;;
TIC;02.01.1961 00:00;0;;
TIC;03.01.1961 00:00;17.1;;
TIC;04.01.1961 00:00;0;;
TIC;05.01.1961 00:00;0.1;;
TIC;06.01.1961 00:00;0;;
TIC;07.01.1961 00:00;0;;
TIC;08.01.1961 00:00;0;;
TIC;09.01.1961 00:00;0;;
TIC;10.01.1961 00:00;0;;
TIC;11.01.1961 00:00;3.7;;
TIC;12.01.1961 00:00;0;;
TIC;13.01.1961 00:00;0;;
TIC;14.01.1961 00:00;0;;
TIC;15.01.1961 00:00;0;;
TIC;16.01.1961 00:00;0;;
TIC;17.01.1961 00:00;0;;
TIC;18.01.1961 00:00;0;;
TIC;19.01.1961 00:00;0;;
TIC;20.01.1961 00:00;0;;
TIC;21.01.1961 00:00;0;;
TIC;22.01.1961 00:00;0;;
TIC;23.01.1961 00:00;0;;
TIC;24.01.1961 00:00;0;;
TIC;25.01.1961 00:00;0;;
TIC;26.01.1961 00:00;0.1;;
TIC;27.01.1961 00:00;0;;
TIC;28.01.1961 00:00;0;;
TIC;29.01.1961 00:00;0;;
TIC;30.01.1961 00:00;0;;
TIC;31.01.1961 00:00;0.3;;
TIC;01.02.1961 00:00;3.2;;
TIC;02.02.1961 00:00;12.3;;
TIC;03.02.1961 00:00;3.8;;
TIC;04.02.1961 00:00;15.6;;
TIC;05.02.1961 00:00;3.8;;
TIC;06.02.1961 00:00;0.5;;
TIC;07.02.1961 00:00;4.2;;
TIC;08.02.1961 00:00;0;;
TIC;09.02.1961 00:00;4.9;;
TIC;10.02.1961 00:00;0;;
TIC;11.02.1961 00:00;6.6;;
TIC;12.02.1961 00:00;3.2;;
TIC;13.02.1961 00:00;0;;
TIC;14.02.1961 00:00;0;;
TIC;15.02.1961 00:00;0;;
TIC;16.02.1961 00:00;0;;
TIC;17.02.1961 00:00;0;;
TIC;18.02.1961 00:00;0;;
TIC;19.02.1961 00:00;0;;
TIC;20.02.1961 00:00;0;;
TIC;21.02.1961 00:00;0;;
TIC;22.02.1961 00:00;0;;
