station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TRO;01.09.1972 00:00;;0;
TRO;04.09.1972 00:00;;0;
TRO;06.09.1972 00:00;;0;
TRO;08.09.1972 00:00;;0;
TRO;11.09.1972 00:00;;0;
TRO;12.09.1972 00:00;;0;
TRO;13.09.1972 00:00;;0;
TRO;14.09.1972 00:00;;0;
TRO;20.09.1972 00:00;;0;
TRO;21.09.1972 00:00;;0;
TRO;22.09.1972 00:00;;0;
TRO;23.09.1972 00:00;;0;
TRO;24.09.1972 00:00;;0;
TRO;26.09.1972 00:00;;0;
TRO;27.09.1972 00:00;;0;
TRO;28.09.1972 00:00;;0;
TRO;29.09.1972 00:00;;0;
TRO;30.09.1972 00:00;;0;
TRO;01.10.1972 00:00;;0;
TRO;02.10.1972 00:00;;0;
TRO;03.10.1972 00:00;;0;
TRO;04.10.1972 00:00;;0;
TRO;05.10.1972 00:00;;0;
TRO;06.10.1972 00:00;;0;
TRO;07.10.1972 00:00;;0;
TRO;08.10.1972 00:00;;0;
TRO;10.10.1972 00:00;;0;
TRO;11.10.1972 00:00;;0;
TRO;12.10.1972 00:00;;0;
TRO;15.10.1972 00:00;;0;
TRO;16.10.1972 00:00;;0;
TRO;17.10.1972 00:00;;0;
TRO;18.10.1972 00:00;;0;
TRO;19.10.1972 00:00;;0;
TRO;20.10.1972 00:00;;3;
TRO;21.10.1972 00:00;;10;0
TRO;22.10.1972 00:00;;26;12
TRO;23.10.1972 00:00;;0;27
TRO;24.10.1972 00:00;;0;5
TRO;25.10.1972 00:00;;0;0
TRO;26.10.1972 00:00;;0;
TRO;31.10.1972 00:00;;0;
TRO;01.11.1972 00:00;;0;
TRO;02.11.1972 00:00;;0;
TRO;03.11.1972 00:00;;0;
TRO;04.11.1972 00:00;;0;
TRO;05.11.1972 00:00;;0;
TRO;06.11.1972 00:00;;0;
TRO;07.11.1972 00:00;;0;
TRO;08.11.1972 00:00;;0;
TRO;09.11.1972 00:00;;0;
TRO;11.11.1972 00:00;;3;
TRO;12.11.1972 00:00;;0;0
TRO;13.11.1972 00:00;;0;0
TRO;14.11.1972 00:00;;4;0
TRO;15.11.1972 00:00;;6;0
TRO;16.11.1972 00:00;;0;8
TRO;17.11.1972 00:00;;5;0
TRO;18.11.1972 00:00;;5;0
TRO;19.11.1972 00:00;;0;8
TRO;20.11.1972 00:00;;0;2
TRO;21.11.1972 00:00;;0;0
TRO;22.11.1972 00:00;;8;0
TRO;23.11.1972 00:00;;4;0
TRO;24.11.1972 00:00;;10;10
TRO;25.11.1972 00:00;;7;20
TRO;26.11.1972 00:00;;0;23
TRO;27.11.1972 00:00;;0;19
TRO;28.11.1972 00:00;;0;18
TRO;29.11.1972 00:00;;0;16
TRO;30.11.1972 00:00;;0;13
TRO;01.12.1972 00:00;;0;11
TRO;02.12.1972 00:00;;0;6
TRO;03.12.1972 00:00;;0;3
TRO;04.12.1972 00:00;;0;1
TRO;05.12.1972 00:00;;0;0
TRO;06.12.1972 00:00;;0;0
TRO;07.12.1972 00:00;;0;0
TRO;08.12.1972 00:00;;2;0
TRO;09.12.1972 00:00;;3;0
TRO;10.12.1972 00:00;;0;5
TRO;11.12.1972 00:00;;0;5
TRO;12.12.1972 00:00;;0;4
TRO;13.12.1972 00:00;;0;3
TRO;14.12.1972 00:00;;0;3
TRO;15.12.1972 00:00;;0;3
TRO;16.12.1972 00:00;;;2
TRO;17.12.1972 00:00;;;2
TRO;18.12.1972 00:00;;;2
TRO;19.12.1972 00:00;;;2
TRO;20.12.1972 00:00;;;2
TRO;21.12.1972 00:00;;;2
TRO;22.12.1972 00:00;;;2
TRO;23.12.1972 00:00;;;2
