station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TRU;01.01.1961 00:00;3.4;;
TRU;02.01.1961 00:00;0;;
TRU;03.01.1961 00:00;13.2;;
TRU;04.01.1961 00:00;0.8;;
TRU;05.01.1961 00:00;1.4;;
TRU;06.01.1961 00:00;0;;
TRU;07.01.1961 00:00;0.6;;
TRU;08.01.1961 00:00;0;;
TRU;09.01.1961 00:00;0;;
TRU;10.01.1961 00:00;0;;
TRU;11.01.1961 00:00;3.2;;
TRU;12.01.1961 00:00;0;;
TRU;13.01.1961 00:00;0;;
TRU;14.01.1961 00:00;0;;
TRU;15.01.1961 00:00;0;;
TRU;16.01.1961 00:00;0;;
TRU;17.01.1961 00:00;0;;
TRU;18.01.1961 00:00;0;;
TRU;19.01.1961 00:00;0;;
TRU;20.01.1961 00:00;0;;
TRU;21.01.1961 00:00;0;;
TRU;22.01.1961 00:00;0;;
TRU;23.01.1961 00:00;0;;
TRU;24.01.1961 00:00;0;;
TRU;25.01.1961 00:00;0.2;;
TRU;26.01.1961 00:00;0.1;;
TRU;27.01.1961 00:00;0;;
TRU;28.01.1961 00:00;0.9;;
TRU;29.01.1961 00:00;0;;
TRU;30.01.1961 00:00;0;;
TRU;31.01.1961 00:00;5.3;;
TRU;01.02.1961 00:00;9.9;;
TRU;02.02.1961 00:00;35;;
TRU;03.02.1961 00:00;22;;
TRU;04.02.1961 00:00;34.3;;
TRU;05.02.1961 00:00;12.1;;
TRU;06.02.1961 00:00;2.4;;
TRU;07.02.1961 00:00;16.2;;
TRU;08.02.1961 00:00;0;;
TRU;09.02.1961 00:00;19.4;;
TRU;10.02.1961 00:00;0.4;;
TRU;11.02.1961 00:00;10.5;;
TRU;12.02.1961 00:00;5.9;;
TRU;13.02.1961 00:00;0.2;;
TRU;14.02.1961 00:00;0;;
TRU;15.02.1961 00:00;0;;
TRU;16.02.1961 00:00;0;;
TRU;17.02.1961 00:00;0;;
TRU;18.02.1961 00:00;0;;
TRU;19.02.1961 00:00;0;;
TRU;20.02.1961 00:00;0;;
TRU;21.02.1961 00:00;0;;
TRU;22.02.1961 00:00;0.3;;
TRU;23.02.1961 00:00;0;;
TRU;24.02.1961 00:00;0;;
TRU;25.02.1961 00:00;0;;
TRU;26.02.1961 00:00;0;;
TRU;27.02.1961 00:00;0;;
TRU;28.02.1961 00:00;11;;
TRU;01.03.1961 00:00;12.4;;
TRU;02.03.1961 00:00;1.7;;
TRU;03.03.1961 00:00;7.7;;
TRU;04.03.1961 00:00;0;;
TRU;05.03.1961 00:00;0;;
TRU;06.03.1961 00:00;0;;
TRU;07.03.1961 00:00;0;;
TRU;08.03.1961 00:00;0;;
TRU;09.03.1961 00:00;0;;
TRU;10.03.1961 00:00;0;;
TRU;11.03.1961 00:00;0;;
TRU;12.03.1961 00:00;0;;
TRU;13.03.1961 00:00;0;;
TRU;14.03.1961 00:00;0;;
TRU;15.03.1961 00:00;0;;
TRU;16.03.1961 00:00;0;;
TRU;17.03.1961 00:00;0;;
TRU;18.03.1961 00:00;2.7;;
TRU;19.03.1961 00:00;2.9;;
TRU;20.03.1961 00:00;0.3;;
TRU;21.03.1961 00:00;5.8;;
TRU;22.03.1961 00:00;0;;
TRU;23.03.1961 00:00;0;;
TRU;24.03.1961 00:00;0;;
TRU;25.03.1961 00:00;0;;
