station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
TST;01.05.1897 00:00;15.5;;
TST;02.05.1897 00:00;1.1;;
TST;03.05.1897 00:00;0;;
TST;04.05.1897 00:00;0.1;;
TST;05.05.1897 00:00;0;;
TST;06.05.1897 00:00;6.8;;
TST;07.05.1897 00:00;4.3;;
TST;08.05.1897 00:00;0.3;;
TST;09.05.1897 00:00;0.7;;
TST;10.05.1897 00:00;1.3;;
TST;11.05.1897 00:00;11.3;;
TST;12.05.1897 00:00;1.5;;
TST;13.05.1897 00:00;0.3;;
TST;14.05.1897 00:00;12.8;;
TST;15.05.1897 00:00;0.6;;
TST;16.05.1897 00:00;0;;
TST;17.05.1897 00:00;16.1;;
TST;18.05.1897 00:00;0;;
TST;19.05.1897 00:00;0;;
TST;20.05.1897 00:00;5;;
TST;21.05.1897 00:00;0.2;;
TST;22.05.1897 00:00;9.5;;
TST;23.05.1897 00:00;0.6;;
TST;24.05.1897 00:00;16.7;;
TST;25.05.1897 00:00;3.3;;
TST;26.05.1897 00:00;3.2;;
TST;27.05.1897 00:00;2.3;;
TST;28.05.1897 00:00;4.2;;
TST;29.05.1897 00:00;0;;
TST;30.05.1897 00:00;0;;
TST;31.05.1897 00:00;0;;
TST;01.06.1897 00:00;0;;
TST;02.06.1897 00:00;0;;
TST;03.06.1897 00:00;4.2;;
TST;04.06.1897 00:00;6.7;;
TST;05.06.1897 00:00;4.1;;
TST;06.06.1897 00:00;2.8;;
TST;07.06.1897 00:00;0;;
TST;08.06.1897 00:00;0;;
TST;09.06.1897 00:00;17.1;;
TST;10.06.1897 00:00;2.1;;
TST;11.06.1897 00:00;0.7;;
TST;12.06.1897 00:00;0;;
TST;13.06.1897 00:00;0;;
TST;14.06.1897 00:00;0;;
TST;15.06.1897 00:00;0.7;;
TST;16.06.1897 00:00;0.4;;
TST;17.06.1897 00:00;8.9;;
TST;18.06.1897 00:00;1;;
TST;19.06.1897 00:00;6.7;;
TST;20.06.1897 00:00;2.1;;
TST;21.06.1897 00:00;12.1;;
TST;22.06.1897 00:00;0;;
TST;23.06.1897 00:00;0;;
TST;24.06.1897 00:00;0;;
TST;25.06.1897 00:00;0;;
TST;26.06.1897 00:00;0;;
TST;27.06.1897 00:00;6.5;;
TST;28.06.1897 00:00;0;;
TST;29.06.1897 00:00;0;;
TST;30.06.1897 00:00;0;;
TST;01.07.1897 00:00;5.1;;
TST;02.07.1897 00:00;0;;
TST;03.07.1897 00:00;0;;
TST;04.07.1897 00:00;0.1;;
TST;05.07.1897 00:00;0;;
TST;06.07.1897 00:00;0;;
TST;07.07.1897 00:00;1.6;;
TST;08.07.1897 00:00;7.1;;
TST;09.07.1897 00:00;0;;
TST;10.07.1897 00:00;0;;
TST;11.07.1897 00:00;0;;
TST;12.07.1897 00:00;0;;
TST;13.07.1897 00:00;4.8;;
TST;14.07.1897 00:00;0.1;;
TST;15.07.1897 00:00;3.8;;
TST;16.07.1897 00:00;1.2;;
TST;17.07.1897 00:00;0.3;;
TST;18.07.1897 00:00;0;;
TST;19.07.1897 00:00;0.2;;
TST;20.07.1897 00:00;18.6;;
TST;21.07.1897 00:00;2;;
TST;22.07.1897 00:00;5;;
TST;23.07.1897 00:00;0.6;;
TST;24.07.1897 00:00;0;;
TST;25.07.1897 00:00;3.9;;
TST;26.07.1897 00:00;2;;
TST;27.07.1897 00:00;9.9;;
TST;28.07.1897 00:00;19.3;;
TST;29.07.1897 00:00;5.5;;
TST;30.07.1897 00:00;0;;
TST;31.07.1897 00:00;0;;
TST;01.08.1897 00:00;0;;
TST;02.08.1897 00:00;0;;
TST;03.08.1897 00:00;0;;
TST;04.08.1897 00:00;4.6;;
TST;05.08.1897 00:00;0;;
TST;06.08.1897 00:00;2.5;;
TST;07.08.1897 00:00;3.3;;
TST;08.08.1897 00:00;17.3;;
TST;09.08.1897 00:00;0.1;;
TST;10.08.1897 00:00;0;;
TST;11.08.1897 00:00;0;;
TST;12.08.1897 00:00;7.8;;
TST;13.08.1897 00:00;1.3;;
TST;14.08.1897 00:00;0;;
TST;15.08.1897 00:00;2.8;;
TST;16.08.1897 00:00;5.3;;
TST;17.08.1897 00:00;0;;
TST;18.08.1897 00:00;2.1;;
TST;19.08.1897 00:00;48.3;;
TST;20.08.1897 00:00;2.7;;
TST;21.08.1897 00:00;0;;
TST;22.08.1897 00:00;49.5;;
TST;23.08.1897 00:00;21.5;;
TST;24.08.1897 00:00;0;;
TST;25.08.1897 00:00;4.3;;
TST;26.08.1897 00:00;0.1;;
TST;27.08.1897 00:00;0.2;;
TST;28.08.1897 00:00;14.5;;
TST;29.08.1897 00:00;0.9;;
TST;30.08.1897 00:00;7.5;;
TST;31.08.1897 00:00;1.3;;
TST;01.09.1897 00:00;0;;
TST;02.09.1897 00:00;16.3;;
TST;03.09.1897 00:00;30.7;;
TST;04.09.1897 00:00;23.8;;
TST;05.09.1897 00:00;0.1;;
TST;06.09.1897 00:00;11.5;;
TST;07.09.1897 00:00;4.5;;
TST;08.09.1897 00:00;0.2;;
TST;09.09.1897 00:00;0.1;;
TST;10.09.1897 00:00;15.3;;
TST;11.09.1897 00:00;15.1;;
TST;12.09.1897 00:00;16.3;;
TST;13.09.1897 00:00;0;;
TST;14.09.1897 00:00;7.8;;
TST;15.09.1897 00:00;11.8;;
TST;16.09.1897 00:00;0.8;;
TST;17.09.1897 00:00;0.4;;
TST;18.09.1897 00:00;2;;
TST;19.09.1897 00:00;38.1;;
TST;20.09.1897 00:00;0.6;;
TST;21.09.1897 00:00;0.1;;
TST;22.09.1897 00:00;0.2;;
TST;23.09.1897 00:00;0;;
TST;24.09.1897 00:00;0;;
TST;25.09.1897 00:00;0;;
TST;26.09.1897 00:00;0;;
TST;27.09.1897 00:00;0;;
TST;28.09.1897 00:00;0;;
