station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
UNS;01.01.1982 00:00;4.5;;
UNS;02.01.1982 00:00;0.3;;
UNS;03.01.1982 00:00;0;;
UNS;04.01.1982 00:00;4.8;;
UNS;05.01.1982 00:00;14.5;;
UNS;06.01.1982 00:00;23.6;;
UNS;07.01.1982 00:00;4.5;;
UNS;08.01.1982 00:00;31.1;;
UNS;09.01.1982 00:00;4.4;;
UNS;10.01.1982 00:00;3.5;;
UNS;11.01.1982 00:00;0.7;;
UNS;12.01.1982 00:00;3.8;;
UNS;13.01.1982 00:00;0;;
UNS;14.01.1982 00:00;0;;
UNS;15.01.1982 00:00;0;;
UNS;16.01.1982 00:00;0;;
UNS;17.01.1982 00:00;0;;
UNS;18.01.1982 00:00;0;;
UNS;19.01.1982 00:00;0;;
UNS;20.01.1982 00:00;0;;
UNS;21.01.1982 00:00;0;;
UNS;22.01.1982 00:00;2.1;;
UNS;23.01.1982 00:00;3;;
UNS;24.01.1982 00:00;1.7;;
UNS;25.01.1982 00:00;0;;
UNS;26.01.1982 00:00;2;;
UNS;27.01.1982 00:00;11.6;;
UNS;28.01.1982 00:00;0.4;;
UNS;29.01.1982 00:00;79.9;;
UNS;30.01.1982 00:00;1.2;;
UNS;31.01.1982 00:00;7.7;;
UNS;01.02.1982 00:00;0;;
UNS;02.02.1982 00:00;0;;
UNS;03.02.1982 00:00;0;;
UNS;04.02.1982 00:00;0;;
UNS;05.02.1982 00:00;0;;
UNS;06.02.1982 00:00;0;;
UNS;07.02.1982 00:00;0;;
UNS;08.02.1982 00:00;3.7;;
UNS;09.02.1982 00:00;0;;
UNS;10.02.1982 00:00;0;;
UNS;11.02.1982 00:00;0;;
UNS;12.02.1982 00:00;0;;
UNS;13.02.1982 00:00;0;;
UNS;14.02.1982 00:00;0;;
UNS;15.02.1982 00:00;0;;
UNS;16.02.1982 00:00;0;;
UNS;17.02.1982 00:00;0;;
UNS;18.02.1982 00:00;0;;
UNS;19.02.1982 00:00;5.9;;
UNS;20.02.1982 00:00;0.7;;
UNS;21.02.1982 00:00;0;;
UNS;22.02.1982 00:00;7.6;;
UNS;23.02.1982 00:00;16.8;;
UNS;24.02.1982 00:00;6.7;;
UNS;25.02.1982 00:00;3.1;;
UNS;26.02.1982 00:00;0;;
UNS;27.02.1982 00:00;0;;
UNS;28.02.1982 00:00;0;;
UNS;01.03.1982 00:00;1.7;;
UNS;02.03.1982 00:00;11;;
UNS;03.03.1982 00:00;0;;
UNS;04.03.1982 00:00;13.2;;
UNS;05.03.1982 00:00;5.3;;
UNS;06.03.1982 00:00;0;;
UNS;07.03.1982 00:00;0;;
UNS;08.03.1982 00:00;0;;
UNS;09.03.1982 00:00;0;;
UNS;10.03.1982 00:00;6.6;;
UNS;11.03.1982 00:00;7.2;;
UNS;12.03.1982 00:00;14.6;;
UNS;13.03.1982 00:00;16.4;;
UNS;14.03.1982 00:00;0;;
UNS;15.03.1982 00:00;0;;
UNS;16.03.1982 00:00;0;;
UNS;17.03.1982 00:00;13.2;;
UNS;18.03.1982 00:00;40.3;;
UNS;19.03.1982 00:00;8.5;;
UNS;20.03.1982 00:00;12.5;;
UNS;21.03.1982 00:00;2;;
UNS;22.03.1982 00:00;15.2;;
UNS;23.03.1982 00:00;8;;
UNS;24.03.1982 00:00;0;;
UNS;25.03.1982 00:00;0;;
UNS;26.03.1982 00:00;0;;
UNS;27.03.1982 00:00;0;;
UNS;28.03.1982 00:00;0;;
UNS;29.03.1982 00:00;8.2;;
UNS;30.03.1982 00:00;8.4;;
UNS;31.03.1982 00:00;1.2;;
UNS;01.04.1982 00:00;0;;
UNS;02.04.1982 00:00;8;;
UNS;03.04.1982 00:00;0;;
UNS;04.04.1982 00:00;0;;
UNS;05.04.1982 00:00;0;;
UNS;06.04.1982 00:00;0.8;;
UNS;07.04.1982 00:00;1.1;;
UNS;08.04.1982 00:00;12.3;;
UNS;09.04.1982 00:00;2.9;;
UNS;10.04.1982 00:00;0;;
UNS;11.04.1982 00:00;0.9;;
UNS;12.04.1982 00:00;2.1;;
UNS;13.04.1982 00:00;3.4;;
UNS;14.04.1982 00:00;0;;
UNS;15.04.1982 00:00;0;;
UNS;16.04.1982 00:00;0;;
UNS;17.04.1982 00:00;0;;
UNS;18.04.1982 00:00;0;;
UNS;19.04.1982 00:00;0;;
UNS;20.04.1982 00:00;0.4;;
UNS;21.04.1982 00:00;0;;
UNS;22.04.1982 00:00;0;;
UNS;23.04.1982 00:00;9.7;;
UNS;24.04.1982 00:00;8.2;;
UNS;25.04.1982 00:00;0;;
UNS;26.04.1982 00:00;0;;
UNS;27.04.1982 00:00;0;;
UNS;28.04.1982 00:00;0.6;;
UNS;29.04.1982 00:00;32.3;;
UNS;30.04.1982 00:00;1.3;;
UNS;01.05.1982 00:00;0;;
UNS;02.05.1982 00:00;0;;
UNS;03.05.1982 00:00;0;;
UNS;04.05.1982 00:00;0;;
UNS;05.05.1982 00:00;5;;
UNS;06.05.1982 00:00;21;;
UNS;07.05.1982 00:00;0.1;;
UNS;08.05.1982 00:00;9;;
UNS;09.05.1982 00:00;8.7;;
UNS;10.05.1982 00:00;7.4;;
UNS;11.05.1982 00:00;0;;
