station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
URB;02.11.1960 00:00;;;0
URB;03.11.1960 00:00;;;0
URB;04.11.1960 00:00;;;0
URB;05.11.1960 00:00;;;0
URB;06.11.1960 00:00;;;12
URB;07.11.1960 00:00;;;13
URB;08.11.1960 00:00;;;11
URB;09.11.1960 00:00;;;8
URB;10.11.1960 00:00;;;14
URB;11.11.1960 00:00;;;10
URB;12.11.1960 00:00;;;9
URB;13.11.1960 00:00;;;9
URB;14.11.1960 00:00;;;6
URB;15.11.1960 00:00;;;10
URB;16.11.1960 00:00;;;7
URB;17.11.1960 00:00;;;6
URB;18.11.1960 00:00;;;9
URB;19.11.1960 00:00;;;8
URB;20.11.1960 00:00;;;7
URB;21.11.1960 00:00;;;34
URB;22.11.1960 00:00;;;29
URB;23.11.1960 00:00;;;21
URB;24.11.1960 00:00;;;14
URB;25.11.1960 00:00;;;13
URB;26.11.1960 00:00;;;11
URB;27.11.1960 00:00;;;10
URB;28.11.1960 00:00;;;8
URB;29.11.1960 00:00;;;8
URB;30.11.1960 00:00;;;22
URB;01.12.1960 00:00;;;21
URB;02.12.1960 00:00;;;18
URB;03.12.1960 00:00;;;15
URB;04.12.1960 00:00;;;15
URB;05.12.1960 00:00;;;15
URB;06.12.1960 00:00;;;14
URB;07.12.1960 00:00;;;14
URB;08.12.1960 00:00;;;48
URB;09.12.1960 00:00;;;52
URB;10.12.1960 00:00;;;48
URB;11.12.1960 00:00;;;44
URB;12.12.1960 00:00;;;42
URB;13.12.1960 00:00;;;46
URB;14.12.1960 00:00;;;43
URB;15.12.1960 00:00;;;41
URB;16.12.1960 00:00;;;40
URB;17.12.1960 00:00;;;37
URB;18.12.1960 00:00;;;35
URB;19.12.1960 00:00;;;34
URB;20.12.1960 00:00;;;35
URB;21.12.1960 00:00;;;35
URB;22.12.1960 00:00;;;54
URB;23.12.1960 00:00;;;51
URB;24.12.1960 00:00;;;50
URB;25.12.1960 00:00;;;48
URB;26.12.1960 00:00;;;47
URB;27.12.1960 00:00;;;46
URB;28.12.1960 00:00;;;45
URB;29.12.1960 00:00;;;44
URB;30.12.1960 00:00;;;46
URB;31.12.1960 00:00;;;47
URB;01.01.1961 00:00;3.9;;48
URB;02.01.1961 00:00;0;4;50
URB;03.01.1961 00:00;14.6;;55
URB;04.01.1961 00:00;1.9;35;50
URB;05.01.1961 00:00;2.1;4;85
URB;06.01.1961 00:00;0.1;5;85
URB;07.01.1961 00:00;0.3;;90
URB;08.01.1961 00:00;3.3;;80
URB;09.01.1961 00:00;1.7;;75
URB;10.01.1961 00:00;0;2;70
URB;11.01.1961 00:00;2.4;;70
URB;12.01.1961 00:00;0;3;70
URB;13.01.1961 00:00;0;0;70
URB;14.01.1961 00:00;0;0;68
URB;15.01.1961 00:00;0;0;68
URB;16.01.1961 00:00;0;0;68
URB;17.01.1961 00:00;0;0;68
URB;18.01.1961 00:00;0;0;68
URB;19.01.1961 00:00;0;0;65
URB;20.01.1961 00:00;0;0;65
URB;21.01.1961 00:00;0;0;65
URB;22.01.1961 00:00;0;0;65
URB;23.01.1961 00:00;5.7;0;65
URB;24.01.1961 00:00;6.6;8;65
URB;25.01.1961 00:00;1.5;6;75
URB;26.01.1961 00:00;2;2;80
URB;27.01.1961 00:00;0;0;80
URB;28.01.1961 00:00;3.8;0;80
URB;29.01.1961 00:00;0;0;75
URB;30.01.1961 00:00;4.5;;75
URB;31.01.1961 00:00;15.7;;75
URB;01.02.1961 00:00;8.7;0;70
URB;02.02.1961 00:00;21.8;8;68
URB;03.02.1961 00:00;16.6;25;75
URB;04.02.1961 00:00;21.6;10;102
URB;05.02.1961 00:00;14.6;0;115
URB;06.02.1961 00:00;7.8;3;115
URB;07.02.1961 00:00;11.5;0;105
URB;08.02.1961 00:00;0;0;105
URB;09.02.1961 00:00;25.5;5;108
URB;10.02.1961 00:00;0.6;0;108
URB;11.02.1961 00:00;8.1;2;108
URB;12.02.1961 00:00;6.9;0;108
URB;13.02.1961 00:00;0;0;108
URB;14.02.1961 00:00;0;0;105
URB;15.02.1961 00:00;0;0;105
URB;16.02.1961 00:00;0;0;105
URB;17.02.1961 00:00;0;0;100
URB;18.02.1961 00:00;0;0;100
URB;19.02.1961 00:00;0;0;95
URB;20.02.1961 00:00;0;0;95
URB;21.02.1961 00:00;0;0;95
URB;22.02.1961 00:00;0;0;95
URB;23.02.1961 00:00;0;0;95
URB;24.02.1961 00:00;0;0;95
URB;25.02.1961 00:00;0;0;95
URB;26.02.1961 00:00;0;0;95
URB;27.02.1961 00:00;0;0;95
