station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VAD;01.01.1971 00:00;1;;7
VAD;02.01.1971 00:00;0;;7
VAD;03.01.1971 00:00;0;;6
VAD;04.01.1971 00:00;0;;6
VAD;05.01.1971 00:00;0;;6
VAD;06.01.1971 00:00;0;;6
VAD;07.01.1971 00:00;0;;6
VAD;08.01.1971 00:00;0;;5
VAD;09.01.1971 00:00;0;;5
VAD;10.01.1971 00:00;0;;6
VAD;11.01.1971 00:00;0;;5
VAD;12.01.1971 00:00;0;;5
VAD;13.01.1971 00:00;0;;5
VAD;14.01.1971 00:00;0;;5
VAD;15.01.1971 00:00;0;;5
VAD;16.01.1971 00:00;0;;5
VAD;17.01.1971 00:00;0;;5
VAD;18.01.1971 00:00;0;;5
VAD;19.01.1971 00:00;0;;5
VAD;20.01.1971 00:00;14.1;;5
VAD;21.01.1971 00:00;5;1;3
VAD;22.01.1971 00:00;0.2;;1
VAD;23.01.1971 00:00;0.1;;0
VAD;24.01.1971 00:00;0;;0
VAD;25.01.1971 00:00;0;;0
VAD;26.01.1971 00:00;0;;0
VAD;27.01.1971 00:00;2.6;;0
VAD;28.01.1971 00:00;0.6;;0
VAD;29.01.1971 00:00;0;;0
VAD;30.01.1971 00:00;0;;0
VAD;31.01.1971 00:00;0;;0
VAD;01.02.1971 00:00;3.6;1;0
VAD;02.02.1971 00:00;0;;1
VAD;03.02.1971 00:00;10;8;0
VAD;04.02.1971 00:00;2.8;;8
VAD;05.02.1971 00:00;0;;7
VAD;06.02.1971 00:00;0;;6
VAD;07.02.1971 00:00;0;;6
VAD;08.02.1971 00:00;0;;6
VAD;09.02.1971 00:00;0;;6
VAD;10.02.1971 00:00;0;;6
VAD;11.02.1971 00:00;0;;6
VAD;12.02.1971 00:00;0.3;;6
VAD;13.02.1971 00:00;0;;6
VAD;14.02.1971 00:00;1;;4
VAD;15.02.1971 00:00;0;;2
VAD;16.02.1971 00:00;4.8;;0
VAD;17.02.1971 00:00;0;;0
VAD;18.02.1971 00:00;0.5;;0
VAD;19.02.1971 00:00;2.4;;0
VAD;20.02.1971 00:00;0;;0
VAD;21.02.1971 00:00;0;;0
VAD;22.02.1971 00:00;6.9;2;0
VAD;23.02.1971 00:00;2.9;2;2
VAD;24.02.1971 00:00;0;;3
VAD;25.02.1971 00:00;0;;0
VAD;26.02.1971 00:00;6.8;8;0
VAD;27.02.1971 00:00;1.4;1;8
VAD;28.02.1971 00:00;1.3;;7
VAD;01.03.1971 00:00;0;;6
VAD;02.03.1971 00:00;0;;5
VAD;03.03.1971 00:00;0.3;;4
VAD;04.03.1971 00:00;0;;4
VAD;05.03.1971 00:00;0;1;3
VAD;06.03.1971 00:00;0;;4
VAD;07.03.1971 00:00;0;;4
VAD;08.03.1971 00:00;0;;4
VAD;09.03.1971 00:00;0;;4
VAD;10.03.1971 00:00;0.5;;4
VAD;11.03.1971 00:00;0.9;5;2
VAD;12.03.1971 00:00;1.4;;7
VAD;13.03.1971 00:00;0;;3
VAD;14.03.1971 00:00;0;;0
VAD;15.03.1971 00:00;0.3;;0
VAD;16.03.1971 00:00;3.5;;0
VAD;17.03.1971 00:00;0;;0
VAD;18.03.1971 00:00;0;;0
VAD;19.03.1971 00:00;0;;0
VAD;20.03.1971 00:00;0;;0
VAD;21.03.1971 00:00;0;;0
VAD;22.03.1971 00:00;1.3;;0
VAD;23.03.1971 00:00;0;;0
VAD;24.03.1971 00:00;0;;0
VAD;25.03.1971 00:00;2.2;;0
VAD;26.03.1971 00:00;6.4;;0
VAD;27.03.1971 00:00;3.1;;0
VAD;28.03.1971 00:00;0;;0
VAD;29.03.1971 00:00;0;;0
VAD;30.03.1971 00:00;0;;0
VAD;31.03.1971 00:00;0;;0
VAD;01.04.1971 00:00;0;;0
VAD;02.04.1971 00:00;0;;0
VAD;03.04.1971 00:00;0;;0
VAD;04.04.1971 00:00;0;;0
VAD;05.04.1971 00:00;0;;0
VAD;06.04.1971 00:00;0;;0
VAD;07.04.1971 00:00;0;;0
VAD;08.04.1971 00:00;0;;0
VAD;09.04.1971 00:00;0;;0
VAD;10.04.1971 00:00;0;;0
VAD;11.04.1971 00:00;0;;0
VAD;12.04.1971 00:00;0;;0
VAD;13.04.1971 00:00;0;;0
