station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VEL;01.05.1997 00:00;0;;
VEL;02.05.1997 00:00;0;;
VEL;03.05.1997 00:00;0;;
VEL;04.05.1997 00:00;0;;
VEL;05.05.1997 00:00;0.1;;
VEL;06.05.1997 00:00;47.3;;
VEL;07.05.1997 00:00;3.9;;
VEL;08.05.1997 00:00;0;;
VEL;09.05.1997 00:00;4.4;;
VEL;10.05.1997 00:00;0.2;;
VEL;11.05.1997 00:00;0;;
VEL;12.05.1997 00:00;0;;
VEL;13.05.1997 00:00;0;;
VEL;14.05.1997 00:00;0;;
VEL;15.05.1997 00:00;0;;
VEL;16.05.1997 00:00;0;;
VEL;17.05.1997 00:00;0;;
VEL;18.05.1997 00:00;3.3;;
VEL;19.05.1997 00:00;0;;
VEL;20.05.1997 00:00;10.6;;
VEL;21.05.1997 00:00;2.7;;
VEL;22.05.1997 00:00;0.8;;
VEL;23.05.1997 00:00;0;;
VEL;24.05.1997 00:00;1.4;;
VEL;25.05.1997 00:00;0.6;;
VEL;26.05.1997 00:00;0;;
VEL;27.05.1997 00:00;0;;
VEL;28.05.1997 00:00;0;;
VEL;29.05.1997 00:00;0;;
VEL;30.05.1997 00:00;0;;
VEL;31.05.1997 00:00;1.1;;
VEL;01.06.1997 00:00;0;;
VEL;02.06.1997 00:00;0;;
VEL;03.06.1997 00:00;2.7;;
VEL;04.06.1997 00:00;0;;
VEL;05.06.1997 00:00;0;;
VEL;06.06.1997 00:00;0;;
VEL;07.06.1997 00:00;0.5;;
VEL;08.06.1997 00:00;7.2;;
VEL;09.06.1997 00:00;0;;
VEL;10.06.1997 00:00;0;;
VEL;11.06.1997 00:00;10.5;;
VEL;12.06.1997 00:00;4;;
VEL;13.06.1997 00:00;0.7;;
VEL;14.06.1997 00:00;0.6;;
VEL;15.06.1997 00:00;0;;
VEL;16.06.1997 00:00;10.1;;
VEL;17.06.1997 00:00;9.7;;
VEL;18.06.1997 00:00;0.8;;
VEL;19.06.1997 00:00;15.2;;
VEL;20.06.1997 00:00;0.2;;
VEL;21.06.1997 00:00;11.8;;
VEL;22.06.1997 00:00;31.3;;
VEL;23.06.1997 00:00;0.3;;
VEL;24.06.1997 00:00;1.2;;
VEL;25.06.1997 00:00;0.5;;
VEL;26.06.1997 00:00;3.5;;
VEL;27.06.1997 00:00;32;;
VEL;28.06.1997 00:00;9.7;;
VEL;29.06.1997 00:00;22.2;;
VEL;30.06.1997 00:00;0;;
VEL;01.07.1997 00:00;0.2;;
VEL;02.07.1997 00:00;0.1;;
VEL;03.07.1997 00:00;5.5;;
VEL;04.07.1997 00:00;54.8;;
VEL;05.07.1997 00:00;17.3;;
VEL;06.07.1997 00:00;1.9;;
VEL;07.07.1997 00:00;0.2;;
VEL;08.07.1997 00:00;0;;
VEL;09.07.1997 00:00;3.1;;
VEL;10.07.1997 00:00;2.1;;
VEL;11.07.1997 00:00;0.6;;
VEL;12.07.1997 00:00;0;;
VEL;13.07.1997 00:00;0;;
VEL;14.07.1997 00:00;2.3;;
VEL;15.07.1997 00:00;1.1;;
VEL;16.07.1997 00:00;0;;
VEL;17.07.1997 00:00;19.1;;
VEL;18.07.1997 00:00;8;;
VEL;19.07.1997 00:00;0.5;;
VEL;20.07.1997 00:00;0;;
VEL;21.07.1997 00:00;0;;
VEL;22.07.1997 00:00;0;;
VEL;23.07.1997 00:00;2.2;;
VEL;24.07.1997 00:00;15.9;;
VEL;25.07.1997 00:00;8.7;;
VEL;26.07.1997 00:00;4.6;;
VEL;27.07.1997 00:00;0;;
VEL;28.07.1997 00:00;19.4;;
VEL;29.07.1997 00:00;2.1;;
VEL;30.07.1997 00:00;0;;
VEL;31.07.1997 00:00;1.7;;
VEL;01.08.1997 00:00;1.9;;
VEL;02.08.1997 00:00;5.7;;
VEL;03.08.1997 00:00;0;;
VEL;04.08.1997 00:00;0;;
VEL;05.08.1997 00:00;0.6;;
VEL;06.08.1997 00:00;0;;
VEL;07.08.1997 00:00;1.5;;
VEL;08.08.1997 00:00;2.4;;
VEL;09.08.1997 00:00;0;;
VEL;10.08.1997 00:00;0;;
VEL;11.08.1997 00:00;0;;
VEL;12.08.1997 00:00;0;;
VEL;13.08.1997 00:00;0;;
VEL;14.08.1997 00:00;0;;
VEL;15.08.1997 00:00;15.6;;
VEL;16.08.1997 00:00;8.9;;
VEL;17.08.1997 00:00;0;;
VEL;18.08.1997 00:00;0;;
VEL;19.08.1997 00:00;0;;
VEL;20.08.1997 00:00;0;;
VEL;21.08.1997 00:00;0;;
VEL;22.08.1997 00:00;0;;
VEL;23.08.1997 00:00;0;;
VEL;24.08.1997 00:00;0;;
VEL;25.08.1997 00:00;2.3;;
VEL;26.08.1997 00:00;1.4;;
VEL;27.08.1997 00:00;0;;
VEL;28.08.1997 00:00;49.1;;
VEL;29.08.1997 00:00;1.1;;
VEL;30.08.1997 00:00;0.5;;
VEL;31.08.1997 00:00;0;;
VEL;01.09.1997 00:00;0;;
VEL;02.09.1997 00:00;0;;
VEL;03.09.1997 00:00;0;;
VEL;04.09.1997 00:00;0;;
VEL;05.09.1997 00:00;0;;
VEL;06.09.1997 00:00;7.9;;
VEL;07.09.1997 00:00;6.2;;
VEL;08.09.1997 00:00;0;;
VEL;09.09.1997 00:00;0;;
VEL;10.09.1997 00:00;0;;
VEL;11.09.1997 00:00;0;;
VEL;12.09.1997 00:00;1.4;;
VEL;13.09.1997 00:00;3.9;;
VEL;14.09.1997 00:00;0;;
VEL;15.09.1997 00:00;0;;
VEL;16.09.1997 00:00;0;;
VEL;17.09.1997 00:00;0;;
VEL;18.09.1997 00:00;0;;
VEL;19.09.1997 00:00;0;;
VEL;20.09.1997 00:00;0;;
VEL;21.09.1997 00:00;0;;
VEL;22.09.1997 00:00;0;;
VEL;23.09.1997 00:00;0;;
VEL;24.09.1997 00:00;0;;
VEL;25.09.1997 00:00;0;;
VEL;26.09.1997 00:00;0;;
VEL;27.09.1997 00:00;0;;
VEL;28.09.1997 00:00;0;;
VEL;29.09.1997 00:00;0;;
VEL;30.09.1997 00:00;0;;
VEL;01.10.1997 00:00;0;;
VEL;02.10.1997 00:00;0;;
VEL;03.10.1997 00:00;0;;
VEL;04.10.1997 00:00;0;;
VEL;05.10.1997 00:00;0;;
VEL;06.10.1997 00:00;0.2;;
VEL;07.10.1997 00:00;0;;
VEL;08.10.1997 00:00;0;;
VEL;09.10.1997 00:00;0;;
VEL;10.10.1997 00:00;13.6;;
VEL;11.10.1997 00:00;6.9;;
VEL;12.10.1997 00:00;5.2;;
VEL;13.10.1997 00:00;0.5;;
VEL;14.10.1997 00:00;1.1;;
VEL;15.10.1997 00:00;0.8;;
VEL;16.10.1997 00:00;0.9;;
VEL;17.10.1997 00:00;0;;
VEL;18.10.1997 00:00;0;;
VEL;19.10.1997 00:00;0;;
VEL;20.10.1997 00:00;0.1;;
VEL;21.10.1997 00:00;1.2;;
VEL;22.10.1997 00:00;0;;
VEL;23.10.1997 00:00;0;;
VEL;24.10.1997 00:00;0;;
VEL;25.10.1997 00:00;0;;
VEL;26.10.1997 00:00;0;;
VEL;27.10.1997 00:00;0;;
VEL;28.10.1997 00:00;0;;
VEL;29.10.1997 00:00;0;;
VEL;30.10.1997 00:00;0;;
VEL;31.10.1997 00:00;0;;
VEL;01.11.1997 00:00;0;;
VEL;02.11.1997 00:00;0;;
VEL;03.11.1997 00:00;0;;
VEL;04.11.1997 00:00;0;;
VEL;05.11.1997 00:00;0;;
VEL;06.11.1997 00:00;36;;
