station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VIS;18.12.1979 00:00;;0;
VIS;19.12.1979 00:00;;0;5
VIS;20.12.1979 00:00;;4;4
VIS;21.12.1979 00:00;;0;8
VIS;22.12.1979 00:00;;0;8
VIS;23.12.1979 00:00;;7;4
VIS;24.12.1979 00:00;;0;8
VIS;25.12.1979 00:00;;0;2
VIS;26.12.1979 00:00;;0;2
VIS;27.12.1979 00:00;;0;2
VIS;28.12.1979 00:00;;0;2
VIS;29.12.1979 00:00;;0;2
VIS;30.12.1979 00:00;;6;2
VIS;31.12.1979 00:00;;1;7
VIS;01.01.1980 00:00;0;0;6
VIS;02.01.1980 00:00;0;0;6
VIS;03.01.1980 00:00;5;12;5
VIS;04.01.1980 00:00;8.4;18;17
VIS;05.01.1980 00:00;1.2;1;31
VIS;06.01.1980 00:00;0.5;0;28
VIS;07.01.1980 00:00;0.4;0;22
VIS;08.01.1980 00:00;0;0;16
VIS;09.01.1980 00:00;0;0;16
VIS;10.01.1980 00:00;0.6;1;16
VIS;11.01.1980 00:00;0.5;1;17
VIS;12.01.1980 00:00;0;0;18
VIS;13.01.1980 00:00;0;0;18
VIS;14.01.1980 00:00;0;0;18
VIS;15.01.1980 00:00;1;1;16
VIS;16.01.1980 00:00;0.2;0;6
VIS;17.01.1980 00:00;0;0;6
VIS;18.01.1980 00:00;0;0;6
VIS;19.01.1980 00:00;0;0;4
VIS;20.01.1980 00:00;0;0;4
VIS;21.01.1980 00:00;0;0;4
VIS;22.01.1980 00:00;4.8;6;4
VIS;23.01.1980 00:00;20;14;9
VIS;24.01.1980 00:00;16.3;0;22
VIS;25.01.1980 00:00;1;0;15
VIS;26.01.1980 00:00;0;0;13
VIS;27.01.1980 00:00;0;0;12
VIS;28.01.1980 00:00;0;0;12
VIS;29.01.1980 00:00;0;0;12
VIS;30.01.1980 00:00;0;0;12
VIS;31.01.1980 00:00;2.2;0;12
VIS;01.02.1980 00:00;1.1;0;4
VIS;02.02.1980 00:00;13.2;12;3
VIS;03.02.1980 00:00;42.5;22;14
VIS;04.02.1980 00:00;40.6;0;28
VIS;05.02.1980 00:00;6.4;0;15
VIS;06.02.1980 00:00;0.8;0;6
VIS;07.02.1980 00:00;0.5;0;4
VIS;08.02.1980 00:00;0;0;3
VIS;09.02.1980 00:00;0;0;1
VIS;10.02.1980 00:00;0.1;0;1
VIS;11.02.1980 00:00;0;0;0
VIS;12.02.1980 00:00;0;0;0
VIS;13.02.1980 00:00;0;0;0
VIS;14.02.1980 00:00;0;0;0
VIS;15.02.1980 00:00;0;0;0
VIS;16.02.1980 00:00;5.5;0;0
VIS;17.02.1980 00:00;0.5;0;0
VIS;18.02.1980 00:00;0;0;0
