station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VRI;01.01.1901 00:00;9;;
VRI;02.01.1901 00:00;2;;
VRI;03.01.1901 00:00;0;;
VRI;04.01.1901 00:00;0;;
VRI;05.01.1901 00:00;0;;
VRI;06.01.1901 00:00;0;;
VRI;07.01.1901 00:00;0;;
VRI;08.01.1901 00:00;0;;
VRI;09.01.1901 00:00;0;;
VRI;10.01.1901 00:00;0;;
VRI;11.01.1901 00:00;0;;
VRI;12.01.1901 00:00;0;;
VRI;13.01.1901 00:00;0;;
VRI;14.01.1901 00:00;0;;
VRI;15.01.1901 00:00;0;;
VRI;16.01.1901 00:00;0;;
VRI;17.01.1901 00:00;0;;
VRI;18.01.1901 00:00;0;;
VRI;19.01.1901 00:00;0;;
VRI;20.01.1901 00:00;0;;
VRI;21.01.1901 00:00;14;;
VRI;22.01.1901 00:00;0;;
VRI;23.01.1901 00:00;0;;
VRI;24.01.1901 00:00;0;;
VRI;25.01.1901 00:00;0;;
VRI;26.01.1901 00:00;3;;
VRI;27.01.1901 00:00;7;;
VRI;28.01.1901 00:00;1;;
VRI;29.01.1901 00:00;0;;
VRI;30.01.1901 00:00;0;;
VRI;31.01.1901 00:00;0;;
VRI;01.02.1901 00:00;6;;
VRI;02.02.1901 00:00;2;;
VRI;03.02.1901 00:00;0;;
VRI;04.02.1901 00:00;0;;
VRI;05.02.1901 00:00;7.8;;
VRI;06.02.1901 00:00;0;;
VRI;07.02.1901 00:00;4;;
VRI;08.02.1901 00:00;0;;
VRI;09.02.1901 00:00;0;;
VRI;10.02.1901 00:00;0;;
VRI;11.02.1901 00:00;3;;
VRI;12.02.1901 00:00;1;;
VRI;13.02.1901 00:00;2.2;;
VRI;14.02.1901 00:00;0;;
VRI;15.02.1901 00:00;0;;
VRI;16.02.1901 00:00;3;;
VRI;17.02.1901 00:00;2;;
VRI;18.02.1901 00:00;5;;
VRI;19.02.1901 00:00;0;;
VRI;20.02.1901 00:00;0;;
VRI;21.02.1901 00:00;0;;
VRI;22.02.1901 00:00;0;;
VRI;23.02.1901 00:00;0;;
VRI;24.02.1901 00:00;0;;
VRI;25.02.1901 00:00;0;;
VRI;26.02.1901 00:00;0;;
VRI;27.02.1901 00:00;0;;
VRI;28.02.1901 00:00;0;;
VRI;01.03.1901 00:00;0;;
VRI;02.03.1901 00:00;3.2;;
VRI;03.03.1901 00:00;6;;
VRI;04.03.1901 00:00;16;;
VRI;05.03.1901 00:00;4.2;;
VRI;06.03.1901 00:00;0;;
VRI;07.03.1901 00:00;0;;
VRI;08.03.1901 00:00;0;;
VRI;09.03.1901 00:00;0;;
VRI;10.03.1901 00:00;30.1;;
VRI;11.03.1901 00:00;10;;
VRI;12.03.1901 00:00;7;;
VRI;13.03.1901 00:00;0;;
VRI;14.03.1901 00:00;3.4;;
VRI;15.03.1901 00:00;10;;
VRI;16.03.1901 00:00;0;;
VRI;17.03.1901 00:00;0;;
