station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VVI;01.01.1961 00:00;2;;
VVI;02.01.1961 00:00;14;;
VVI;03.01.1961 00:00;11.5;;
VVI;04.01.1961 00:00;4.7;;
VVI;05.01.1961 00:00;0.3;;
VVI;06.01.1961 00:00;3.6;15;
VVI;07.01.1961 00:00;0.5;;
VVI;08.01.1961 00:00;5.8;;
VVI;09.01.1961 00:00;2.8;;
VVI;10.01.1961 00:00;8;20;
VVI;11.01.1961 00:00;0.3;;
VVI;12.01.1961 00:00;0;0;
VVI;13.01.1961 00:00;0;0;
VVI;14.01.1961 00:00;0;0;
VVI;15.01.1961 00:00;0;0;
VVI;16.01.1961 00:00;0;0;
VVI;17.01.1961 00:00;0;0;
VVI;18.01.1961 00:00;0;0;
VVI;19.01.1961 00:00;0;0;
VVI;20.01.1961 00:00;0.3;;
VVI;21.01.1961 00:00;0;0;
VVI;22.01.1961 00:00;3.3;3;
VVI;23.01.1961 00:00;5.3;;
VVI;24.01.1961 00:00;3.9;;
VVI;25.01.1961 00:00;2.9;;
VVI;26.01.1961 00:00;0.4;;
VVI;27.01.1961 00:00;0;0;
VVI;28.01.1961 00:00;10.9;;
VVI;29.01.1961 00:00;0;0;
VVI;30.01.1961 00:00;6.7;;
VVI;31.01.1961 00:00;15.1;;
VVI;01.02.1961 00:00;8.4;8;
VVI;02.02.1961 00:00;28.8;;
VVI;03.02.1961 00:00;17.3;13;
VVI;04.02.1961 00:00;14.7;;
VVI;05.02.1961 00:00;3.1;;
VVI;06.02.1961 00:00;5.5;;
VVI;07.02.1961 00:00;3.7;;
VVI;08.02.1961 00:00;0.1;;
VVI;09.02.1961 00:00;4.9;;
VVI;10.02.1961 00:00;0;0;
VVI;11.02.1961 00:00;7.8;;
VVI;12.02.1961 00:00;11.8;;
VVI;13.02.1961 00:00;0;0;
VVI;14.02.1961 00:00;0;0;
VVI;15.02.1961 00:00;0;0;
VVI;16.02.1961 00:00;0;0;
VVI;17.02.1961 00:00;0;0;
VVI;18.02.1961 00:00;0;0;
VVI;19.02.1961 00:00;0;0;
VVI;20.02.1961 00:00;0;0;
VVI;21.02.1961 00:00;0;0;
VVI;22.02.1961 00:00;0;0;
VVI;23.02.1961 00:00;1.9;;
VVI;24.02.1961 00:00;0;0;
VVI;25.02.1961 00:00;2.6;;
VVI;26.02.1961 00:00;0.4;;
VVI;27.02.1961 00:00;0;0;
VVI;28.02.1961 00:00;16.8;;
VVI;01.03.1961 00:00;4.9;;
VVI;02.03.1961 00:00;0.5;;
VVI;03.03.1961 00:00;0;0;
VVI;04.03.1961 00:00;0;0;
VVI;05.03.1961 00:00;0;0;
VVI;06.03.1961 00:00;0;0;
VVI;07.03.1961 00:00;0;0;
VVI;08.03.1961 00:00;0;0;
VVI;09.03.1961 00:00;0;0;
VVI;10.03.1961 00:00;0.1;;
VVI;11.03.1961 00:00;0;0;
VVI;12.03.1961 00:00;0;0;
VVI;13.03.1961 00:00;0;0;
VVI;14.03.1961 00:00;0;0;
VVI;15.03.1961 00:00;0;0;
VVI;16.03.1961 00:00;0;0;
VVI;17.03.1961 00:00;0;0;
VVI;18.03.1961 00:00;9.9;;
VVI;19.03.1961 00:00;1.6;;
VVI;20.03.1961 00:00;0;0;
VVI;21.03.1961 00:00;2.1;;
VVI;22.03.1961 00:00;0;0;
VVI;23.03.1961 00:00;0;0;
VVI;24.03.1961 00:00;0;0;
VVI;25.03.1961 00:00;0;0;
VVI;26.03.1961 00:00;0;0;
VVI;27.03.1961 00:00;0;0;
VVI;28.03.1961 00:00;0;0;
VVI;29.03.1961 00:00;0;0;
VVI;30.03.1961 00:00;7.9;;
VVI;31.03.1961 00:00;0.9;;
VVI;01.04.1961 00:00;2.2;;
VVI;02.04.1961 00:00;0;0;
VVI;03.04.1961 00:00;0;0;
VVI;04.04.1961 00:00;0;0;
VVI;05.04.1961 00:00;0;0;
VVI;06.04.1961 00:00;0;0;
VVI;07.04.1961 00:00;1.1;;
VVI;08.04.1961 00:00;0;0;
VVI;09.04.1961 00:00;0;0;
VVI;10.04.1961 00:00;1.9;;
VVI;11.04.1961 00:00;1.2;;
VVI;12.04.1961 00:00;0;0;
VVI;13.04.1961 00:00;0;0;
VVI;14.04.1961 00:00;15.1;;
VVI;15.04.1961 00:00;2.1;;
VVI;16.04.1961 00:00;9.8;;
VVI;17.04.1961 00:00;5.6;;
VVI;18.04.1961 00:00;0.6;;
VVI;19.04.1961 00:00;0.5;;
VVI;20.04.1961 00:00;3;;
VVI;21.04.1961 00:00;11.7;;
VVI;22.04.1961 00:00;17;;
VVI;23.04.1961 00:00;4;;
VVI;24.04.1961 00:00;2.8;;
VVI;25.04.1961 00:00;2;;
VVI;26.04.1961 00:00;15.7;;
VVI;27.04.1961 00:00;0.9;;
VVI;28.04.1961 00:00;4.1;;
VVI;29.04.1961 00:00;1;;
VVI;30.04.1961 00:00;1.5;;
VVI;01.05.1961 00:00;2.1;;
VVI;02.05.1961 00:00;1.4;;
VVI;03.05.1961 00:00;6;;
VVI;04.05.1961 00:00;0;0;
VVI;05.05.1961 00:00;4.9;;
VVI;06.05.1961 00:00;12.3;;
VVI;07.05.1961 00:00;0.3;;
VVI;08.05.1961 00:00;0;0;
VVI;09.05.1961 00:00;3.5;;
VVI;10.05.1961 00:00;0.6;;
VVI;11.05.1961 00:00;0.8;;
VVI;12.05.1961 00:00;0;0;
VVI;13.05.1961 00:00;0;0;
VVI;14.05.1961 00:00;0;0;
VVI;15.05.1961 00:00;4.6;;
VVI;16.05.1961 00:00;0;0;
VVI;17.05.1961 00:00;0;0;
VVI;18.05.1961 00:00;0.9;;
VVI;19.05.1961 00:00;0;0;
VVI;20.05.1961 00:00;3.1;;
VVI;21.05.1961 00:00;1.7;;
VVI;22.05.1961 00:00;0;0;
VVI;23.05.1961 00:00;3.3;;
VVI;24.05.1961 00:00;0;0;
VVI;25.05.1961 00:00;3.6;;
VVI;26.05.1961 00:00;4.1;;
VVI;27.05.1961 00:00;0.4;;
VVI;28.05.1961 00:00;6.2;;
VVI;29.05.1961 00:00;0.4;;
VVI;30.05.1961 00:00;0;0;
VVI;31.05.1961 00:00;1.1;;
VVI;01.06.1961 00:00;31.6;;
VVI;02.06.1961 00:00;1.6;;
VVI;03.06.1961 00:00;0.3;;
VVI;04.06.1961 00:00;0;;
VVI;05.06.1961 00:00;0.3;;
VVI;06.06.1961 00:00;0.6;;
VVI;07.06.1961 00:00;3.1;;
VVI;08.06.1961 00:00;0.1;;
VVI;09.06.1961 00:00;8.1;;
VVI;10.06.1961 00:00;0;;
VVI;11.06.1961 00:00;1.5;;
VVI;12.06.1961 00:00;0.5;;
VVI;13.06.1961 00:00;1.5;;
VVI;14.06.1961 00:00;0;;
VVI;15.06.1961 00:00;0;;
VVI;16.06.1961 00:00;0;;
VVI;17.06.1961 00:00;0;;
VVI;18.06.1961 00:00;0;;
VVI;19.06.1961 00:00;0;;
VVI;20.06.1961 00:00;0;;
VVI;21.06.1961 00:00;0;;
VVI;22.06.1961 00:00;15.1;;
VVI;23.06.1961 00:00;0;;
VVI;24.06.1961 00:00;0;;
VVI;25.06.1961 00:00;0;;
VVI;26.06.1961 00:00;22.9;;
VVI;27.06.1961 00:00;15.5;;
VVI;28.06.1961 00:00;0;;
VVI;29.06.1961 00:00;0;;
VVI;30.06.1961 00:00;0;;
VVI;01.07.1961 00:00;0;;
VVI;02.07.1961 00:00;0.2;;
VVI;03.07.1961 00:00;2.6;;
VVI;04.07.1961 00:00;0;;
VVI;05.07.1961 00:00;0;;
VVI;06.07.1961 00:00;0;;
VVI;07.07.1961 00:00;0;;
VVI;08.07.1961 00:00;0;;
VVI;09.07.1961 00:00;0;;
VVI;10.07.1961 00:00;0;;
VVI;11.07.1961 00:00;5;;
VVI;12.07.1961 00:00;5.5;;
VVI;13.07.1961 00:00;16.2;;
VVI;14.07.1961 00:00;22.2;;
VVI;15.07.1961 00:00;3.4;;
VVI;16.07.1961 00:00;14.4;;
VVI;17.07.1961 00:00;7.6;;
VVI;18.07.1961 00:00;7.2;;
VVI;19.07.1961 00:00;15.8;;
VVI;20.07.1961 00:00;0;;
VVI;21.07.1961 00:00;0;;
VVI;22.07.1961 00:00;0;;
VVI;23.07.1961 00:00;0;;
VVI;24.07.1961 00:00;1.5;;
VVI;25.07.1961 00:00;0;;
VVI;26.07.1961 00:00;0;;
VVI;27.07.1961 00:00;0.8;;
VVI;28.07.1961 00:00;23.6;;
VVI;29.07.1961 00:00;0;;
VVI;30.07.1961 00:00;0;;
VVI;31.07.1961 00:00;0;;
VVI;01.08.1961 00:00;4.3;;
VVI;02.08.1961 00:00;1.6;;
VVI;03.08.1961 00:00;0;;
VVI;04.08.1961 00:00;0;;
VVI;05.08.1961 00:00;0;;
VVI;06.08.1961 00:00;0;;
VVI;07.08.1961 00:00;27.5;;
VVI;08.08.1961 00:00;19.2;;
VVI;09.08.1961 00:00;6.2;;
VVI;10.08.1961 00:00;14.7;;
VVI;11.08.1961 00:00;8.7;;
VVI;12.08.1961 00:00;8.3;;
VVI;13.08.1961 00:00;0;;
VVI;14.08.1961 00:00;0;;
VVI;15.08.1961 00:00;6.3;;
VVI;16.08.1961 00:00;4;;
VVI;17.08.1961 00:00;8.2;;
VVI;18.08.1961 00:00;0;;
VVI;19.08.1961 00:00;1.3;;
VVI;20.08.1961 00:00;0;;
VVI;21.08.1961 00:00;0;;
VVI;22.08.1961 00:00;0;;
VVI;23.08.1961 00:00;0;;
VVI;24.08.1961 00:00;0;;
VVI;25.08.1961 00:00;0;;
VVI;26.08.1961 00:00;0;;
VVI;27.08.1961 00:00;0;;
VVI;28.08.1961 00:00;0;;
VVI;29.08.1961 00:00;0;;
VVI;30.08.1961 00:00;0;;
VVI;31.08.1961 00:00;0;;
VVI;01.09.1961 00:00;0;;
VVI;02.09.1961 00:00;0;;
VVI;03.09.1961 00:00;0;;
VVI;04.09.1961 00:00;11.6;;
VVI;05.09.1961 00:00;3.1;;
VVI;06.09.1961 00:00;2.1;;
VVI;07.09.1961 00:00;0;;
VVI;08.09.1961 00:00;0;;
VVI;09.09.1961 00:00;0;;
VVI;10.09.1961 00:00;0;;
VVI;11.09.1961 00:00;0;;
VVI;12.09.1961 00:00;0;;
VVI;13.09.1961 00:00;0;;
VVI;14.09.1961 00:00;9.6;;
VVI;15.09.1961 00:00;0;;
VVI;16.09.1961 00:00;0;;
VVI;17.09.1961 00:00;0;;
VVI;18.09.1961 00:00;0;;
VVI;19.09.1961 00:00;0;;
VVI;20.09.1961 00:00;0;;
VVI;21.09.1961 00:00;0;;
VVI;22.09.1961 00:00;0;;
VVI;23.09.1961 00:00;0;;
VVI;24.09.1961 00:00;2.9;;
VVI;25.09.1961 00:00;0;;
VVI;26.09.1961 00:00;0;;
VVI;27.09.1961 00:00;0;;
VVI;28.09.1961 00:00;0;;
VVI;29.09.1961 00:00;1.6;;
VVI;30.09.1961 00:00;1.9;;
VVI;01.10.1961 00:00;1.9;;
VVI;02.10.1961 00:00;0;;
VVI;03.10.1961 00:00;0;;
VVI;04.10.1961 00:00;1.5;;
VVI;05.10.1961 00:00;0;;
VVI;06.10.1961 00:00;5;;
VVI;07.10.1961 00:00;4;;
VVI;08.10.1961 00:00;0;;
VVI;09.10.1961 00:00;0;;
VVI;10.10.1961 00:00;0;;
VVI;11.10.1961 00:00;0;;
VVI;12.10.1961 00:00;0;;
VVI;13.10.1961 00:00;0;;
VVI;14.10.1961 00:00;0;;
VVI;15.10.1961 00:00;0;;
VVI;16.10.1961 00:00;1.1;;
VVI;17.10.1961 00:00;39.9;;
VVI;18.10.1961 00:00;3.5;;
VVI;19.10.1961 00:00;10.3;;
VVI;20.10.1961 00:00;0;;
VVI;21.10.1961 00:00;0;;
VVI;22.10.1961 00:00;1.1;;
VVI;23.10.1961 00:00;0.2;;
VVI;24.10.1961 00:00;0.7;;
VVI;25.10.1961 00:00;8.4;;
VVI;26.10.1961 00:00;0.8;;
VVI;27.10.1961 00:00;23.9;;
VVI;28.10.1961 00:00;0.7;;
VVI;29.10.1961 00:00;0;;
VVI;30.10.1961 00:00;0;;
VVI;31.10.1961 00:00;0;;
VVI;01.11.1961 00:00;0;0;
VVI;02.11.1961 00:00;0;0;0
VVI;03.11.1961 00:00;3.2;;0
VVI;04.11.1961 00:00;8.5;;0
VVI;05.11.1961 00:00;0;0;8
VVI;06.11.1961 00:00;0;0;14
VVI;07.11.1961 00:00;0;0;9
VVI;08.11.1961 00:00;15.3;;0
VVI;09.11.1961 00:00;28.2;;0
VVI;10.11.1961 00:00;3.8;;0
VVI;11.11.1961 00:00;0;0;0
VVI;12.11.1961 00:00;1.8;;0
VVI;13.11.1961 00:00;0;0;0
VVI;14.11.1961 00:00;0;0;0
VVI;15.11.1961 00:00;0;0;0
VVI;16.11.1961 00:00;0;0;0
VVI;17.11.1961 00:00;0;0;0
VVI;18.11.1961 00:00;0;0;0
VVI;19.11.1961 00:00;0;0;0
VVI;20.11.1961 00:00;0;0;0
VVI;21.11.1961 00:00;0;0;0
VVI;22.11.1961 00:00;0;0;0
VVI;23.11.1961 00:00;0;0;0
VVI;24.11.1961 00:00;0.1;;0
VVI;25.11.1961 00:00;3.1;;0
VVI;26.11.1961 00:00;5.8;;0
VVI;27.11.1961 00:00;0;0;0
VVI;28.11.1961 00:00;0;0;0
VVI;29.11.1961 00:00;0;0;0
VVI;30.11.1961 00:00;0;0;0
VVI;01.12.1961 00:00;6.2;;0
VVI;02.12.1961 00:00;7.4;;0
VVI;03.12.1961 00:00;17.2;;0
VVI;04.12.1961 00:00;7.5;;0
VVI;05.12.1961 00:00;15.7;;0
VVI;06.12.1961 00:00;0.1;;0
VVI;07.12.1961 00:00;0;0;0
VVI;08.12.1961 00:00;2.9;;0
VVI;09.12.1961 00:00;9.1;;0
VVI;10.12.1961 00:00;17.2;;0
VVI;11.12.1961 00:00;25.1;;0
VVI;12.12.1961 00:00;0.3;;0
VVI;13.12.1961 00:00;2.6;;0
VVI;14.12.1961 00:00;0.8;;0
VVI;15.12.1961 00:00;0;0;0
VVI;16.12.1961 00:00;0;;0
VVI;17.12.1961 00:00;0;0;0
VVI;18.12.1961 00:00;0;0;0
VVI;19.12.1961 00:00;0.2;;0
VVI;20.12.1961 00:00;0;0;0
VVI;21.12.1961 00:00;0;0;0
VVI;22.12.1961 00:00;0;0;0
VVI;23.12.1961 00:00;0;0;0
VVI;24.12.1961 00:00;6.4;;0
VVI;25.12.1961 00:00;3.9;;15
VVI;26.12.1961 00:00;31.6;;26
VVI;27.12.1961 00:00;0;0;40
VVI;28.12.1961 00:00;0;0;46
VVI;29.12.1961 00:00;0;0;41
VVI;30.12.1961 00:00;0;0;39
VVI;31.12.1961 00:00;14.3;;37
VVI;01.01.1962 00:00;43.9;;36
VVI;02.01.1962 00:00;3.3;10;40
VVI;03.01.1962 00:00;0.3;;53
VVI;04.01.1962 00:00;0;0;58
VVI;05.01.1962 00:00;0;0;53
VVI;06.01.1962 00:00;0;0;49
VVI;07.01.1962 00:00;0;0;47
VVI;08.01.1962 00:00;0;0;45
VVI;09.01.1962 00:00;2.2;;41
VVI;10.01.1962 00:00;13;;39
VVI;11.01.1962 00:00;15.4;;36
VVI;12.01.1962 00:00;47.7;;33
VVI;13.01.1962 00:00;15.3;;30
VVI;14.01.1962 00:00;0;0;26
VVI;15.01.1962 00:00;0;0;26
VVI;16.01.1962 00:00;0;0;25
VVI;17.01.1962 00:00;0;0;24
VVI;18.01.1962 00:00;6.4;;23
VVI;19.01.1962 00:00;0;0;22
VVI;20.01.1962 00:00;0;0;20
VVI;21.01.1962 00:00;0;0;19
VVI;22.01.1962 00:00;8.1;;18
VVI;23.01.1962 00:00;0.8;;17
VVI;24.01.1962 00:00;6.6;;24
VVI;25.01.1962 00:00;22.5;;21
VVI;26.01.1962 00:00;0.5;;16
VVI;27.01.1962 00:00;4.2;;19
VVI;28.01.1962 00:00;0;0;16
VVI;29.01.1962 00:00;0;0;13
VVI;30.01.1962 00:00;0.1;;13
VVI;31.01.1962 00:00;0;0;12
VVI;01.02.1962 00:00;4.1;5;12
VVI;02.02.1962 00:00;0.8;2;11
VVI;03.02.1962 00:00;0;0;17
VVI;04.02.1962 00:00;2.1;;19
VVI;05.02.1962 00:00;9.3;;17
VVI;06.02.1962 00:00;0;0;12
VVI;07.02.1962 00:00;4.4;;6
VVI;08.02.1962 00:00;0;0;5
VVI;09.02.1962 00:00;0;0;5
VVI;10.02.1962 00:00;0;0;3
VVI;11.02.1962 00:00;0;0;2
VVI;12.02.1962 00:00;9;;2
VVI;13.02.1962 00:00;45.1;;0
VVI;14.02.1962 00:00;15.9;;0
VVI;15.02.1962 00:00;1.9;;28
VVI;16.02.1962 00:00;4.6;;50
VVI;17.02.1962 00:00;2.1;;53
VVI;18.02.1962 00:00;0;0;44
VVI;19.02.1962 00:00;0;0;44
VVI;20.02.1962 00:00;0;0;43
VVI;21.02.1962 00:00;0;0;41
VVI;22.02.1962 00:00;0;0;39
VVI;23.02.1962 00:00;0.4;;37
VVI;24.02.1962 00:00;1.1;;35
VVI;25.02.1962 00:00;2.3;;35
VVI;26.02.1962 00:00;2;;36
VVI;27.02.1962 00:00;4;;36
VVI;28.02.1962 00:00;7.4;;37
VVI;01.03.1962 00:00;0.1;;33
VVI;02.03.1962 00:00;0;0;38
VVI;03.03.1962 00:00;14.9;12;37
VVI;04.03.1962 00:00;41.6;;37
VVI;05.03.1962 00:00;5.9;;35
VVI;06.03.1962 00:00;0.4;;30
VVI;07.03.1962 00:00;1.1;;33
VVI;08.03.1962 00:00;4.8;;36
VVI;09.03.1962 00:00;0;0;36
VVI;10.03.1962 00:00;5.4;;35
VVI;11.03.1962 00:00;1.9;;28
VVI;12.03.1962 00:00;0.4;;24
VVI;13.03.1962 00:00;0.2;;23
VVI;14.03.1962 00:00;0;0;23
VVI;15.03.1962 00:00;0;0;26
VVI;16.03.1962 00:00;0.1;;28
VVI;17.03.1962 00:00;0;0;29
VVI;18.03.1962 00:00;0;0;30
VVI;19.03.1962 00:00;0;0;31
VVI;20.03.1962 00:00;0;0;32
VVI;21.03.1962 00:00;0;0;30
VVI;22.03.1962 00:00;0;0;31
VVI;23.03.1962 00:00;0;0;29
VVI;24.03.1962 00:00;0;0;29
VVI;25.03.1962 00:00;0;0;28
VVI;26.03.1962 00:00;11.6;;29
VVI;27.03.1962 00:00;5;;29
VVI;28.03.1962 00:00;7.7;;43
VVI;29.03.1962 00:00;21.5;;38
VVI;30.03.1962 00:00;31.7;;33
VVI;31.03.1962 00:00;15.4;;31
VVI;01.04.1962 00:00;1.7;;31
VVI;02.04.1962 00:00;0;0;34
VVI;03.04.1962 00:00;18.9;;39
VVI;04.04.1962 00:00;14.7;;33
VVI;05.04.1962 00:00;19.5;40;35
VVI;06.04.1962 00:00;2.6;;40
VVI;07.04.1962 00:00;0;0;59
VVI;08.04.1962 00:00;5.9;;62
VVI;09.04.1962 00:00;4.6;;44
VVI;10.04.1962 00:00;0;0;34
VVI;11.04.1962 00:00;0;0;40
VVI;12.04.1962 00:00;0.9;;23
VVI;13.04.1962 00:00;1.1;;12
VVI;14.04.1962 00:00;5.5;;6
VVI;15.04.1962 00:00;0.1;;2
VVI;16.04.1962 00:00;2.9;;0
VVI;17.04.1962 00:00;2.9;;0
VVI;18.04.1962 00:00;0;0;0
VVI;19.04.1962 00:00;0;0;0
VVI;20.04.1962 00:00;1;;0
VVI;21.04.1962 00:00;0;0;0
VVI;22.04.1962 00:00;1.5;;0
VVI;23.04.1962 00:00;0;0;0
VVI;24.04.1962 00:00;0;0;0
VVI;25.04.1962 00:00;0;0;0
VVI;26.04.1962 00:00;1.9;;0
VVI;27.04.1962 00:00;0;0;0
VVI;28.04.1962 00:00;0;0;0
VVI;29.04.1962 00:00;0;0;0
VVI;30.04.1962 00:00;0;0;0
VVI;01.05.1962 00:00;0;0;0
VVI;02.05.1962 00:00;0;0;
VVI;03.05.1962 00:00;3.2;;
VVI;04.05.1962 00:00;6;;
VVI;05.05.1962 00:00;4.2;;
VVI;06.05.1962 00:00;0;0;
VVI;07.05.1962 00:00;0;0;
VVI;08.05.1962 00:00;0;0;
VVI;09.05.1962 00:00;7.4;;
VVI;10.05.1962 00:00;8.6;;
VVI;11.05.1962 00:00;1.2;;
VVI;12.05.1962 00:00;2.9;;
VVI;13.05.1962 00:00;14.6;;
VVI;14.05.1962 00:00;3;;
VVI;15.05.1962 00:00;11.6;;
