station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WAN;01.01.1993 00:00;0;;
WAN;02.01.1993 00:00;0;;
WAN;03.01.1993 00:00;0;;
WAN;04.01.1993 00:00;0;;
WAN;05.01.1993 00:00;0;;
WAN;06.01.1993 00:00;0.4;;
WAN;07.01.1993 00:00;0.5;;
WAN;08.01.1993 00:00;1.2;;
WAN;09.01.1993 00:00;0;;
WAN;10.01.1993 00:00;0;;
WAN;11.01.1993 00:00;0.3;;
WAN;12.01.1993 00:00;0;;
WAN;13.01.1993 00:00;1.7;;
WAN;14.01.1993 00:00;3.7;;
WAN;15.01.1993 00:00;0;;
WAN;16.01.1993 00:00;0;;
WAN;17.01.1993 00:00;0;;
WAN;18.01.1993 00:00;0;;
WAN;19.01.1993 00:00;0;;
WAN;20.01.1993 00:00;0;;
WAN;21.01.1993 00:00;0;;
WAN;22.01.1993 00:00;0.5;;
WAN;23.01.1993 00:00;0;;
WAN;24.01.1993 00:00;12.6;;
WAN;25.01.1993 00:00;2.5;;
WAN;26.01.1993 00:00;1.8;;
WAN;27.01.1993 00:00;14.4;;
WAN;28.01.1993 00:00;1.9;;
WAN;29.01.1993 00:00;0;;
WAN;30.01.1993 00:00;0;;
WAN;31.01.1993 00:00;0;;
WAN;01.02.1993 00:00;0;;
WAN;02.02.1993 00:00;0;;
WAN;03.02.1993 00:00;0;;
WAN;04.02.1993 00:00;0;;
WAN;05.02.1993 00:00;0;;
WAN;06.02.1993 00:00;0;;
WAN;07.02.1993 00:00;0;;
WAN;08.02.1993 00:00;0;;
WAN;09.02.1993 00:00;0;;
WAN;10.02.1993 00:00;0;;
WAN;11.02.1993 00:00;0;;
WAN;12.02.1993 00:00;0;;
WAN;13.02.1993 00:00;0;;
WAN;14.02.1993 00:00;0;;
WAN;15.02.1993 00:00;0;;
WAN;16.02.1993 00:00;0;;
WAN;17.02.1993 00:00;3.2;;
WAN;18.02.1993 00:00;0;;
WAN;19.02.1993 00:00;2.1;;
WAN;20.02.1993 00:00;2.7;;
WAN;21.02.1993 00:00;8.6;;
WAN;22.02.1993 00:00;0;;
WAN;23.02.1993 00:00;0;;
WAN;24.02.1993 00:00;0.8;;
WAN;25.02.1993 00:00;0;;
WAN;26.02.1993 00:00;0;;
WAN;27.02.1993 00:00;0;;
WAN;28.02.1993 00:00;0;;
WAN;01.03.1993 00:00;0;;
WAN;02.03.1993 00:00;0.2;;
WAN;03.03.1993 00:00;0.5;;
WAN;04.03.1993 00:00;0;;
WAN;05.03.1993 00:00;0;;
WAN;06.03.1993 00:00;0;;
WAN;07.03.1993 00:00;0;;
WAN;08.03.1993 00:00;0;;
WAN;09.03.1993 00:00;0;;
WAN;10.03.1993 00:00;0;;
WAN;11.03.1993 00:00;0;;
WAN;12.03.1993 00:00;0;;
WAN;13.03.1993 00:00;0;;
WAN;14.03.1993 00:00;0;;
WAN;15.03.1993 00:00;0;;
WAN;16.03.1993 00:00;0;;
WAN;17.03.1993 00:00;0;;
WAN;18.03.1993 00:00;0;;
WAN;19.03.1993 00:00;0;;
WAN;20.03.1993 00:00;0;;
WAN;21.03.1993 00:00;5.2;;
WAN;22.03.1993 00:00;3.9;;
WAN;23.03.1993 00:00;0.2;;
WAN;24.03.1993 00:00;5.4;;
WAN;25.03.1993 00:00;0.8;;
WAN;26.03.1993 00:00;0;;
WAN;27.03.1993 00:00;0;;
WAN;28.03.1993 00:00;0;;
WAN;29.03.1993 00:00;0;;
WAN;30.03.1993 00:00;0;;
WAN;31.03.1993 00:00;0;;
WAN;01.04.1993 00:00;0.2;;
WAN;02.04.1993 00:00;3.3;;
WAN;03.04.1993 00:00;0.3;;
WAN;04.04.1993 00:00;3.4;;
WAN;05.04.1993 00:00;10.5;;
WAN;06.04.1993 00:00;12.1;;
WAN;07.04.1993 00:00;2.8;;
WAN;08.04.1993 00:00;0;;
WAN;09.04.1993 00:00;0.7;;
WAN;10.04.1993 00:00;8;;
WAN;11.04.1993 00:00;4.3;;
WAN;12.04.1993 00:00;4.1;;
WAN;13.04.1993 00:00;0.6;;
WAN;14.04.1993 00:00;0;;
WAN;15.04.1993 00:00;1.1;;
WAN;16.04.1993 00:00;5.5;;
WAN;17.04.1993 00:00;1.6;;
WAN;18.04.1993 00:00;0;;
WAN;19.04.1993 00:00;0;;
WAN;20.04.1993 00:00;0;;
WAN;21.04.1993 00:00;0;;
WAN;22.04.1993 00:00;3.2;;
WAN;23.04.1993 00:00;0;;
WAN;24.04.1993 00:00;0;;
WAN;25.04.1993 00:00;0;;
WAN;26.04.1993 00:00;0;;
WAN;27.04.1993 00:00;0;;
WAN;28.04.1993 00:00;0;;
WAN;29.04.1993 00:00;0;;
WAN;30.04.1993 00:00;2;;
WAN;01.05.1993 00:00;14.3;;
WAN;02.05.1993 00:00;0.3;;
