station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WBR;01.01.1900 00:00;0;;
WBR;02.01.1900 00:00;1;;
WBR;03.01.1900 00:00;8.1;;
WBR;04.01.1900 00:00;8.8;;
WBR;05.01.1900 00:00;10.4;;
WBR;06.01.1900 00:00;0;;
WBR;07.01.1900 00:00;0;;
WBR;08.01.1900 00:00;2.5;;
WBR;09.01.1900 00:00;4.7;;
WBR;10.01.1900 00:00;1.5;;
WBR;11.01.1900 00:00;2;;
WBR;12.01.1900 00:00;1.1;;
WBR;13.01.1900 00:00;0;;
WBR;14.01.1900 00:00;0;;
WBR;15.01.1900 00:00;0;;
WBR;16.01.1900 00:00;15.1;;
WBR;17.01.1900 00:00;17.9;;
WBR;18.01.1900 00:00;5.2;;
WBR;19.01.1900 00:00;0;;
WBR;20.01.1900 00:00;1.2;;
WBR;21.01.1900 00:00;4;;
WBR;22.01.1900 00:00;2;;
WBR;23.01.1900 00:00;0;;
WBR;24.01.1900 00:00;11.8;;
WBR;25.01.1900 00:00;3.5;;
WBR;26.01.1900 00:00;0;;
WBR;27.01.1900 00:00;4.5;;
WBR;28.01.1900 00:00;1.7;;
WBR;29.01.1900 00:00;7;;
WBR;30.01.1900 00:00;1.3;;
WBR;31.01.1900 00:00;0.1;;
WBR;01.02.1900 00:00;0;;
WBR;02.02.1900 00:00;0;;
WBR;03.02.1900 00:00;0;;
WBR;04.02.1900 00:00;0;;
WBR;05.02.1900 00:00;0;;
WBR;06.02.1900 00:00;8.8;;
WBR;07.02.1900 00:00;0;;
WBR;08.02.1900 00:00;0;;
WBR;09.02.1900 00:00;3;;
WBR;10.02.1900 00:00;2.9;;
WBR;11.02.1900 00:00;2.2;;
WBR;12.02.1900 00:00;35;;
WBR;13.02.1900 00:00;16.2;;
WBR;14.02.1900 00:00;3.6;;
WBR;15.02.1900 00:00;0;;
WBR;16.02.1900 00:00;2.5;;
WBR;17.02.1900 00:00;0.3;;
WBR;18.02.1900 00:00;0;;
WBR;19.02.1900 00:00;0.4;;
WBR;20.02.1900 00:00;5.2;;
WBR;21.02.1900 00:00;0;;
WBR;22.02.1900 00:00;0;;
WBR;23.02.1900 00:00;8.5;;
WBR;24.02.1900 00:00;0;;
WBR;25.02.1900 00:00;5.4;;
WBR;26.02.1900 00:00;15.4;;
WBR;27.02.1900 00:00;0;;
WBR;28.02.1900 00:00;4;;
WBR;01.03.1900 00:00;5.5;;
WBR;02.03.1900 00:00;1.3;;
WBR;03.03.1900 00:00;1.2;;
WBR;04.03.1900 00:00;1.1;;
WBR;05.03.1900 00:00;0;;
WBR;06.03.1900 00:00;0;;
