station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WDO;01.01.1939 00:00;0.7;;
WDO;02.01.1939 00:00;4.5;;
WDO;03.01.1939 00:00;2.5;;
WDO;04.01.1939 00:00;1.1;;
WDO;05.01.1939 00:00;7.4;;
WDO;06.01.1939 00:00;0;;
WDO;07.01.1939 00:00;0;;
WDO;08.01.1939 00:00;0;;
WDO;09.01.1939 00:00;0;;
WDO;10.01.1939 00:00;0;;
WDO;11.01.1939 00:00;0;;
WDO;12.01.1939 00:00;5.8;;
WDO;13.01.1939 00:00;0.1;;
WDO;14.01.1939 00:00;0;;
WDO;15.01.1939 00:00;0;;
WDO;16.01.1939 00:00;9.8;;
WDO;17.01.1939 00:00;1.6;;
WDO;18.01.1939 00:00;18.7;;
WDO;19.01.1939 00:00;0;;
WDO;20.01.1939 00:00;6;;
WDO;21.01.1939 00:00;4.9;;
WDO;22.01.1939 00:00;5.2;;
WDO;23.01.1939 00:00;16.8;;
WDO;24.01.1939 00:00;0.7;;
WDO;25.01.1939 00:00;11.1;;
WDO;26.01.1939 00:00;0.4;;
WDO;27.01.1939 00:00;0;;
WDO;28.01.1939 00:00;0;;
WDO;29.01.1939 00:00;0;;
WDO;30.01.1939 00:00;0;;
WDO;31.01.1939 00:00;0;;
WDO;01.02.1939 00:00;0;;
WDO;02.02.1939 00:00;0;;
WDO;03.02.1939 00:00;0;;
WDO;04.02.1939 00:00;0;;
WDO;05.02.1939 00:00;0;;
WDO;06.02.1939 00:00;0;;
WDO;07.02.1939 00:00;0;;
WDO;08.02.1939 00:00;0;;
WDO;09.02.1939 00:00;0.5;;
WDO;10.02.1939 00:00;0;;
WDO;11.02.1939 00:00;0;;
WDO;12.02.1939 00:00;0;;
WDO;13.02.1939 00:00;4.4;;
WDO;14.02.1939 00:00;0.4;;
WDO;15.02.1939 00:00;0;;
WDO;16.02.1939 00:00;0;;
WDO;17.02.1939 00:00;2.7;;
WDO;18.02.1939 00:00;0.3;;
WDO;19.02.1939 00:00;3.3;;
WDO;20.02.1939 00:00;0.6;;
WDO;21.02.1939 00:00;0;;
WDO;22.02.1939 00:00;0;;
WDO;23.02.1939 00:00;0;;
WDO;24.02.1939 00:00;0;;
WDO;25.02.1939 00:00;0.3;;
WDO;26.02.1939 00:00;10.3;;
WDO;27.02.1939 00:00;0;;
WDO;28.02.1939 00:00;7;;
WDO;01.03.1939 00:00;0.7;;
WDO;02.03.1939 00:00;0;;
WDO;03.03.1939 00:00;0;;
WDO;04.03.1939 00:00;0.2;;
WDO;05.03.1939 00:00;4.6;;
WDO;06.03.1939 00:00;9.6;;
WDO;07.03.1939 00:00;20;;
WDO;08.03.1939 00:00;10.2;;
WDO;09.03.1939 00:00;3.3;;
WDO;10.03.1939 00:00;0.4;;
WDO;11.03.1939 00:00;0.1;;
WDO;12.03.1939 00:00;1.4;;
WDO;13.03.1939 00:00;0.7;;
WDO;14.03.1939 00:00;16.9;;
WDO;15.03.1939 00:00;3.6;;
WDO;16.03.1939 00:00;1.3;;
WDO;17.03.1939 00:00;16;;
WDO;18.03.1939 00:00;3.4;;
WDO;19.03.1939 00:00;0.1;;
WDO;20.03.1939 00:00;2.4;;
WDO;21.03.1939 00:00;4.1;;
WDO;22.03.1939 00:00;8.3;;
WDO;23.03.1939 00:00;2.3;;
WDO;24.03.1939 00:00;0;;
WDO;25.03.1939 00:00;0.1;;
WDO;26.03.1939 00:00;0;;
WDO;27.03.1939 00:00;0;;
WDO;28.03.1939 00:00;0;;
WDO;29.03.1939 00:00;0;;
WDO;30.03.1939 00:00;0;;
WDO;31.03.1939 00:00;0;;
WDO;01.04.1939 00:00;0;;
WDO;02.04.1939 00:00;7.5;;
WDO;03.04.1939 00:00;0;;
WDO;04.04.1939 00:00;11.9;;
WDO;05.04.1939 00:00;14.5;;
WDO;06.04.1939 00:00;3.8;;
WDO;07.04.1939 00:00;0.7;;
WDO;08.04.1939 00:00;0;;
WDO;09.04.1939 00:00;0;;
WDO;10.04.1939 00:00;0;;
WDO;11.04.1939 00:00;0;;
WDO;12.04.1939 00:00;0;;
