station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WEF;01.01.1901 00:00;0;;
WEF;02.01.1901 00:00;0;;
WEF;03.01.1901 00:00;0;;
WEF;04.01.1901 00:00;0;;
WEF;05.01.1901 00:00;0;;
WEF;06.01.1901 00:00;0;;
WEF;07.01.1901 00:00;0;;
WEF;08.01.1901 00:00;0;;
WEF;09.01.1901 00:00;0;;
WEF;10.01.1901 00:00;0;;
WEF;11.01.1901 00:00;2;;
WEF;12.01.1901 00:00;0;;
WEF;13.01.1901 00:00;0;;
WEF;14.01.1901 00:00;0;;
WEF;15.01.1901 00:00;0;;
WEF;16.01.1901 00:00;0;;
WEF;17.01.1901 00:00;0;;
WEF;18.01.1901 00:00;0;;
WEF;19.01.1901 00:00;0;;
WEF;20.01.1901 00:00;3.6;;
WEF;21.01.1901 00:00;0;;
WEF;22.01.1901 00:00;0;;
WEF;23.01.1901 00:00;0;;
WEF;24.01.1901 00:00;0;;
WEF;25.01.1901 00:00;0;;
WEF;26.01.1901 00:00;6.3;;
WEF;27.01.1901 00:00;6.7;;
WEF;28.01.1901 00:00;13.7;;
WEF;29.01.1901 00:00;5.7;;
WEF;30.01.1901 00:00;0;;
WEF;31.01.1901 00:00;0;;
WEF;01.02.1901 00:00;3.2;;
WEF;02.02.1901 00:00;5;;
WEF;03.02.1901 00:00;0;;
WEF;04.02.1901 00:00;0;;
WEF;05.02.1901 00:00;2.1;;
WEF;06.02.1901 00:00;0;;
WEF;07.02.1901 00:00;4.7;;
WEF;08.02.1901 00:00;6.3;;
WEF;09.02.1901 00:00;0;;
WEF;10.02.1901 00:00;0.9;;
WEF;11.02.1901 00:00;3.7;;
WEF;12.02.1901 00:00;0;;
WEF;13.02.1901 00:00;0.5;;
WEF;14.02.1901 00:00;0;;
WEF;15.02.1901 00:00;0;;
WEF;16.02.1901 00:00;5;;
WEF;17.02.1901 00:00;4.3;;
WEF;18.02.1901 00:00;1.2;;
WEF;19.02.1901 00:00;0;;
WEF;20.02.1901 00:00;0;;
WEF;21.02.1901 00:00;0;;
WEF;22.02.1901 00:00;0;;
WEF;23.02.1901 00:00;0;;
WEF;24.02.1901 00:00;0;;
WEF;25.02.1901 00:00;0;;
WEF;26.02.1901 00:00;0;;
WEF;27.02.1901 00:00;0;;
WEF;28.02.1901 00:00;0;;
WEF;01.03.1901 00:00;5;;
WEF;02.03.1901 00:00;7.5;;
WEF;03.03.1901 00:00;6.3;;
WEF;04.03.1901 00:00;3.2;;
WEF;05.03.1901 00:00;2.7;;
WEF;06.03.1901 00:00;0;;
WEF;07.03.1901 00:00;0;;
WEF;08.03.1901 00:00;0;;
WEF;09.03.1901 00:00;0;;
WEF;10.03.1901 00:00;0;;
WEF;11.03.1901 00:00;0;;
WEF;12.03.1901 00:00;2.4;;
WEF;13.03.1901 00:00;0;;
WEF;14.03.1901 00:00;0;;
WEF;15.03.1901 00:00;0;;
WEF;16.03.1901 00:00;0;;
WEF;17.03.1901 00:00;0;;
WEF;18.03.1901 00:00;0;;
WEF;19.03.1901 00:00;0;;
WEF;20.03.1901 00:00;30.9;;
WEF;21.03.1901 00:00;5.9;;
WEF;22.03.1901 00:00;0.3;;
WEF;23.03.1901 00:00;3.3;;
WEF;24.03.1901 00:00;0;;
WEF;25.03.1901 00:00;0;;
WEF;26.03.1901 00:00;7;;
WEF;27.03.1901 00:00;0;;
WEF;28.03.1901 00:00;1.5;;
WEF;29.03.1901 00:00;2;;
WEF;30.03.1901 00:00;0;;
WEF;31.03.1901 00:00;0;;
WEF;01.04.1901 00:00;0;;
WEF;02.04.1901 00:00;0;;
WEF;03.04.1901 00:00;0;;
WEF;04.04.1901 00:00;6.4;;
WEF;05.04.1901 00:00;33.5;;
WEF;06.04.1901 00:00;9.9;;
WEF;07.04.1901 00:00;14.7;;
WEF;08.04.1901 00:00;0.3;;
WEF;09.04.1901 00:00;20.4;;
WEF;10.04.1901 00:00;19;;
WEF;11.04.1901 00:00;1.8;;
WEF;12.04.1901 00:00;11.5;;
WEF;13.04.1901 00:00;1.2;;
WEF;14.04.1901 00:00;2.9;;
WEF;15.04.1901 00:00;7.2;;
WEF;16.04.1901 00:00;7.5;;
WEF;17.04.1901 00:00;4.5;;
WEF;18.04.1901 00:00;0;;
WEF;19.04.1901 00:00;0;;
WEF;20.04.1901 00:00;0;;
WEF;21.04.1901 00:00;0;;
WEF;22.04.1901 00:00;0;;
WEF;23.04.1901 00:00;0;;
WEF;24.04.1901 00:00;0;;
WEF;25.04.1901 00:00;0;;
WEF;26.04.1901 00:00;0;;
WEF;27.04.1901 00:00;0;;
WEF;28.04.1901 00:00;3.4;;
WEF;29.04.1901 00:00;1.5;;
WEF;30.04.1901 00:00;0;;
WEF;01.05.1901 00:00;0;;
WEF;02.05.1901 00:00;0;;
WEF;03.05.1901 00:00;1.4;;
WEF;04.05.1901 00:00;0;;
WEF;05.05.1901 00:00;0;;
WEF;06.05.1901 00:00;0;;
WEF;07.05.1901 00:00;0;;
WEF;08.05.1901 00:00;6.3;;
WEF;09.05.1901 00:00;0;;
WEF;10.05.1901 00:00;4.5;;
WEF;11.05.1901 00:00;2.1;;
WEF;12.05.1901 00:00;0;;
WEF;13.05.1901 00:00;0;;
WEF;14.05.1901 00:00;0;;
WEF;15.05.1901 00:00;0;;
WEF;16.05.1901 00:00;0;;
WEF;17.05.1901 00:00;0;;
WEF;18.05.1901 00:00;0;;
WEF;19.05.1901 00:00;0;;
WEF;20.05.1901 00:00;0;;
WEF;21.05.1901 00:00;0;;
WEF;22.05.1901 00:00;0;;
WEF;23.05.1901 00:00;0;;
WEF;24.05.1901 00:00;0;;
WEF;25.05.1901 00:00;0;;
WEF;26.05.1901 00:00;3.2;;
WEF;27.05.1901 00:00;6.3;;
WEF;28.05.1901 00:00;0;;
WEF;29.05.1901 00:00;0;;
WEF;30.05.1901 00:00;2;;
WEF;31.05.1901 00:00;0;;
WEF;01.06.1901 00:00;0;;
WEF;02.06.1901 00:00;12;;
WEF;03.06.1901 00:00;2.5;;
WEF;04.06.1901 00:00;28.4;;
WEF;05.06.1901 00:00;0;;
WEF;06.06.1901 00:00;0;;
WEF;07.06.1901 00:00;0;;
WEF;08.06.1901 00:00;0;;
WEF;09.06.1901 00:00;0;;
WEF;10.06.1901 00:00;3.3;;
WEF;11.06.1901 00:00;0;;
WEF;12.06.1901 00:00;0;;
WEF;13.06.1901 00:00;1.5;;
WEF;14.06.1901 00:00;18.5;;
WEF;15.06.1901 00:00;51.9;;
WEF;16.06.1901 00:00;4;;
WEF;17.06.1901 00:00;10.9;;
