station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WET;01.01.1901 00:00;0.7;;
WET;02.01.1901 00:00;0;;
WET;03.01.1901 00:00;0;;
WET;04.01.1901 00:00;0;;
WET;05.01.1901 00:00;0;;
WET;06.01.1901 00:00;0;;
WET;07.01.1901 00:00;0;;
WET;08.01.1901 00:00;0;;
WET;09.01.1901 00:00;0;;
WET;10.01.1901 00:00;0;;
WET;11.01.1901 00:00;3.8;;
WET;12.01.1901 00:00;0;;
WET;13.01.1901 00:00;0;;
WET;14.01.1901 00:00;0;;
WET;15.01.1901 00:00;0;;
WET;16.01.1901 00:00;0;;
WET;17.01.1901 00:00;0;;
WET;18.01.1901 00:00;0;;
WET;19.01.1901 00:00;0;;
WET;20.01.1901 00:00;2.6;;
WET;21.01.1901 00:00;14.6;;
WET;22.01.1901 00:00;0;;
WET;23.01.1901 00:00;0;;
WET;24.01.1901 00:00;0;;
WET;25.01.1901 00:00;0.7;;
WET;26.01.1901 00:00;17.5;;
WET;27.01.1901 00:00;18.2;;
WET;28.01.1901 00:00;19.8;;
WET;29.01.1901 00:00;11.9;;
WET;30.01.1901 00:00;0;;
WET;31.01.1901 00:00;0;;
WET;01.02.1901 00:00;0.1;;
WET;02.02.1901 00:00;1.5;;
WET;03.02.1901 00:00;0;;
WET;04.02.1901 00:00;0;;
WET;05.02.1901 00:00;4.1;;
WET;06.02.1901 00:00;2;;
WET;07.02.1901 00:00;4.5;;
WET;08.02.1901 00:00;0.1;;
WET;09.02.1901 00:00;0;;
WET;10.02.1901 00:00;0;;
WET;11.02.1901 00:00;5.8;;
WET;12.02.1901 00:00;0;;
WET;13.02.1901 00:00;4.5;;
WET;14.02.1901 00:00;0.1;;
WET;15.02.1901 00:00;0;;
WET;16.02.1901 00:00;3.1;;
WET;17.02.1901 00:00;6.7;;
WET;18.02.1901 00:00;1.6;;
WET;19.02.1901 00:00;0.3;;
WET;20.02.1901 00:00;0;;
WET;21.02.1901 00:00;0;;
WET;22.02.1901 00:00;0;;
WET;23.02.1901 00:00;0;;
WET;24.02.1901 00:00;0;;
WET;25.02.1901 00:00;0;;
WET;26.02.1901 00:00;0;;
WET;27.02.1901 00:00;0;;
WET;28.02.1901 00:00;0.5;;
WET;01.03.1901 00:00;0.5;;
WET;02.03.1901 00:00;0.8;;
WET;03.03.1901 00:00;16;;
WET;04.03.1901 00:00;10.3;;
WET;05.03.1901 00:00;10.5;;
WET;06.03.1901 00:00;2.7;;
WET;07.03.1901 00:00;0;;
WET;08.03.1901 00:00;0;;
WET;09.03.1901 00:00;0;;
WET;10.03.1901 00:00;13;;
WET;11.03.1901 00:00;3.9;;
WET;12.03.1901 00:00;3.1;;
WET;13.03.1901 00:00;0;;
WET;14.03.1901 00:00;0;;
WET;15.03.1901 00:00;0.1;;
WET;16.03.1901 00:00;0;;
WET;17.03.1901 00:00;0;;
WET;18.03.1901 00:00;0;;
WET;19.03.1901 00:00;0.7;;
WET;20.03.1901 00:00;19.4;;
WET;21.03.1901 00:00;9.7;;
WET;22.03.1901 00:00;1.5;;
WET;23.03.1901 00:00;0;;
WET;24.03.1901 00:00;0;;
WET;25.03.1901 00:00;0;;
WET;26.03.1901 00:00;6.4;;
WET;27.03.1901 00:00;0.1;;
WET;28.03.1901 00:00;0;;
WET;29.03.1901 00:00;0;;
WET;30.03.1901 00:00;0;;
WET;31.03.1901 00:00;0;;
WET;01.04.1901 00:00;0.8;;
WET;02.04.1901 00:00;0;;
WET;03.04.1901 00:00;0;;
WET;04.04.1901 00:00;4;;
WET;05.04.1901 00:00;52.9;;
WET;06.04.1901 00:00;6.8;;
WET;07.04.1901 00:00;33.4;;
WET;08.04.1901 00:00;5;;
WET;09.04.1901 00:00;1.3;;
WET;10.04.1901 00:00;30.1;;
WET;11.04.1901 00:00;0;;
WET;12.04.1901 00:00;17.5;;
WET;13.04.1901 00:00;12.9;;
WET;14.04.1901 00:00;22.1;;
WET;15.04.1901 00:00;0.7;;
WET;16.04.1901 00:00;7.3;;
WET;17.04.1901 00:00;5.5;;
WET;18.04.1901 00:00;0.2;;
WET;19.04.1901 00:00;0;;
WET;20.04.1901 00:00;0;;
WET;21.04.1901 00:00;0;;
WET;22.04.1901 00:00;0;;
WET;23.04.1901 00:00;0;;
WET;24.04.1901 00:00;0;;
WET;25.04.1901 00:00;0;;
WET;26.04.1901 00:00;0.5;;
WET;27.04.1901 00:00;1.8;;
WET;28.04.1901 00:00;4.9;;
WET;29.04.1901 00:00;6.2;;
WET;30.04.1901 00:00;0.6;;
WET;01.05.1901 00:00;1.3;;
WET;02.05.1901 00:00;0.5;;
WET;03.05.1901 00:00;1.2;;
WET;04.05.1901 00:00;0.3;;
WET;05.05.1901 00:00;0;;
WET;06.05.1901 00:00;0;;
WET;07.05.1901 00:00;4.6;;
WET;08.05.1901 00:00;33.4;;
WET;09.05.1901 00:00;1.9;;
WET;10.05.1901 00:00;8.9;;
WET;11.05.1901 00:00;2.8;;
WET;12.05.1901 00:00;0.2;;
WET;13.05.1901 00:00;0;;
WET;14.05.1901 00:00;0;;
WET;15.05.1901 00:00;0.5;;
WET;16.05.1901 00:00;28.4;;
WET;17.05.1901 00:00;0.4;;
WET;18.05.1901 00:00;3.8;;
WET;19.05.1901 00:00;0;;
WET;20.05.1901 00:00;0;;
WET;21.05.1901 00:00;0;;
WET;22.05.1901 00:00;0.8;;
WET;23.05.1901 00:00;9.8;;
WET;24.05.1901 00:00;0;;
WET;25.05.1901 00:00;0.2;;
WET;26.05.1901 00:00;2.6;;
WET;27.05.1901 00:00;0;;
WET;28.05.1901 00:00;0;;
WET;29.05.1901 00:00;0;;
WET;30.05.1901 00:00;3.2;;
WET;31.05.1901 00:00;0;;
WET;01.06.1901 00:00;0;;
WET;02.06.1901 00:00;13.5;;
WET;03.06.1901 00:00;6.3;;
WET;04.06.1901 00:00;5.8;;
WET;05.06.1901 00:00;0;;
WET;06.06.1901 00:00;0;;
WET;07.06.1901 00:00;0;;
WET;08.06.1901 00:00;0.6;;
WET;09.06.1901 00:00;6.5;;
WET;10.06.1901 00:00;3.7;;
WET;11.06.1901 00:00;4.2;;
WET;12.06.1901 00:00;0;;
WET;13.06.1901 00:00;1.1;;
WET;14.06.1901 00:00;30.2;;
WET;15.06.1901 00:00;67.4;;
WET;16.06.1901 00:00;4;;
WET;17.06.1901 00:00;3.3;;
WET;18.06.1901 00:00;4.7;;
WET;19.06.1901 00:00;3.2;;
WET;20.06.1901 00:00;0.5;;
WET;21.06.1901 00:00;0;;
WET;22.06.1901 00:00;0;;
WET;23.06.1901 00:00;0.1;;
WET;24.06.1901 00:00;16;;
WET;25.06.1901 00:00;0;;
WET;26.06.1901 00:00;0;;
WET;27.06.1901 00:00;0;;
WET;28.06.1901 00:00;22.5;;
WET;29.06.1901 00:00;13.1;;
WET;30.06.1901 00:00;9.1;;
WET;01.07.1901 00:00;18.2;;
WET;02.07.1901 00:00;22.2;;
WET;03.07.1901 00:00;3.4;;
WET;04.07.1901 00:00;7.7;;
WET;05.07.1901 00:00;8.9;;
WET;06.07.1901 00:00;2.4;;
WET;07.07.1901 00:00;2.3;;
WET;08.07.1901 00:00;0;;
WET;09.07.1901 00:00;0;;
WET;10.07.1901 00:00;0;;
WET;11.07.1901 00:00;0;;
WET;12.07.1901 00:00;0;;
WET;13.07.1901 00:00;0;;
WET;14.07.1901 00:00;6.9;;
WET;15.07.1901 00:00;6.4;;
WET;16.07.1901 00:00;0;;
WET;17.07.1901 00:00;0;;
WET;18.07.1901 00:00;0;;
WET;19.07.1901 00:00;0.6;;
WET;20.07.1901 00:00;0;;
WET;21.07.1901 00:00;0;;
WET;22.07.1901 00:00;6.8;;
WET;23.07.1901 00:00;28.6;;
WET;24.07.1901 00:00;0;;
WET;25.07.1901 00:00;14.4;;
WET;26.07.1901 00:00;3.2;;
WET;27.07.1901 00:00;0.7;;
WET;28.07.1901 00:00;10;;
WET;29.07.1901 00:00;11.1;;
WET;30.07.1901 00:00;0.3;;
WET;31.07.1901 00:00;25.1;;
WET;01.08.1901 00:00;10.9;;
WET;02.08.1901 00:00;31.6;;
WET;03.08.1901 00:00;0;;
WET;04.08.1901 00:00;0;;
WET;05.08.1901 00:00;4;;
WET;06.08.1901 00:00;11;;
WET;07.08.1901 00:00;1.5;;
WET;08.08.1901 00:00;0;;
WET;09.08.1901 00:00;0;;
WET;10.08.1901 00:00;0;;
WET;11.08.1901 00:00;0.1;;
WET;12.08.1901 00:00;27.4;;
WET;13.08.1901 00:00;5.2;;
WET;14.08.1901 00:00;1.1;;
WET;15.08.1901 00:00;31.73;;
WET;16.08.1901 00:00;7;;
WET;17.08.1901 00:00;0;;
WET;18.08.1901 00:00;0;;
WET;19.08.1901 00:00;0;;
WET;20.08.1901 00:00;0;;
WET;21.08.1901 00:00;0;;
WET;22.08.1901 00:00;0;;
WET;23.08.1901 00:00;0;;
WET;24.08.1901 00:00;7.2;;
WET;25.08.1901 00:00;8.1;;
WET;26.08.1901 00:00;29;;
WET;27.08.1901 00:00;0;;
WET;28.08.1901 00:00;15.5;;
WET;29.08.1901 00:00;0;;
WET;30.08.1901 00:00;0;;
WET;31.08.1901 00:00;0;;
WET;01.09.1901 00:00;7.7;;
WET;02.09.1901 00:00;1.4;;
WET;03.09.1901 00:00;12;;
WET;04.09.1901 00:00;7.6;;
