station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WHA;01.01.1961 00:00;0;;
WHA;02.01.1961 00:00;1.5;;
WHA;03.01.1961 00:00;12.5;;
WHA;04.01.1961 00:00;3.2;;
WHA;05.01.1961 00:00;0.8;;
WHA;06.01.1961 00:00;0.4;;
WHA;07.01.1961 00:00;10.2;;
WHA;08.01.1961 00:00;1.5;;
WHA;09.01.1961 00:00;5.3;;
WHA;10.01.1961 00:00;0.1;;
WHA;11.01.1961 00:00;0;;
WHA;12.01.1961 00:00;0;;
WHA;13.01.1961 00:00;0;;
WHA;14.01.1961 00:00;0;;
WHA;15.01.1961 00:00;0;;
WHA;16.01.1961 00:00;0;;
WHA;17.01.1961 00:00;0;;
WHA;18.01.1961 00:00;0;;
WHA;19.01.1961 00:00;0;;
WHA;20.01.1961 00:00;3.4;;
WHA;21.01.1961 00:00;1.5;;
WHA;22.01.1961 00:00;1.4;;
WHA;23.01.1961 00:00;14;;
WHA;24.01.1961 00:00;4.1;;
WHA;25.01.1961 00:00;1.8;;
WHA;26.01.1961 00:00;0.5;;
WHA;27.01.1961 00:00;0;;
WHA;28.01.1961 00:00;0;;
WHA;29.01.1961 00:00;0;;
WHA;30.01.1961 00:00;12.2;;
WHA;31.01.1961 00:00;10.8;;
WHA;01.02.1961 00:00;20.7;;
WHA;02.02.1961 00:00;16;;
WHA;03.02.1961 00:00;17.2;;
WHA;04.02.1961 00:00;10.5;;
WHA;05.02.1961 00:00;8.4;;
WHA;06.02.1961 00:00;2.1;;
WHA;07.02.1961 00:00;6.4;;
WHA;08.02.1961 00:00;2.4;;
WHA;09.02.1961 00:00;10.5;;
WHA;10.02.1961 00:00;0.2;;
WHA;11.02.1961 00:00;10.5;;
WHA;12.02.1961 00:00;9.5;;
WHA;13.02.1961 00:00;0;;
WHA;14.02.1961 00:00;0;;
WHA;15.02.1961 00:00;0;;
WHA;16.02.1961 00:00;0;;
WHA;17.02.1961 00:00;0;;
WHA;18.02.1961 00:00;0;;
WHA;19.02.1961 00:00;0;;
WHA;20.02.1961 00:00;0;;
WHA;21.02.1961 00:00;0;;
WHA;22.02.1961 00:00;0;;
WHA;23.02.1961 00:00;0;;
WHA;24.02.1961 00:00;0;;
WHA;25.02.1961 00:00;0;;
WHA;26.02.1961 00:00;0;;
WHA;27.02.1961 00:00;0.1;;
WHA;28.02.1961 00:00;13.1;;
WHA;01.03.1961 00:00;1.1;;
WHA;02.03.1961 00:00;13.5;;
WHA;03.03.1961 00:00;2.5;;
WHA;04.03.1961 00:00;0;;
WHA;05.03.1961 00:00;0;;
WHA;06.03.1961 00:00;0;;
WHA;07.03.1961 00:00;0;;
WHA;08.03.1961 00:00;0;;
WHA;09.03.1961 00:00;0;;
WHA;10.03.1961 00:00;0;;
WHA;11.03.1961 00:00;0;;
WHA;12.03.1961 00:00;0;;
WHA;13.03.1961 00:00;0;;
WHA;14.03.1961 00:00;0;;
WHA;15.03.1961 00:00;0;;
WHA;16.03.1961 00:00;0;;
WHA;17.03.1961 00:00;0;;
WHA;18.03.1961 00:00;18.5;;
WHA;19.03.1961 00:00;11.1;;
WHA;20.03.1961 00:00;3.5;;
WHA;21.03.1961 00:00;11.7;;
WHA;22.03.1961 00:00;0;;
WHA;23.03.1961 00:00;0;;
WHA;24.03.1961 00:00;0;;
WHA;25.03.1961 00:00;0;;
WHA;26.03.1961 00:00;0;;
WHA;27.03.1961 00:00;2.5;;
WHA;28.03.1961 00:00;1.5;;
WHA;29.03.1961 00:00;3.2;;
WHA;30.03.1961 00:00;11.8;;
WHA;31.03.1961 00:00;7.5;;
WHA;01.04.1961 00:00;5.4;;
WHA;02.04.1961 00:00;15.4;;
WHA;03.04.1961 00:00;0.1;;
WHA;04.04.1961 00:00;0;;
WHA;05.04.1961 00:00;0;;
WHA;06.04.1961 00:00;0;;
WHA;07.04.1961 00:00;0.1;;
WHA;08.04.1961 00:00;4.4;;
WHA;09.04.1961 00:00;5.6;;
WHA;10.04.1961 00:00;0.1;;
WHA;11.04.1961 00:00;0;;
WHA;12.04.1961 00:00;0;;
WHA;13.04.1961 00:00;0;;
WHA;14.04.1961 00:00;0;;
WHA;15.04.1961 00:00;9.3;;
WHA;16.04.1961 00:00;0;;
WHA;17.04.1961 00:00;3.4;;
WHA;18.04.1961 00:00;0.3;;
WHA;19.04.1961 00:00;0;;
WHA;20.04.1961 00:00;0.1;;
WHA;21.04.1961 00:00;0.5;;
WHA;22.04.1961 00:00;6.5;;
WHA;23.04.1961 00:00;3.5;;
WHA;24.04.1961 00:00;4.4;;
WHA;25.04.1961 00:00;12.6;;
WHA;26.04.1961 00:00;2.5;;
WHA;27.04.1961 00:00;0;;
WHA;28.04.1961 00:00;0;;
WHA;29.04.1961 00:00;8.2;;
WHA;30.04.1961 00:00;18.5;;
WHA;01.05.1961 00:00;0;;
WHA;02.05.1961 00:00;2.2;;
WHA;03.05.1961 00:00;5.4;;
WHA;04.05.1961 00:00;0;;
WHA;05.05.1961 00:00;0.1;;
WHA;06.05.1961 00:00;25.1;;
WHA;07.05.1961 00:00;4.5;;
WHA;08.05.1961 00:00;0;;
WHA;09.05.1961 00:00;18;;
WHA;10.05.1961 00:00;13.4;;
WHA;11.05.1961 00:00;13.3;;
WHA;12.05.1961 00:00;31.5;;
WHA;13.05.1961 00:00;11.2;;
WHA;14.05.1961 00:00;33.1;;
WHA;15.05.1961 00:00;15.3;;
WHA;16.05.1961 00:00;3.4;;
WHA;17.05.1961 00:00;0;;
WHA;18.05.1961 00:00;0.2;;
WHA;19.05.1961 00:00;0.3;;
WHA;20.05.1961 00:00;12.4;;
WHA;21.05.1961 00:00;2.3;;
WHA;22.05.1961 00:00;0;;
WHA;23.05.1961 00:00;14.7;;
WHA;24.05.1961 00:00;0;;
WHA;25.05.1961 00:00;0.2;;
WHA;26.05.1961 00:00;3.5;;
WHA;27.05.1961 00:00;20.1;;
WHA;28.05.1961 00:00;19.3;;
WHA;29.05.1961 00:00;2.6;;
WHA;30.05.1961 00:00;0;;
WHA;31.05.1961 00:00;0;;
WHA;01.06.1961 00:00;1.5;;
WHA;02.06.1961 00:00;1.5;;
WHA;03.06.1961 00:00;5.5;;
WHA;04.06.1961 00:00;0.6;;
WHA;05.06.1961 00:00;0;;
WHA;06.06.1961 00:00;16.2;;
WHA;07.06.1961 00:00;14.2;;
WHA;08.06.1961 00:00;1.1;;
WHA;09.06.1961 00:00;25.8;;
WHA;10.06.1961 00:00;5.8;;
WHA;11.06.1961 00:00;2.8;;
WHA;12.06.1961 00:00;3;;
WHA;13.06.1961 00:00;14.8;;
WHA;14.06.1961 00:00;0;;
WHA;15.06.1961 00:00;0;;
WHA;16.06.1961 00:00;0;;
WHA;17.06.1961 00:00;0;;
WHA;18.06.1961 00:00;0;;
WHA;19.06.1961 00:00;0;;
WHA;20.06.1961 00:00;0;;
WHA;21.06.1961 00:00;0;;
WHA;22.06.1961 00:00;13.1;;
WHA;23.06.1961 00:00;0;;
WHA;24.06.1961 00:00;0;;
WHA;25.06.1961 00:00;13.5;;
WHA;26.06.1961 00:00;9;;
WHA;27.06.1961 00:00;23.8;;
WHA;28.06.1961 00:00;0;;
WHA;29.06.1961 00:00;0;;
WHA;30.06.1961 00:00;0;;
WHA;01.07.1961 00:00;0;;
WHA;02.07.1961 00:00;0;;
WHA;03.07.1961 00:00;0;;
WHA;04.07.1961 00:00;23;;
WHA;05.07.1961 00:00;0;;
WHA;06.07.1961 00:00;0;;
WHA;07.07.1961 00:00;0;;
WHA;08.07.1961 00:00;22.8;;
WHA;09.07.1961 00:00;5.2;;
WHA;10.07.1961 00:00;0;;
WHA;11.07.1961 00:00;15.8;;
WHA;12.07.1961 00:00;50.6;;
WHA;13.07.1961 00:00;15.2;;
WHA;14.07.1961 00:00;11.2;;
WHA;15.07.1961 00:00;7.2;;
WHA;16.07.1961 00:00;15.2;;
WHA;17.07.1961 00:00;15;;
WHA;18.07.1961 00:00;4.5;;
WHA;19.07.1961 00:00;14.2;;
WHA;20.07.1961 00:00;0;;
WHA;21.07.1961 00:00;0;;
WHA;22.07.1961 00:00;19.6;;
WHA;23.07.1961 00:00;0;;
WHA;24.07.1961 00:00;0;;
WHA;25.07.1961 00:00;0;;
WHA;26.07.1961 00:00;0;;
WHA;27.07.1961 00:00;6.5;;
WHA;28.07.1961 00:00;40.2;;
WHA;29.07.1961 00:00;15.2;;
WHA;30.07.1961 00:00;0;;
WHA;31.07.1961 00:00;0;;
WHA;01.08.1961 00:00;1.5;;
WHA;02.08.1961 00:00;12.5;;
WHA;03.08.1961 00:00;0.1;;
WHA;04.08.1961 00:00;0;;
WHA;05.08.1961 00:00;0;;
WHA;06.08.1961 00:00;4.4;;
WHA;07.08.1961 00:00;0.1;;
WHA;08.08.1961 00:00;0;;
WHA;09.08.1961 00:00;21.4;;
WHA;10.08.1961 00:00;26.8;;
WHA;11.08.1961 00:00;31.8;;
WHA;12.08.1961 00:00;19.8;;
WHA;13.08.1961 00:00;0;;
WHA;14.08.1961 00:00;5.3;;
WHA;15.08.1961 00:00;20.3;;
WHA;16.08.1961 00:00;20.7;;
WHA;17.08.1961 00:00;32;;
WHA;18.08.1961 00:00;0;;
WHA;19.08.1961 00:00;25.6;;
WHA;20.08.1961 00:00;0;;
WHA;21.08.1961 00:00;0;;
WHA;22.08.1961 00:00;5.4;;
WHA;23.08.1961 00:00;0;;
WHA;24.08.1961 00:00;0;;
WHA;25.08.1961 00:00;0;;
WHA;26.08.1961 00:00;0;;
WHA;27.08.1961 00:00;0;;
WHA;28.08.1961 00:00;0;;
WHA;29.08.1961 00:00;0;;
WHA;30.08.1961 00:00;0;;
WHA;31.08.1961 00:00;0;;
WHA;01.09.1961 00:00;0;;
WHA;02.09.1961 00:00;0;;
WHA;03.09.1961 00:00;0;;
WHA;04.09.1961 00:00;0;;
WHA;05.09.1961 00:00;7.2;;
WHA;06.09.1961 00:00;7.5;;
WHA;07.09.1961 00:00;11.5;;
WHA;08.09.1961 00:00;0;;
WHA;09.09.1961 00:00;0;;
WHA;10.09.1961 00:00;0;;
WHA;11.09.1961 00:00;0;;
WHA;12.09.1961 00:00;0;;
WHA;13.09.1961 00:00;0;;
WHA;14.09.1961 00:00;25.2;;
WHA;15.09.1961 00:00;0;;
WHA;16.09.1961 00:00;0;;
WHA;17.09.1961 00:00;0;;
WHA;18.09.1961 00:00;0;;
WHA;19.09.1961 00:00;0;;
WHA;20.09.1961 00:00;0;;
WHA;21.09.1961 00:00;0;;
