station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WID;01.01.1961 00:00;3.8;;
WID;02.01.1961 00:00;0;;
WID;03.01.1961 00:00;14.4;;
WID;04.01.1961 00:00;1.3;;
WID;05.01.1961 00:00;0.4;;
WID;06.01.1961 00:00;0;;
WID;07.01.1961 00:00;0.4;;
WID;08.01.1961 00:00;0.8;;
WID;09.01.1961 00:00;0.2;;
WID;10.01.1961 00:00;0;;
WID;11.01.1961 00:00;0;;
WID;12.01.1961 00:00;0;;
WID;13.01.1961 00:00;0;;
WID;14.01.1961 00:00;0;;
WID;15.01.1961 00:00;0;;
WID;16.01.1961 00:00;0;;
WID;17.01.1961 00:00;0;;
WID;18.01.1961 00:00;0;;
WID;19.01.1961 00:00;0;;
WID;20.01.1961 00:00;0;;
WID;21.01.1961 00:00;0;;
WID;22.01.1961 00:00;0.6;;
WID;23.01.1961 00:00;14.1;;
WID;24.01.1961 00:00;5;;
WID;25.01.1961 00:00;0.9;;
WID;26.01.1961 00:00;0.7;;
WID;27.01.1961 00:00;0;;
WID;28.01.1961 00:00;5.9;;
WID;29.01.1961 00:00;0;;
WID;30.01.1961 00:00;1.8;;
WID;31.01.1961 00:00;7;;
WID;01.02.1961 00:00;1;;
WID;02.02.1961 00:00;10.5;;
WID;03.02.1961 00:00;12.7;;
WID;04.02.1961 00:00;1.6;;
WID;05.02.1961 00:00;5.3;;
WID;06.02.1961 00:00;1.5;;
WID;07.02.1961 00:00;3.3;;
WID;08.02.1961 00:00;0.5;;
WID;09.02.1961 00:00;2.2;;
WID;10.02.1961 00:00;0.8;;
WID;11.02.1961 00:00;1.9;;
WID;12.02.1961 00:00;12.9;;
WID;13.02.1961 00:00;0;;
WID;14.02.1961 00:00;0;;
WID;15.02.1961 00:00;0;;
WID;16.02.1961 00:00;0;;
WID;17.02.1961 00:00;0;;
WID;18.02.1961 00:00;0;;
WID;19.02.1961 00:00;0;;
WID;20.02.1961 00:00;0;;
WID;21.02.1961 00:00;0;;
WID;22.02.1961 00:00;0;;
WID;23.02.1961 00:00;0;;
WID;24.02.1961 00:00;0;;
WID;25.02.1961 00:00;0;;
WID;26.02.1961 00:00;0;;
WID;27.02.1961 00:00;0;;
WID;28.02.1961 00:00;3.8;;
WID;01.03.1961 00:00;0.6;;
WID;02.03.1961 00:00;4.6;;
WID;03.03.1961 00:00;8.1;;
WID;04.03.1961 00:00;0;;
WID;05.03.1961 00:00;0;;
WID;06.03.1961 00:00;0;;
WID;07.03.1961 00:00;0;;
WID;08.03.1961 00:00;0;;
WID;09.03.1961 00:00;0;;
WID;10.03.1961 00:00;0;;
WID;11.03.1961 00:00;0;;
WID;12.03.1961 00:00;0;;
WID;13.03.1961 00:00;0;;
WID;14.03.1961 00:00;0;;
WID;15.03.1961 00:00;0;;
WID;16.03.1961 00:00;0;;
WID;17.03.1961 00:00;0;;
WID;18.03.1961 00:00;8.6;;
WID;19.03.1961 00:00;4.9;;
WID;20.03.1961 00:00;1.8;;
WID;21.03.1961 00:00;12.2;;
WID;22.03.1961 00:00;2.8;;
WID;23.03.1961 00:00;0;;
WID;24.03.1961 00:00;0;;
WID;25.03.1961 00:00;0;;
WID;26.03.1961 00:00;0;;
WID;27.03.1961 00:00;0;;
WID;28.03.1961 00:00;0;;
WID;29.03.1961 00:00;0;;
WID;30.03.1961 00:00;4.2;;
WID;31.03.1961 00:00;1.3;;
WID;01.04.1961 00:00;3.3;;
WID;02.04.1961 00:00;10.2;;
WID;03.04.1961 00:00;0.9;;
WID;04.04.1961 00:00;0;;
WID;05.04.1961 00:00;0;;
WID;06.04.1961 00:00;0;;
WID;07.04.1961 00:00;0.4;;
WID;08.04.1961 00:00;3.4;;
WID;09.04.1961 00:00;4.5;;
WID;10.04.1961 00:00;6.3;;
WID;11.04.1961 00:00;0;;
WID;12.04.1961 00:00;0;;
