station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WIE;01.01.1901 00:00;1.6;;
WIE;02.01.1901 00:00;0.8;;
WIE;03.01.1901 00:00;0;;
WIE;04.01.1901 00:00;0;;
WIE;05.01.1901 00:00;0.3;;
WIE;06.01.1901 00:00;0;;
WIE;07.01.1901 00:00;0;;
WIE;08.01.1901 00:00;0;;
WIE;09.01.1901 00:00;0;;
WIE;10.01.1901 00:00;0;;
WIE;11.01.1901 00:00;0.2;;
WIE;12.01.1901 00:00;0;;
WIE;13.01.1901 00:00;0;;
WIE;14.01.1901 00:00;0;;
WIE;15.01.1901 00:00;0;;
WIE;16.01.1901 00:00;0;;
WIE;17.01.1901 00:00;0;;
WIE;18.01.1901 00:00;0;;
WIE;19.01.1901 00:00;0;;
WIE;20.01.1901 00:00;5.2;;
WIE;21.01.1901 00:00;5.1;;
WIE;22.01.1901 00:00;0;;
WIE;23.01.1901 00:00;0;;
WIE;24.01.1901 00:00;0.5;;
WIE;25.01.1901 00:00;8.3;;
WIE;26.01.1901 00:00;6.7;;
WIE;27.01.1901 00:00;5.9;;
WIE;28.01.1901 00:00;2.5;;
WIE;29.01.1901 00:00;0;;
WIE;30.01.1901 00:00;0;;
WIE;31.01.1901 00:00;0;;
WIE;01.02.1901 00:00;4.8;;
WIE;02.02.1901 00:00;5.1;;
WIE;03.02.1901 00:00;0;;
WIE;04.02.1901 00:00;1.2;;
WIE;05.02.1901 00:00;3.1;;
WIE;06.02.1901 00:00;0;;
WIE;07.02.1901 00:00;4.1;;
WIE;08.02.1901 00:00;3;;
WIE;09.02.1901 00:00;0;;
WIE;10.02.1901 00:00;0;;
WIE;11.02.1901 00:00;3.5;;
WIE;12.02.1901 00:00;0.7;;
WIE;13.02.1901 00:00;3.8;;
WIE;14.02.1901 00:00;0;;
WIE;15.02.1901 00:00;0;;
WIE;16.02.1901 00:00;5.8;;
WIE;17.02.1901 00:00;10.1;;
WIE;18.02.1901 00:00;0.5;;
WIE;19.02.1901 00:00;0;;
WIE;20.02.1901 00:00;0;;
WIE;21.02.1901 00:00;0;;
WIE;22.02.1901 00:00;0;;
