station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
WIS;01.01.1901 00:00;1.1;;
WIS;02.01.1901 00:00;0.9;;
WIS;03.01.1901 00:00;0;;
WIS;04.01.1901 00:00;0;;
WIS;05.01.1901 00:00;0.1;;
WIS;06.01.1901 00:00;0;;
WIS;07.01.1901 00:00;0;;
WIS;08.01.1901 00:00;0;;
WIS;09.01.1901 00:00;0;;
WIS;10.01.1901 00:00;0;;
WIS;11.01.1901 00:00;0;;
WIS;12.01.1901 00:00;0;;
WIS;13.01.1901 00:00;0;;
WIS;14.01.1901 00:00;0;;
WIS;15.01.1901 00:00;0;;
WIS;16.01.1901 00:00;0;;
WIS;17.01.1901 00:00;0;;
WIS;18.01.1901 00:00;0;;
WIS;19.01.1901 00:00;0;;
WIS;20.01.1901 00:00;4.6;;
WIS;21.01.1901 00:00;9.9;;
WIS;22.01.1901 00:00;0;;
WIS;23.01.1901 00:00;0;;
WIS;24.01.1901 00:00;0;;
WIS;25.01.1901 00:00;0.7;;
WIS;26.01.1901 00:00;11.5;;
WIS;27.01.1901 00:00;7.2;;
WIS;28.01.1901 00:00;8.4;;
WIS;29.01.1901 00:00;15.1;;
WIS;30.01.1901 00:00;0;;
WIS;31.01.1901 00:00;0;;
WIS;01.02.1901 00:00;7.4;;
WIS;02.02.1901 00:00;2.8;;
WIS;03.02.1901 00:00;0;;
WIS;04.02.1901 00:00;0;;
WIS;05.02.1901 00:00;2;;
WIS;06.02.1901 00:00;0.7;;
WIS;07.02.1901 00:00;0.2;;
WIS;08.02.1901 00:00;0.1;;
WIS;09.02.1901 00:00;0;;
WIS;10.02.1901 00:00;0;;
WIS;11.02.1901 00:00;2.5;;
WIS;12.02.1901 00:00;0;;
WIS;13.02.1901 00:00;2.4;;
WIS;14.02.1901 00:00;0;;
WIS;15.02.1901 00:00;0;;
WIS;16.02.1901 00:00;3.1;;
WIS;17.02.1901 00:00;12.6;;
WIS;18.02.1901 00:00;0.3;;
WIS;19.02.1901 00:00;0;;
WIS;20.02.1901 00:00;0;;
WIS;21.02.1901 00:00;0;;
WIS;22.02.1901 00:00;0;;
WIS;23.02.1901 00:00;0;;
WIS;24.02.1901 00:00;0;;
WIS;25.02.1901 00:00;0;;
WIS;26.02.1901 00:00;0;;
WIS;27.02.1901 00:00;0;;
WIS;28.02.1901 00:00;2.4;;
WIS;01.03.1901 00:00;0.6;;
WIS;02.03.1901 00:00;18.5;;
WIS;03.03.1901 00:00;16.2;;
WIS;04.03.1901 00:00;8.5;;
WIS;05.03.1901 00:00;5;;
WIS;06.03.1901 00:00;2.4;;
WIS;07.03.1901 00:00;0;;
WIS;08.03.1901 00:00;0;;
WIS;09.03.1901 00:00;0;;
WIS;10.03.1901 00:00;8.6;;
WIS;11.03.1901 00:00;0;;
WIS;12.03.1901 00:00;1.4;;
WIS;13.03.1901 00:00;0;;
WIS;14.03.1901 00:00;0;;
WIS;15.03.1901 00:00;0;;
WIS;16.03.1901 00:00;0;;
WIS;17.03.1901 00:00;0;;
WIS;18.03.1901 00:00;0;;
WIS;19.03.1901 00:00;0;;
WIS;20.03.1901 00:00;15.9;;
WIS;21.03.1901 00:00;6.1;;
WIS;22.03.1901 00:00;0.9;;
WIS;23.03.1901 00:00;0;;
WIS;24.03.1901 00:00;0;;
WIS;25.03.1901 00:00;1.7;;
WIS;26.03.1901 00:00;12.8;;
WIS;27.03.1901 00:00;0;;
WIS;28.03.1901 00:00;3.1;;
WIS;29.03.1901 00:00;0.1;;
WIS;30.03.1901 00:00;0;;
WIS;31.03.1901 00:00;0;;
WIS;01.04.1901 00:00;7;;
WIS;02.04.1901 00:00;0;;
WIS;03.04.1901 00:00;0;;
WIS;04.04.1901 00:00;1.6;;
WIS;05.04.1901 00:00;26.9;;
WIS;06.04.1901 00:00;5.3;;
WIS;07.04.1901 00:00;24.7;;
WIS;08.04.1901 00:00;0;;
WIS;09.04.1901 00:00;6;;
WIS;10.04.1901 00:00;10.7;;
WIS;11.04.1901 00:00;0;;
WIS;12.04.1901 00:00;30.9;;
WIS;13.04.1901 00:00;3.1;;
WIS;14.04.1901 00:00;6.8;;
WIS;15.04.1901 00:00;0.8;;
WIS;16.04.1901 00:00;15;;
WIS;17.04.1901 00:00;10.4;;
WIS;18.04.1901 00:00;0;;
WIS;19.04.1901 00:00;0;;
WIS;20.04.1901 00:00;0;;
WIS;21.04.1901 00:00;0;;
WIS;22.04.1901 00:00;0;;
WIS;23.04.1901 00:00;0;;
WIS;24.04.1901 00:00;0;;
WIS;25.04.1901 00:00;0;;
WIS;26.04.1901 00:00;0.8;;
WIS;27.04.1901 00:00;0;;
WIS;28.04.1901 00:00;10.8;;
WIS;29.04.1901 00:00;11.3;;
WIS;30.04.1901 00:00;3.2;;
WIS;01.05.1901 00:00;0;;
WIS;02.05.1901 00:00;0.1;;
WIS;03.05.1901 00:00;3.3;;
WIS;04.05.1901 00:00;0;;
WIS;05.05.1901 00:00;0;;
WIS;06.05.1901 00:00;6;;
WIS;07.05.1901 00:00;4.5;;
WIS;08.05.1901 00:00;8.6;;
WIS;09.05.1901 00:00;1.1;;
WIS;10.05.1901 00:00;14.1;;
WIS;11.05.1901 00:00;0;;
WIS;12.05.1901 00:00;0;;
WIS;13.05.1901 00:00;0;;
WIS;14.05.1901 00:00;0;;
WIS;15.05.1901 00:00;0;;
WIS;16.05.1901 00:00;0.3;;
WIS;17.05.1901 00:00;1.1;;
WIS;18.05.1901 00:00;0;;
WIS;19.05.1901 00:00;1.4;;
WIS;20.05.1901 00:00;0;;
WIS;21.05.1901 00:00;0;;
WIS;22.05.1901 00:00;0;;
WIS;23.05.1901 00:00;2.5;;
WIS;24.05.1901 00:00;0;;
WIS;25.05.1901 00:00;0;;
WIS;26.05.1901 00:00;0.4;;
WIS;27.05.1901 00:00;0.4;;
WIS;28.05.1901 00:00;4.6;;
WIS;29.05.1901 00:00;0;;
WIS;30.05.1901 00:00;1.8;;
WIS;31.05.1901 00:00;0;;
WIS;01.06.1901 00:00;0;;
WIS;02.06.1901 00:00;3.6;;
WIS;03.06.1901 00:00;1.9;;
WIS;04.06.1901 00:00;11.6;;
WIS;05.06.1901 00:00;0;;
WIS;06.06.1901 00:00;0;;
WIS;07.06.1901 00:00;0;;
WIS;08.06.1901 00:00;6.9;;
WIS;09.06.1901 00:00;31.5;;
WIS;10.06.1901 00:00;5.6;;
WIS;11.06.1901 00:00;1.6;;
WIS;12.06.1901 00:00;0;;
WIS;13.06.1901 00:00;0.6;;
WIS;14.06.1901 00:00;24.3;;
WIS;15.06.1901 00:00;45.3;;
WIS;16.06.1901 00:00;4.7;;
WIS;17.06.1901 00:00;6.9;;
WIS;18.06.1901 00:00;6.6;;
WIS;19.06.1901 00:00;0.6;;
WIS;20.06.1901 00:00;0;;
WIS;21.06.1901 00:00;0;;
WIS;22.06.1901 00:00;0;;
WIS;23.06.1901 00:00;9;;
WIS;24.06.1901 00:00;4.5;;
WIS;25.06.1901 00:00;0;;
WIS;26.06.1901 00:00;0;;
WIS;27.06.1901 00:00;0;;
WIS;28.06.1901 00:00;8.3;;
WIS;29.06.1901 00:00;4.3;;
WIS;30.06.1901 00:00;17.3;;
WIS;01.07.1901 00:00;8;;
WIS;02.07.1901 00:00;17.4;;
WIS;03.07.1901 00:00;1.2;;
WIS;04.07.1901 00:00;8.6;;
WIS;05.07.1901 00:00;4.2;;
WIS;06.07.1901 00:00;0;;
WIS;07.07.1901 00:00;0;;
WIS;08.07.1901 00:00;0;;
WIS;09.07.1901 00:00;0;;
WIS;10.07.1901 00:00;0;;
WIS;11.07.1901 00:00;0;;
WIS;12.07.1901 00:00;0;;
WIS;13.07.1901 00:00;0;;
WIS;14.07.1901 00:00;6.8;;
WIS;15.07.1901 00:00;6.9;;
WIS;16.07.1901 00:00;0;;
WIS;17.07.1901 00:00;0;;
WIS;18.07.1901 00:00;0;;
WIS;19.07.1901 00:00;0;;
WIS;20.07.1901 00:00;0;;
WIS;21.07.1901 00:00;2;;
WIS;22.07.1901 00:00;3.9;;
WIS;23.07.1901 00:00;16.4;;
WIS;24.07.1901 00:00;3.3;;
WIS;25.07.1901 00:00;2.3;;
WIS;26.07.1901 00:00;6.6;;
WIS;27.07.1901 00:00;10.5;;
WIS;28.07.1901 00:00;8.7;;
WIS;29.07.1901 00:00;14;;
WIS;30.07.1901 00:00;0.2;;
WIS;31.07.1901 00:00;0.3;;
WIS;01.08.1901 00:00;12.7;;
WIS;02.08.1901 00:00;26;;
WIS;03.08.1901 00:00;0;;
