station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
YVN;01.06.1902 00:00;0;;
YVN;02.06.1902 00:00;0;;
YVN;03.06.1902 00:00;3.2;;
YVN;04.06.1902 00:00;0;;
YVN;05.06.1902 00:00;0;;
YVN;06.06.1902 00:00;0;;
YVN;07.06.1902 00:00;2.9;;
YVN;08.06.1902 00:00;0.3;;
YVN;09.06.1902 00:00;0.1;;
YVN;10.06.1902 00:00;1.4;;
YVN;11.06.1902 00:00;0;;
YVN;12.06.1902 00:00;6.8;;
YVN;13.06.1902 00:00;3.2;;
YVN;14.06.1902 00:00;2.5;;
YVN;15.06.1902 00:00;4.6;;
YVN;16.06.1902 00:00;1.5;;
YVN;17.06.1902 00:00;1.3;;
YVN;18.06.1902 00:00;0.1;;
YVN;19.06.1902 00:00;0;;
YVN;20.06.1902 00:00;7.9;;
YVN;21.06.1902 00:00;1.1;;
YVN;22.06.1902 00:00;0;;
YVN;23.06.1902 00:00;0;;
YVN;24.06.1902 00:00;0;;
YVN;25.06.1902 00:00;0;;
YVN;26.06.1902 00:00;0;;
YVN;27.06.1902 00:00;0;;
YVN;28.06.1902 00:00;0;;
YVN;29.06.1902 00:00;0.3;;
YVN;30.06.1902 00:00;0;;
YVN;01.07.1902 00:00;1.1;;
YVN;02.07.1902 00:00;5.4;;
YVN;03.07.1902 00:00;0;;
YVN;04.07.1902 00:00;0;;
YVN;05.07.1902 00:00;0;;
YVN;06.07.1902 00:00;0;;
YVN;07.07.1902 00:00;0;;
YVN;08.07.1902 00:00;0;;
YVN;09.07.1902 00:00;8.1;;
YVN;10.07.1902 00:00;0.2;;
YVN;11.07.1902 00:00;0;;
YVN;12.07.1902 00:00;0;;
YVN;13.07.1902 00:00;0;;
YVN;14.07.1902 00:00;0;;
YVN;15.07.1902 00:00;3.1;;
YVN;16.07.1902 00:00;2.3;;
YVN;17.07.1902 00:00;7.8;;
YVN;18.07.1902 00:00;7.4;;
YVN;19.07.1902 00:00;0;;
YVN;20.07.1902 00:00;7.8;;
YVN;21.07.1902 00:00;5.6;;
YVN;22.07.1902 00:00;0.1;;
YVN;23.07.1902 00:00;0;;
YVN;24.07.1902 00:00;6.4;;
YVN;25.07.1902 00:00;0;;
YVN;26.07.1902 00:00;0;;
YVN;27.07.1902 00:00;1.1;;
YVN;28.07.1902 00:00;0;;
YVN;29.07.1902 00:00;0;;
YVN;30.07.1902 00:00;0;;
YVN;31.07.1902 00:00;1.6;;
YVN;01.08.1902 00:00;37;;
