station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ZER;01.04.1892 00:00;0;;
ZER;02.04.1892 00:00;0;;
ZER;03.04.1892 00:00;0;;
ZER;04.04.1892 00:00;0;;
ZER;05.04.1892 00:00;0;;
ZER;06.04.1892 00:00;0;;
ZER;07.04.1892 00:00;0;;
ZER;08.04.1892 00:00;0;;
ZER;09.04.1892 00:00;0;;
ZER;10.04.1892 00:00;0;;
ZER;11.04.1892 00:00;1;;
ZER;12.04.1892 00:00;0.1;;
ZER;13.04.1892 00:00;3.1;;
ZER;14.04.1892 00:00;0.1;;
ZER;15.04.1892 00:00;0;;
ZER;16.04.1892 00:00;0.9;;
ZER;17.04.1892 00:00;3.5;;
ZER;18.04.1892 00:00;0;;
ZER;19.04.1892 00:00;0;;
ZER;20.04.1892 00:00;0;;
ZER;21.04.1892 00:00;0;;
ZER;22.04.1892 00:00;0;;
ZER;23.04.1892 00:00;0;;
ZER;24.04.1892 00:00;0;;
ZER;25.04.1892 00:00;0.9;;
ZER;26.04.1892 00:00;0;;
ZER;27.04.1892 00:00;0.7;;
ZER;28.04.1892 00:00;2.3;;
ZER;29.04.1892 00:00;12;;
ZER;30.04.1892 00:00;0;;
ZER;01.05.1892 00:00;1.8;;
ZER;02.05.1892 00:00;0.7;;
ZER;03.05.1892 00:00;3.5;;
ZER;04.05.1892 00:00;0;;
ZER;05.05.1892 00:00;0;;
ZER;06.05.1892 00:00;0;;
ZER;07.05.1892 00:00;4.5;;
ZER;08.05.1892 00:00;0;;
ZER;09.05.1892 00:00;0;;
ZER;10.05.1892 00:00;1.5;;
ZER;11.05.1892 00:00;2;;
ZER;12.05.1892 00:00;1;;
ZER;13.05.1892 00:00;0.9;;
ZER;14.05.1892 00:00;0;;
ZER;15.05.1892 00:00;0;;
ZER;16.05.1892 00:00;0;;
ZER;17.05.1892 00:00;0;;
ZER;18.05.1892 00:00;0;;
ZER;19.05.1892 00:00;0;;
ZER;20.05.1892 00:00;0;;
ZER;21.05.1892 00:00;0;;
ZER;22.05.1892 00:00;0;;
ZER;23.05.1892 00:00;1.1;;
ZER;24.05.1892 00:00;0;;
ZER;25.05.1892 00:00;0;;
ZER;26.05.1892 00:00;0;;
ZER;27.05.1892 00:00;0;;
ZER;28.05.1892 00:00;0;;
ZER;29.05.1892 00:00;0;;
ZER;30.05.1892 00:00;0;;
ZER;31.05.1892 00:00;4.6;;
ZER;01.06.1892 00:00;0;;
ZER;02.06.1892 00:00;0;;
ZER;03.06.1892 00:00;5.7;;
ZER;04.06.1892 00:00;2.1;;
ZER;05.06.1892 00:00;1.5;;
ZER;06.06.1892 00:00;0;;
ZER;07.06.1892 00:00;0;;
ZER;08.06.1892 00:00;1.1;;
ZER;09.06.1892 00:00;0;;
ZER;10.06.1892 00:00;0;;
ZER;11.06.1892 00:00;0;;
ZER;12.06.1892 00:00;0;;
ZER;13.06.1892 00:00;0.1;;
ZER;14.06.1892 00:00;13.6;;
ZER;15.06.1892 00:00;4.3;;
ZER;16.06.1892 00:00;19.1;;
ZER;17.06.1892 00:00;0.9;;
ZER;18.06.1892 00:00;0;;
ZER;19.06.1892 00:00;0;;
ZER;20.06.1892 00:00;0;;
ZER;21.06.1892 00:00;0.2;;
ZER;22.06.1892 00:00;0;;
ZER;23.06.1892 00:00;3.8;;
ZER;24.06.1892 00:00;2;;
ZER;25.06.1892 00:00;0;;
ZER;26.06.1892 00:00;0;;
ZER;27.06.1892 00:00;0;;
ZER;28.06.1892 00:00;0;;
ZER;29.06.1892 00:00;0;;
ZER;30.06.1892 00:00;0;;
ZER;01.07.1892 00:00;0;;
ZER;02.07.1892 00:00;0;;
ZER;03.07.1892 00:00;0;;
ZER;04.07.1892 00:00;3.4;;
ZER;05.07.1892 00:00;0;;
ZER;06.07.1892 00:00;0;;
ZER;07.07.1892 00:00;0;;
ZER;08.07.1892 00:00;0;;
ZER;09.07.1892 00:00;0;;
ZER;10.07.1892 00:00;1.9;;
ZER;11.07.1892 00:00;0;;
ZER;12.07.1892 00:00;1.5;;
ZER;13.07.1892 00:00;0.8;;
ZER;14.07.1892 00:00;1;;
ZER;15.07.1892 00:00;0;;
ZER;16.07.1892 00:00;4.9;;
ZER;17.07.1892 00:00;8.1;;
ZER;18.07.1892 00:00;0.1;;
ZER;19.07.1892 00:00;0.4;;
ZER;20.07.1892 00:00;5.9;;
ZER;21.07.1892 00:00;0.7;;
ZER;22.07.1892 00:00;0;;
ZER;23.07.1892 00:00;0;;
ZER;24.07.1892 00:00;0;;
ZER;25.07.1892 00:00;0;;
ZER;26.07.1892 00:00;0;;
ZER;27.07.1892 00:00;5.6;;
ZER;28.07.1892 00:00;0;;
ZER;29.07.1892 00:00;0;;
ZER;30.07.1892 00:00;7.2;;
ZER;31.07.1892 00:00;0;;
ZER;01.08.1892 00:00;6;;
ZER;02.08.1892 00:00;0.5;;
ZER;03.08.1892 00:00;0;;
ZER;04.08.1892 00:00;0;;
ZER;05.08.1892 00:00;0;;
