station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ZNZ;01.01.1961 00:00;1.2;;
ZNZ;02.01.1961 00:00;25.8;;
ZNZ;03.01.1961 00:00;5.2;;
ZNZ;04.01.1961 00:00;0;;
ZNZ;05.01.1961 00:00;0.6;;
ZNZ;06.01.1961 00:00;0;;
ZNZ;07.01.1961 00:00;0;;
ZNZ;08.01.1961 00:00;0;;
ZNZ;09.01.1961 00:00;0;;
ZNZ;10.01.1961 00:00;1.8;;
ZNZ;11.01.1961 00:00;2.1;;
ZNZ;12.01.1961 00:00;0;;
ZNZ;13.01.1961 00:00;0;;
ZNZ;14.01.1961 00:00;0;;
ZNZ;15.01.1961 00:00;0;;
ZNZ;16.01.1961 00:00;0;;
ZNZ;17.01.1961 00:00;0;;
ZNZ;18.01.1961 00:00;0;;
ZNZ;19.01.1961 00:00;0;;
ZNZ;20.01.1961 00:00;0;;
ZNZ;21.01.1961 00:00;0;;
ZNZ;22.01.1961 00:00;0;;
ZNZ;23.01.1961 00:00;0;;
ZNZ;24.01.1961 00:00;0;;
ZNZ;25.01.1961 00:00;0;;
ZNZ;26.01.1961 00:00;0;;
ZNZ;27.01.1961 00:00;0;;
ZNZ;28.01.1961 00:00;0;;
ZNZ;29.01.1961 00:00;0;;
ZNZ;30.01.1961 00:00;0;;
ZNZ;31.01.1961 00:00;0;;
ZNZ;01.02.1961 00:00;9.2;;
ZNZ;02.02.1961 00:00;4.6;;
ZNZ;03.02.1961 00:00;5.1;;
ZNZ;04.02.1961 00:00;21.3;;
ZNZ;05.02.1961 00:00;6.2;;
ZNZ;06.02.1961 00:00;3.6;;
ZNZ;07.02.1961 00:00;0;;
ZNZ;08.02.1961 00:00;2.5;;
ZNZ;09.02.1961 00:00;5.6;;
ZNZ;10.02.1961 00:00;0;;
ZNZ;11.02.1961 00:00;0;;
ZNZ;12.02.1961 00:00;0;;
ZNZ;13.02.1961 00:00;0;;
ZNZ;14.02.1961 00:00;0;;
ZNZ;15.02.1961 00:00;0;;
ZNZ;16.02.1961 00:00;0;;
ZNZ;17.02.1961 00:00;0;;
ZNZ;18.02.1961 00:00;0;;
ZNZ;19.02.1961 00:00;0;;
ZNZ;20.02.1961 00:00;1.1;;
ZNZ;21.02.1961 00:00;0;;
ZNZ;22.02.1961 00:00;0;;
ZNZ;23.02.1961 00:00;0;;
ZNZ;24.02.1961 00:00;0;;
ZNZ;25.02.1961 00:00;0;;
ZNZ;26.02.1961 00:00;0;;
ZNZ;27.02.1961 00:00;0;;
ZNZ;28.02.1961 00:00;1.2;;
ZNZ;01.03.1961 00:00;5.8;;
ZNZ;02.03.1961 00:00;0;;
ZNZ;03.03.1961 00:00;1.3;;
ZNZ;04.03.1961 00:00;0;;
ZNZ;05.03.1961 00:00;0;;
ZNZ;06.03.1961 00:00;0;;
ZNZ;07.03.1961 00:00;0;;
ZNZ;08.03.1961 00:00;0;;
ZNZ;09.03.1961 00:00;0;;
ZNZ;10.03.1961 00:00;0;;
ZNZ;11.03.1961 00:00;0;;
ZNZ;12.03.1961 00:00;0;;
ZNZ;13.03.1961 00:00;0;;
ZNZ;14.03.1961 00:00;0;;
ZNZ;15.03.1961 00:00;0;;
ZNZ;16.03.1961 00:00;0;;
ZNZ;17.03.1961 00:00;0;;
ZNZ;18.03.1961 00:00;5.5;;
ZNZ;19.03.1961 00:00;0.5;;
