station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ZOF;01.01.1900 00:00;1.5;;
ZOF;02.01.1900 00:00;0;;
ZOF;03.01.1900 00:00;12.9;;
ZOF;04.01.1900 00:00;10.7;;
ZOF;05.01.1900 00:00;8.3;;
ZOF;06.01.1900 00:00;0;;
ZOF;07.01.1900 00:00;0;;
ZOF;08.01.1900 00:00;1.7;;
ZOF;09.01.1900 00:00;5.6;;
ZOF;10.01.1900 00:00;3.7;;
ZOF;11.01.1900 00:00;3;;
ZOF;12.01.1900 00:00;1;;
ZOF;13.01.1900 00:00;1;;
ZOF;14.01.1900 00:00;0;;
ZOF;15.01.1900 00:00;2.9;;
ZOF;16.01.1900 00:00;23.2;;
ZOF;17.01.1900 00:00;27.8;;
ZOF;18.01.1900 00:00;5.9;;
ZOF;19.01.1900 00:00;0;;
ZOF;20.01.1900 00:00;2.4;;
ZOF;21.01.1900 00:00;6.5;;
ZOF;22.01.1900 00:00;5.7;;
ZOF;23.01.1900 00:00;0;;
ZOF;24.01.1900 00:00;10.4;;
ZOF;25.01.1900 00:00;2.6;;
ZOF;26.01.1900 00:00;0;;
ZOF;27.01.1900 00:00;13.9;;
ZOF;28.01.1900 00:00;3.9;;
ZOF;29.01.1900 00:00;3.4;;
ZOF;30.01.1900 00:00;1.5;;
ZOF;31.01.1900 00:00;0.3;;
ZOF;01.02.1900 00:00;0;;
ZOF;02.02.1900 00:00;0.2;;
ZOF;03.02.1900 00:00;0.2;;
ZOF;04.02.1900 00:00;0;;
ZOF;05.02.1900 00:00;0;;
ZOF;06.02.1900 00:00;7.5;;
ZOF;07.02.1900 00:00;0;;
ZOF;08.02.1900 00:00;0;;
ZOF;09.02.1900 00:00;0.2;;
ZOF;10.02.1900 00:00;1.2;;
ZOF;11.02.1900 00:00;1.1;;
ZOF;12.02.1900 00:00;19.8;;
ZOF;13.02.1900 00:00;9.2;;
ZOF;14.02.1900 00:00;20;;
ZOF;15.02.1900 00:00;1.2;;
ZOF;16.02.1900 00:00;4.2;;
ZOF;17.02.1900 00:00;0.1;;
ZOF;18.02.1900 00:00;1.8;;
ZOF;19.02.1900 00:00;13.8;;
ZOF;20.02.1900 00:00;5.4;;
ZOF;21.02.1900 00:00;2.2;;
ZOF;22.02.1900 00:00;0;;
ZOF;23.02.1900 00:00;1.7;;
ZOF;24.02.1900 00:00;0;;
ZOF;25.02.1900 00:00;0;;
ZOF;26.02.1900 00:00;13.4;;
ZOF;27.02.1900 00:00;0;;
ZOF;28.02.1900 00:00;1.6;;
ZOF;01.03.1900 00:00;8.4;;
ZOF;02.03.1900 00:00;0.7;;
ZOF;03.03.1900 00:00;3.7;;
ZOF;04.03.1900 00:00;4.8;;
ZOF;05.03.1900 00:00;0;;
ZOF;06.03.1900 00:00;0;;
ZOF;07.03.1900 00:00;0;;
ZOF;08.03.1900 00:00;0;;
ZOF;09.03.1900 00:00;0;;
ZOF;10.03.1900 00:00;0;;
ZOF;11.03.1900 00:00;0;;
ZOF;12.03.1900 00:00;0;;
ZOF;13.03.1900 00:00;0.1;;
ZOF;14.03.1900 00:00;1.6;;
ZOF;15.03.1900 00:00;0;;
ZOF;16.03.1900 00:00;0;;
ZOF;17.03.1900 00:00;6.5;;
ZOF;18.03.1900 00:00;2.3;;
ZOF;19.03.1900 00:00;0;;
ZOF;20.03.1900 00:00;0;;
ZOF;21.03.1900 00:00;0;;
ZOF;22.03.1900 00:00;0.6;;
ZOF;23.03.1900 00:00;7.4;;
ZOF;24.03.1900 00:00;5.9;;
ZOF;25.03.1900 00:00;1.2;;
ZOF;26.03.1900 00:00;0;;
ZOF;27.03.1900 00:00;10.2;;
ZOF;28.03.1900 00:00;0.5;;
ZOF;29.03.1900 00:00;1.1;;
ZOF;30.03.1900 00:00;2.3;;
ZOF;31.03.1900 00:00;2.7;;
ZOF;01.04.1900 00:00;0.2;;
ZOF;02.04.1900 00:00;0.7;;
ZOF;03.04.1900 00:00;0;;
ZOF;04.04.1900 00:00;4.6;;
ZOF;05.04.1900 00:00;0.8;;
ZOF;06.04.1900 00:00;0.1;;
ZOF;07.04.1900 00:00;2.5;;
ZOF;08.04.1900 00:00;3;;
ZOF;09.04.1900 00:00;0;;
ZOF;10.04.1900 00:00;0;;
ZOF;11.04.1900 00:00;0.1;;
ZOF;12.04.1900 00:00;4.8;;
ZOF;13.04.1900 00:00;5.9;;
ZOF;14.04.1900 00:00;0;;
ZOF;15.04.1900 00:00;0;;
ZOF;16.04.1900 00:00;6;;
ZOF;17.04.1900 00:00;0.2;;
ZOF;18.04.1900 00:00;0.3;;
ZOF;19.04.1900 00:00;0;;
ZOF;20.04.1900 00:00;0;;
ZOF;21.04.1900 00:00;0;;
ZOF;22.04.1900 00:00;0;;
ZOF;23.04.1900 00:00;1.7;;
ZOF;24.04.1900 00:00;1.3;;
ZOF;25.04.1900 00:00;5.5;;
ZOF;26.04.1900 00:00;0;;
ZOF;27.04.1900 00:00;0;;
ZOF;28.04.1900 00:00;0;;
ZOF;29.04.1900 00:00;2.3;;
ZOF;30.04.1900 00:00;8.9;;
ZOF;01.05.1900 00:00;0;;
ZOF;02.05.1900 00:00;0;;
ZOF;03.05.1900 00:00;0.5;;
ZOF;04.05.1900 00:00;0;;
ZOF;05.05.1900 00:00;0;;
ZOF;06.05.1900 00:00;0;;
ZOF;07.05.1900 00:00;10.3;;
ZOF;08.05.1900 00:00;5.7;;
ZOF;09.05.1900 00:00;5.5;;
ZOF;10.05.1900 00:00;0.8;;
ZOF;11.05.1900 00:00;1.4;;
ZOF;12.05.1900 00:00;0;;
ZOF;13.05.1900 00:00;3.4;;
ZOF;14.05.1900 00:00;10.6;;
ZOF;15.05.1900 00:00;2.4;;
ZOF;16.05.1900 00:00;0;;
ZOF;17.05.1900 00:00;0;;
ZOF;18.05.1900 00:00;1.1;;
ZOF;19.05.1900 00:00;0;;
ZOF;20.05.1900 00:00;0;;
ZOF;21.05.1900 00:00;0;;
ZOF;22.05.1900 00:00;0;;
ZOF;23.05.1900 00:00;19.6;;
ZOF;24.05.1900 00:00;12.2;;
ZOF;25.05.1900 00:00;6.3;;
ZOF;26.05.1900 00:00;1.2;;
ZOF;27.05.1900 00:00;0.4;;
ZOF;28.05.1900 00:00;0;;
ZOF;29.05.1900 00:00;0;;
ZOF;30.05.1900 00:00;0;;
ZOF;31.05.1900 00:00;0.2;;
ZOF;01.06.1900 00:00;0;;
ZOF;02.06.1900 00:00;0;;
ZOF;03.06.1900 00:00;0;;
ZOF;04.06.1900 00:00;0;;
ZOF;05.06.1900 00:00;0;;
