station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ZUB;31.12.1971 00:00;;0;
ZUB;01.01.1972 00:00;0;0;2
ZUB;02.01.1972 00:00;0;0;2
ZUB;03.01.1972 00:00;0;0;2
ZUB;04.01.1972 00:00;1.2;1;2
ZUB;05.01.1972 00:00;0;0;3
ZUB;06.01.1972 00:00;0;0;2
ZUB;07.01.1972 00:00;0;0;2
ZUB;08.01.1972 00:00;0;0;2
ZUB;09.01.1972 00:00;0;0;2
ZUB;10.01.1972 00:00;0.4;0;2
ZUB;11.01.1972 00:00;0;0;2
ZUB;12.01.1972 00:00;0;0;2
ZUB;13.01.1972 00:00;0.1;0;2
ZUB;14.01.1972 00:00;0;0;1
ZUB;15.01.1972 00:00;0.2;0;1
ZUB;16.01.1972 00:00;0;0;0
ZUB;17.01.1972 00:00;0;0;1
ZUB;18.01.1972 00:00;0;0;0
ZUB;19.01.1972 00:00;0;0;0
ZUB;20.01.1972 00:00;0;0;0
ZUB;21.01.1972 00:00;8.3;7;0
ZUB;22.01.1972 00:00;0;0;7
ZUB;23.01.1972 00:00;0;0;7
ZUB;24.01.1972 00:00;2.5;5;5
ZUB;25.01.1972 00:00;0.4;1;10
ZUB;26.01.1972 00:00;3.2;6;11
ZUB;27.01.1972 00:00;4.1;11;16
ZUB;28.01.1972 00:00;0.6;5;24
ZUB;29.01.1972 00:00;0;0;27
ZUB;30.01.1972 00:00;0.8;1;27
ZUB;31.01.1972 00:00;0;0;24
ZUB;01.02.1972 00:00;0;0;23
ZUB;02.02.1972 00:00;0;0;21
ZUB;03.02.1972 00:00;0;0;18
ZUB;04.02.1972 00:00;0;0;10
ZUB;05.02.1972 00:00;0;0;8
ZUB;06.02.1972 00:00;0;0;7
ZUB;07.02.1972 00:00;0;0;0
ZUB;08.02.1972 00:00;0;0;0
ZUB;09.02.1972 00:00;5.1;0;0
ZUB;10.02.1972 00:00;0.6;0;0
ZUB;11.02.1972 00:00;4.2;4;0
ZUB;12.02.1972 00:00;1.6;3;4
ZUB;13.02.1972 00:00;5.8;8;3
ZUB;14.02.1972 00:00;6;10;10
ZUB;15.02.1972 00:00;0;0;19
ZUB;16.02.1972 00:00;0;0;16
ZUB;17.02.1972 00:00;0;0;10
ZUB;18.02.1972 00:00;0;0;0
ZUB;19.02.1972 00:00;0;0;0
ZUB;20.02.1972 00:00;0;0;0
ZUB;21.02.1972 00:00;0;0;0
ZUB;22.02.1972 00:00;0;0;0
ZUB;23.02.1972 00:00;0;0;0
ZUB;24.02.1972 00:00;0;0;0
ZUB;25.02.1972 00:00;0;0;0
ZUB;26.02.1972 00:00;0;0;0
ZUB;27.02.1972 00:00;0;0;0
ZUB;28.02.1972 00:00;0;0;0
ZUB;29.02.1972 00:00;0;0;0
ZUB;01.03.1972 00:00;0;0;0
ZUB;02.03.1972 00:00;0;0;0
ZUB;03.03.1972 00:00;0;0;0
ZUB;04.03.1972 00:00;0;0;0
ZUB;05.03.1972 00:00;1.8;4;0
ZUB;06.03.1972 00:00;0.8;0;4
ZUB;07.03.1972 00:00;1.8;0;0
ZUB;08.03.1972 00:00;0;0;0
ZUB;09.03.1972 00:00;0;0;0
ZUB;10.03.1972 00:00;1.2;0;0
ZUB;11.03.1972 00:00;0;0;0
ZUB;12.03.1972 00:00;0;0;0
ZUB;13.03.1972 00:00;0;0;0
ZUB;14.03.1972 00:00;0;0;0
ZUB;15.03.1972 00:00;0;0;0
ZUB;16.03.1972 00:00;0;0;0
ZUB;17.03.1972 00:00;0;0;0
ZUB;18.03.1972 00:00;0;0;0
ZUB;19.03.1972 00:00;0;0;0
ZUB;20.03.1972 00:00;0;0;0
ZUB;21.03.1972 00:00;0;0;0
ZUB;22.03.1972 00:00;0;0;0
ZUB;23.03.1972 00:00;0;0;0
ZUB;24.03.1972 00:00;0;0;0
