year,month,Kanton,Herkunftsland,Indikator,value
2005,1,1,00,2,240316.0
2005,1,2,00,2,373916.0
2005,1,3,00,2,57630.0
2005,1,4,00,2,12979.0
2005,1,5,00,2,32230.0
2005,1,6,00,2,47668.0
2005,1,7,00,2,10571.0
2005,1,8,00,2,13640.0
2005,1,9,00,2,16310.0
2005,1,10,00,2,15871.0
2005,1,11,00,2,19230.0
2005,1,12,00,2,52489.0
2005,1,13,00,2,13616.0
2005,1,14,00,2,4303.0
2005,1,15,00,2,10316.0
2005,1,16,00,2,6471.0
2005,1,17,00,2,80937.0
2005,1,18,00,2,769258.0
2005,1,19,00,2,39892.0
2005,1,20,00,2,19513.0
2005,1,21,00,2,51102.0
2005,1,22,00,2,160541.0
2005,1,23,00,2,479899.0
2005,1,24,00,2,10686.0
2005,1,25,00,2,137974.0
2005,1,26,00,2,2758.0
2005,2,1,00,2,226187.0
2005,2,2,00,2,440178.0
2005,2,3,00,2,60606.0
2005,2,4,00,2,17507.0
2005,2,5,00,2,39916.0
2005,2,6,00,2,57213.0
2005,2,7,00,2,13195.0
2005,2,8,00,2,17504.0
2005,2,9,00,2,16100.0
2005,2,10,00,2,18601.0
2005,2,11,00,2,16347.0
2005,2,12,00,2,55848.0
2005,2,13,00,2,13988.0
2005,2,14,00,2,4881.0
2005,2,15,00,2,10838.0
2005,2,16,00,2,4596.0
2005,2,17,00,2,91166.0
2005,2,18,00,2,833786.0
2005,2,19,00,2,41529.0
2005,2,20,00,2,18701.0
2005,2,21,00,2,58849.0
2005,2,22,00,2,195174.0
2005,2,23,00,2,576546.0
2005,2,24,00,2,11693.0
2005,2,25,00,2,173680.0
2005,2,26,00,2,3117.0
2005,3,1,00,2,271716.0
2005,3,2,00,2,419143.0
2005,3,3,00,2,80494.0
2005,3,4,00,2,17027.0
2005,3,5,00,2,37596.0
2005,3,6,00,2,60736.0
2005,3,7,00,2,16144.0
2005,3,8,00,2,13750.0
2005,3,9,00,2,17251.0
2005,3,10,00,2,27481.0
2005,3,11,00,2,20845.0
2005,3,12,00,2,66136.0
2005,3,13,00,2,16320.0
2005,3,14,00,2,6494.0
2005,3,15,00,2,13501.0
2005,3,16,00,2,5672.0
2005,3,17,00,2,84492.0
2005,3,18,00,2,833861.0
2005,3,19,00,2,48137.0
2005,3,20,00,2,24882.0
2005,3,21,00,2,145793.0
2005,3,22,00,2,202570.0
2005,3,23,00,2,592710.0
2005,3,24,00,2,15013.0
2005,3,25,00,2,197116.0
2005,3,26,00,2,3855.0
2005,4,1,00,2,293920.0
2005,4,2,00,2,233868.0
2005,4,3,00,2,98018.0
