year,month,Kanton,Herkunftsland,Indikator,value
2005,1,8100,00,2,2680116.0
2005,2,8100,00,2,3017746.0
2005,3,8100,00,2,3238735.0
2005,4,8100,00,2,2067465.0
2005,5,8100,00,2,2185950.0
2005,6,8100,00,2,2889836.0
2005,7,8100,00,2,3775995.0
2005,8,8100,00,2,3868916.0
2005,9,8100,00,2,3108116.0
2005,10,8100,00,2,2437899.0
2005,11,8100,00,2,1557016.0
2005,12,8100,00,2,2115946.0
2006,1,8100,00,2,2758499.0
2006,2,8100,00,2,3121764.0
2006,3,8100,00,2,3178498.0
2006,4,8100,00,2,2452012.0
2006,5,8100,00,2,2384279.0
2006,6,8100,00,2,3076050.0
2006,7,8100,00,2,3959870.0
2006,8,8100,00,2,3970611.0
2006,9,8100,00,2,3372030.0
2006,10,8100,00,2,2627298.0
2006,11,8100,00,2,1652802.0
2006,12,8100,00,2,2294713.0
2007,1,8100,00,2,2805431.0
2007,2,8100,00,2,3199941.0
2007,3,8100,00,2,3299070.0
2007,4,8100,00,2,2567355.0
2007,5,8100,00,2,2444132.0
2007,6,8100,00,2,3259599.0
2007,7,8100,00,2,4141663.0
2007,8,8100,00,2,4130987.0
2007,9,8100,00,2,3437870.0
2007,10,8100,00,2,2764949.0
2007,11,8100,00,2,1823134.0
2007,12,8100,00,2,2490669.0
2008,1,8100,00,2,3022923.0
2008,2,8100,00,2,3529312.0
2008,3,8100,00,2,3588125.0
2008,4,8100,00,2,2389570.0
2008,5,8100,00,2,2720033.0
2008,6,8100,00,2,3177138.0
2008,7,8100,00,2,4280339.0
2008,8,8100,00,2,4293523.0
2008,9,8100,00,2,3414007.0
2008,10,8100,00,2,2698200.0
2008,11,8100,00,2,1701598.0
2008,12,8100,00,2,2519001.0
2009,1,8100,00,2,2892780.0
2009,2,8100,00,2,3193670.0
2009,3,8100,00,2,3092601.0
2009,4,8100,00,2,2444733.0
2009,5,8100,00,2,2438983.0
2009,6,8100,00,2,3033834.0
2009,7,8100,00,2,4070370.0
2009,8,8100,00,2,4156948.0
2009,9,8100,00,2,3415644.0
2009,10,8100,00,2,2645745.0
2009,11,8100,00,2,1696201.0
2009,12,8100,00,2,2507384.0
2010,1,8100,00,2,2824863.0
2010,2,8100,00,2,3257066.0
2010,3,8100,00,2,3249889.0
2010,4,8100,00,2,2397071.0
2010,5,8100,00,2,2517362.0
2010,6,8100,00,2,3222920.0
2010,7,8100,00,2,4279435.0
2010,8,8100,00,2,4117394.0
2010,9,8100,00,2,3461857.0
2010,10,8100,00,2,2678652.0
2010,11,8100,00,2,1776454.0
2010,12,8100,00,2,2424849.0
2011,1,8100,00,2,2884526.0
2011,2,8100,00,2,3013325.0
2011,3,8100,00,2,3327747.0
2011,4,8100,00,2,2410628.0
2011,5,8100,00,2,2505390.0
2011,6,8100,00,2,3321145.0
2011,7,8100,00,2,4140223.0
2011,8,8100,00,2,3863314.0
2011,9,8100,00,2,3335286.0
2011,10,8100,00,2,2599628.0
2011,11,8100,00,2,1778576.0
2011,12,8100,00,2,2306468.0
2012,1,8100,00,2,2763813.0
2012,2,8100,00,2,3080789.0
2012,3,8100,00,2,3063085.0
2012,4,8100,00,2,2293112.0
2012,5,8100,00,2,2522499.0
